 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <A|d/dR|B>   <A|d/dR|C>   <B|d/dR|C> 
0.0 -0.624704 3.367409076034826e-21 0.19265599999999997 0.0 0.45485800000000004 6.734818152069652e-21
0.01 -0.6223673389734484 8.05214061444081e-6 0.18343768809402022 -6.961963937745243e-6 0.4344517744151939 2.1772734670764912e-5
0.02 -0.6196279263657761 1.5433269511011554e-5 0.17447241551353881 -1.3343764214011713e-5 0.41456823096245493 4.1731074785632735e-5
0.03 -0.6164857621769833 2.2143386689712217e-5 0.16576018225855574 -1.914540082879941e-5 0.39520736964178316 5.9875020344603476e-5
0.04 -0.6129408464070697 2.818249215054282e-5 0.15730098832907102 -2.4366873782108344e-5 0.3763691904531786 7.620457134767715e-5
0.05 -0.6089931790560354 3.3550585893503366e-5 0.14909483372508453 -2.9008183073938514e-5 0.3580536933966412 9.071972779485377e-5
0.06 -0.6046427601238803 3.8247667918593834e-5 0.14114171844659634 -3.30693287042899e-5 0.3402608784721709 0.0001034204896861333
0.07 -0.5998895896106046 4.227373822581424e-5 0.13344164249360652 -3.655031067316252e-5 0.3229907456797679 0.00011430685702151574
0.08 -0.5947336675162082 4.562879681516458e-5 0.12599460586611494 -3.945112898055638e-5 0.306243295019432 0.00012337882980100113
0.09 -0.589174993840691 4.831284368664485e-5 0.11880060856412177 -4.177178362647146e-5 0.2900185264911634 0.00013063640802458943
0.1 -0.5832135685840533 5.032587884025505e-5 0.11185965058762684 -4.351227461090777e-5 0.27431644009496187 0.00013607959169228067
0.11 -0.5768493917462947 5.166790227599519e-5 0.10517173193663021 -4.467260193386531e-5 0.2591370358308275 0.00013970838080407485
0.12 -0.5700824633274152 5.233891399386524e-5 0.0987368526111319 -4.525276559534407e-5 0.24448031369876028 0.00014152277535997186
0.13 -0.5629127833274153 5.2338913993865245e-5 0.0925550126111319 -4.5252765595344086e-5 0.23034627369876026 0.00014152277535997188
0.14 -0.5553403517462946 5.1667902275995175e-5 0.08662621193663021 -4.467260193386531e-5 0.21673491583082743 0.0001397083808040748
0.15 -0.5473651685840532 5.0325878840255036e-5 0.08095045058762683 -4.351227461090776e-5 0.20364624009496177 0.00013607959169228062
