 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C> 
0.0 -0.427371421952 -0.5971508877800001 -5.887873353366041e-41 -0.24401213450000006
0.01 -0.4209904900990073 -0.5760894489618709 -5.873578853887209e-10 -0.22239773017984163
0.02 -0.4143793911456666 -0.5558055854337473 -2.157724453962731e-9 -0.20230744363995087
0.03 -0.4075311334796553 -0.5362435603526595 -4.441894008252199e-9 -0.18366530662658476
0.04 -0.40044008291777017 -0.5173502493103402 -7.195134096011818e-9 -0.16639737425882023
0.05 -0.39310196270592873 -0.4990751403332269 -1.0197185510220844e-8 -0.15043172502855554
0.06 -0.38551385351916684 -0.4813703338824585 -1.3252262289083014e-8 -0.1356984608005094
0.07 -0.37767419346164016 -0.4641905428538774 -1.6189051716026606e-8 -0.12212970681222154
0.08 -0.36958277806662465 -0.44749309257803044 -1.886071431970448e-8 -0.10965961167405225
0.09 -0.3612407602965149 -0.4312379208201659 -2.1144883873993947e-8 -0.09822434736918242
0.1 -0.35265065054282635 -0.4153875777802372 -2.2943667397996903e-8 -0.08776210925361404
0.11 -0.34381631662619283 -0.39990722609289925 -2.4183645156039774e-8 -0.07821311605616967
0.12 -0.33474298379636813 -0.3847646408275109 -2.4815870657673438e-8 -0.06951960987849257
0.13 -0.3254372347322263 -0.3699302094881346 -2.4815870657673455e-8 -0.06162585619504689
0.14 -0.31590700954176004 -0.35537693201353515 -2.418364515603973e-8 -0.054478143853117465
0.15 -0.30616160576208296 -0.3410804207771819 -2.2943667397996893e-8 -0.04802478507280992
0.16 -0.2962116783594262 -0.32701890058724525 -2.1144883873993908e-8 -0.042216115447050444
0.17 -0.2860692397291427 -0.3131732086866012 -1.8860714319704464e-8 -0.03700449394158633
0.18 -0.27574765969570325 -0.2995267947528268 -1.61890517160266e-8 -0.03234430289498523
0.19 -0.26526166551269953 -0.28606572089820387 -1.3252262289082992e-8 -0.028191948018635785
0.2 -0.254627341862842 -0.27277866166971665 -1.0197185510220835e-8 -0.02450585839674736
0.21 -0.2438621308579618 -0.2596569040490535 -7.195134096011836e-9 -0.02124648648635008
0.22 -0.2329848320390078 -0.24669434745260427 -4.441894008252197e-9 -0.01837630811729471
0.23 -0.2220156023760501 -0.23388750373146355 -2.1577244539627262e-9 -0.015859822492252887
0.24 -0.21097595626827786 -0.2212354971714286 -5.873578853887191e-10 -0.013663552186716953
0.25 -0.19988876554400012 -0.20874006449300012 -3.709517294760656e-39 -0.011756043148999994
0.26 -0.18877825946064472 -0.19640555485138128 -6.893297404909324e-10 -0.010107864700235867
0.27 -0.17767002470476004 -0.18423892983647935 -2.9734992947804067e-9 -0.00869160953437916
0.28 -0.16659100539201366 -0.17224976347290444 -7.195134096011847e-9 -0.007481893718205228
0.29 -0.1555695030671926 -0.1604502422199697 -1.372133282255316e-8 -0.006455356691310174
0.3 -0.14463517670420378 -0.14885516497169166 -2.2943667397996913e-8 -0.0055906612661108445
0.31 -0.13381904270607364 -0.13748194305679012 -3.527818299116003e-8 -0.004868493627844843
0.32 -0.12315347490494813 -0.126350600238688 -5.116539801608413e-8 -0.004271563334570526
0.33 -0.11267220456209286 -0.11548377271551136 -7.107030413203529e-8 -0.0037846033171669985
0.34 -0.10241032036789312 -0.10490670912008958 -9.548236624350397e-8 -0.003394369879334117
0.35 -0.09240426844185363 -0.09464727051995515 -1.2491552250020535e-7 -0.0030896426975924934
0.36 -0.08269185233259888 -0.0847359304173438 -1.5990818429707935e-7 -0.0028612248212834795
0.37 -0.07331223301787285 -0.0752057747491945 -2.0102323627428965e-7 -0.002701942672569188
0.38 -0.06438267192552267 -0.06616439724458917 -2.4683715133461e-7 -0.002599283032188023
0.39 -0.0563580855649454 -0.05803516037674756 -2.84281216528141e-7 -0.002506731405963343
0.4 -0.04923872428780702 -0.0508133064642182 -3.0846486168418054e-7 -0.002416788025404862
0.41 -0.04294691400753583 -0.04442114893883137 -3.175036469204403e-7 -0.002329447193834897
0.42 -0.03740912590612607 -0.038785146353864174 -3.1071232137063336e-7 -0.002244704316671989
0.43 -0.03255597643413826 -0.03383590238404084 -2.886048231844746e-7 -0.0021625559014308974
0.44 -0.028322227310698996 -0.029508165825532544 -2.5289427952768114e-7 -0.0020829995577225993
0.45 -0.02464678552350093 -0.02574083059595736 -2.0649300658197206e-7 -0.0020060339972542947
0.46 -0.021472703328802863 -0.022476935734380383 -1.5351250954506856e-7 -0.0019316590338293996
0.47 -0.018747178251429686 -0.019663665401313674 -9.9263482630694e-8 -0.0018598755833475584
0.48 -0.01642155308477239 -0.01725234887871622 -5.0255809068572484e-8 -0.0017906856638046208
0.49 -0.014451315890788087 -0.015198460569994009 -1.4198561104431528e-8 -0.001724092395292669
0.5 -0.0127961 -0.01346162 -4.207500653663466e-38 -0.0016600999999999996
0.51 -0.011419684011497443 -0.012005591815034099 -1.776757603300889e-8 -0.001598713802211129
0.52 -0.010289991792935837 -0.01079828578284318 -7.8807928497191e-8 -0.001539940228306795
0.53 -0.009379092480536722 -0.009811756792621099 -1.9562688570228125e-7 -0.001483786806763954
0.54 -0.008663200479087732 -0.009022204855008658 -3.8192946497401694e-7 -0.0014302621681557828
0.55 -0.00812267546194262 -0.008409975102093646 -6.526198726541365e-7 -0.001379376045151678
0.56 -0.007742022371021234 -0.007959557787410802 -1.0238015041003806e-6 -0.0013311392725172538
0.57 -0.007509891416809534 -0.00765958828594184 -1.512776943686486e-6 -0.001285563787114349
0.58 -0.0074190780783595775 -0.00750284709411543 -2.1380479648022093e-6 -0.0012426626279010158
0.59 -0.0074665231032895515 -0.00748625982980723 -2.91931552985329e-6 -0.0012024499359315308
0.6 -0.007653312507783713 -0.007610897232339832 -3.877479790261478e-6 -0.0011649409543563907
0.61 -0.007984677576592472 -0.007881975162482839 -5.034640086464524e-6 -0.0011301520284223083
0.62 -0.0084699948630323 -0.008308854602452774 -6.414094947916178e-6 -0.0010981006054722187
0.63 -0.009103618256858686 -0.008886802615165952 -7.97176805996707e-6 -0.0010689650164052537
0.64 -0.009780884190188535 -0.009516500068216856 -9.26332318232062e-6 -0.0010434023167687437
0.65 -0.010483574938897901 -0.010180128263740014 -1.0118157322516638e-5 -0.0010208365557716102
0.66 -0.011211934723391848 -0.010877435269654305 -1.0468039072869137e-5 -0.0010006188062164593
0.67 -0.011966229544424993 -0.011608249542882485 -1.0285876550914546e-5 -0.0009822252272704592
0.68 -0.01274674718310147 -0.012372479929351103 -9.585717399411751e-6 -0.0009652570644653511
0.69 -0.013553797200874958 -0.013170115663990565 -8.422748786342098e-6 -0.0009494406496974418
0.7 -0.01438771093954868 -0.014001226370735111 -6.893297404909303e-6 -0.0009346274012276086
0.71 -0.015248841521275352 -0.014865962062522785 -5.134829473539546e-6 -0.0009207938236812935
0.72 -0.01613756384855726 -0.015764553141295483 -3.32595073588147e-6 -0.0009080415080485104
0.73 -0.017054274604246196 -0.01669731039799892 -1.686406460806122e-6 -0.0008965971316838401
0.74 -0.01799939225154348 -0.017664625012582626 -4.770814424069886e-7 -0.0008868124583064308
0.75 -0.018973357034 -0.018666968554 -1.5283378064983095e-36 -0.0008791643380000006
