 R   <X|d2/dR2|A>   <X|d2/dR2|B>   <X|d2/dR2|C>   <A|d2/dR2|B>   <A|d2/dR2|C>   <B|d2/dR2|C> 
0.0 0.21352852359912688 0.0008387646473375839 -0.934483156872897 -0.0007252045768484632 -2.0667566650839575 0.0022679931948713446
0.01 0.25380368171119255 0.0007716634755505777 -0.9091792243230568 -0.0006671882107005854 -2.014488451877267 0.0020865537392816364
0.02 0.2940788398232508 0.0007045623037635703 -0.8838752917732206 -0.0006091718445527087 -1.9622202386705354 0.0019051142836919292
0.03 0.3343539979353327 0.0006374611319765629 -0.8585713592233909 -0.0005511554784048312 -1.9099520254638152 0.0017236748281022184
0.04 0.37462915604740693 0.0005703599601895573 -0.8332674266735619 -0.0004931391122569548 -1.857683812257105 0.0015422353725125133
0.05 0.4149043141594533 0.0005032587884025513 -0.8079634941237355 -0.00043512274610907873 -1.8054155990503804 0.0013607959169228113
0.06 0.45517947227153277 0.00043615761661554384 -0.782659561573899 -0.00037710637996119976 -1.753147385843664 0.001179356461333098
0.07 0.49545463038360715 0.0003690564448285377 -0.7573556290240687 -0.00031909001381332387 -1.7008791726369377 0.0009979170057433906
0.08 0.5357297884956815 0.00030195527304153016 -0.7320516964742385 -0.00026107364766544776 -1.6486109594302283 0.0008164775501536864
0.09 0.5760049466077498 0.00023485410125452267 -0.7067477639244026 -0.00020305728151756894 -1.5963427462235111 0.0006350380945639757
0.1 0.6162801047198184 0.00016775292946751772 -0.6814438313745784 -0.0001450409153696923 -1.5440745330167922 0.0004535986389742708
0.11 0.6565552628319041 0.00010065175768050949 -0.6561398988247477 -8.70245492218158e-5 -1.4918063198100828 0.0002721591833845594
0.12 0.6968304209439611 3.3550585893502824e-5 -0.6308359662749159 -2.9008183073938825e-5 -1.4395381066033606 9.071972779485449e-5
0.13 0.7371055790560459 -3.355058589350414e-5 -0.6055320337250863 2.9008183073939462e-5 -1.387269893396645 -9.071972779485708e-5
0.14 0.777380737168104 -0.0001006517576805108 -0.5802281011752521 8.70245492218161e-5 -1.3350016801899232 -0.0002721591833845647
0.15 0.8176558952801786 -0.00016775292946751775 -0.5549241686254234 0.00014504091536969235 -1.282733466983208 -0.0004535986389742709
0.16 0.8579310533922417 -0.00023485410125452283 -0.5296202360755927 0.00020305728151756976 -1.2304652537764866 -0.0006350380945639774
0.17 0.8982062115043048 -0.00030195527304152853 -0.504316303525758 0.0002610736476654461 -1.1781970405697635 -0.0008164775501536784
0.18 0.938481369616406 -0.00036905644482853857 -0.4790123709759313 0.0003190900138133231 -1.1259288273630568 -0.000997917005743394
0.19 0.978756527728474 -0.0004361576166155449 -0.45370843842610187 0.000377106379961201 -1.0736606141563385 -0.001179356461333098
0.2 1.019031685840521 -0.0005032587884025492 -0.4284045058762668 0.0004351227461090767 -1.0213924009496165 -0.0013607959169228009
0.21 1.0593068439525903 -0.0005703599601895569 -0.40310057332643584 0.0004931391122569539 -0.9691241877428984 -0.0015422353725125153
0.22 1.099582002064684 -0.0006374611319765662 -0.3777966407766077 0.0005511554784048333 -0.916855974536184 -0.0017236748281022254
0.23 1.1398571601767444 -0.0007045623037635707 -0.3524927082267757 0.0006091718445527092 -0.8645877613294657 -0.00190511428369193
0.24 1.1801323182888095 -0.0007716634755505765 -0.3271887756769446 0.0006671882107005842 -0.8123195481227486 -0.002086553739281639
0.25 1.2204074764008799 -0.0008387646473375853 -0.30188484312711383 0.000725204576848463 -0.7600513349160287 -0.002267993194871343
0.26 1.2606826345129623 -0.0009058658191245909 -0.27658091057728296 0.0007832209429963411 -0.7077831217093115 -0.0024494326504610497
0.27 1.3009577926250198 -0.0009729669909115962 -0.25127697802745175 0.0008412373091442154 -0.6555149085025935 -0.0026308721060507604
0.28 1.341232950737096 -0.0010400681626986045 -0.22597304547762104 0.0008992536752920942 -0.6032466952958764 -0.0028123115616404673
0.29 1.3815081088491747 -0.0011071693344856142 -0.20066911292779085 0.0009572700414399709 -0.5509784820891592 -0.0029937510172301776
0.3 1.4217832669612385 -0.0011742705062726174 -0.17536518037795995 0.001015286407587846 -0.49871026888244174 -0.0031751904728198783
0.31 1.4620584250733135 -0.0012413716780596234 -0.15006124782812866 0.0010733027737357243 -0.44644205567572437 -0.003356629928409587
0.32 1.5023335831853792 -0.0013084728498466338 -0.12475731527829798 0.0011313191398836038 -0.39417384246900644 -0.0035380693839993068
0.33 1.5426087412974474 -0.001375574021633638 -0.09945338272846704 0.0011893355060314812 -0.34190562926228896 -0.0037195088395890006
0.34 1.5828838994095182 -0.0014426751934206465 -0.0741494501786355 0.001247351872179355 -0.2896374160555708 -0.00390094829517871
0.35 1.6231590575215957 -0.001509776365207654 -0.0488455176288051 0.0013053682383272337 -0.2373692028488536 -0.004082387750768435
0.36 1.6634342156336674 -0.0015768775369946549 -0.023541585078974844 0.0013633846044751074 -0.18510098964213634 -0.004263827206358121
0.37 1.7037093737457305 -0.0016439787087816644 0.0017623474708563713 0.001421400970622985 -0.13283277643541835 -0.004445266661947828
0.38 1.6822886994095243 -0.0014426751934206443 0.014641589821364091 0.0012473518721793618 -0.10663325605557152 -0.0039009482951787204
0.39 1.5991721926250313 -0.0009729669909115966 0.0150961419725478 0.0008412373091442147 -0.10650242850259302 -0.002630872106050759
0.4 1.516055685840529 -0.0005032587884025532 0.015550694123731704 0.00043512274610907467 -0.10637160094961709 -0.0013607959169227935
0.41 1.4329391790560364 -3.355058589350381e-5 0.016005246274915258 2.9008183073940682e-5 -0.10624077339664187 -9.071972779485954e-5
0.42 1.3498226722715438 0.000436157616615547 0.016459798426099292 -0.00037710637996120377 -0.10610994584366462 0.0011793564613330845
0.43 1.2667061654870446 0.0009058658191245904 0.016914350577282633 -0.0007832209429963384 -0.10597911829068875 0.0024494326504610614
0.44 1.1835896587025458 0.001375574021633642 0.01736890272846721 -0.0011893355060314747 -0.10584829073771129 0.0037195088395890062
0.45 1.1004731519180542 0.00184528222414269 0.017823454879650764 -0.0015954500690666187 -0.10571746318473502 0.004989585028716964
0.46 1.0173566451335565 0.0023149904266517272 0.018278007030834847 -0.0020015646321017585 -0.10558663563175737 0.006259661217844912
0.47 0.9342401383490619 0.002784698629160781 0.0187325591820187 -0.0024076791951368947 -0.10545580807878047 0.007529737406972856
0.48 0.8511236315645674 0.0032544068316698324 0.01918711133320169 -0.0028137937581720345 -0.10532498052580563 0.00879981359610082
0.49 0.76800712478007 0.0037241150341788794 0.019641663484386267 -0.0032199083212071785 -0.10519415297282748 0.010069889785228773
0.5 0.6848906179955734 0.004193823236687924 0.020096215635569802 -0.0036260228842423144 -0.10506332541985107 0.011339965974356735
0.51 0.601774111211078 0.004663531439196969 0.020550767786753684 -0.004032137447277452 -0.104932497866875 0.012610042163484672
0.52 0.5186576044265835 0.005133239641706019 0.021005319937938086 -0.004438252010312595 -0.10480167031389875 0.01388011835261262
0.53 0.43554109764208815 0.00560294784421507 0.021459872089121444 -0.004844366573347734 -0.10467084276092165 0.015150194541740599
0.54 0.3524245908575908 0.006072656046724131 0.0219144242403055 -0.0052504811363828785 -0.10454001520794402 0.016420270730868564
0.55 0.26930808407309403 0.006542364249233163 0.022368976391489097 -0.00565659569941801 -0.1044091876549679 0.0176903469199965
0.56 0.18619157728860009 0.007012072451742195 0.02282352854267322 -0.006062710262453148 -0.10427836010199178 0.01896042310912445
0.57 0.10307507050410603 0.007481780654251271 0.02327808069385738 -0.006468824825488286 -0.1041475325490149 0.020230499298252404
0.58 0.019958563719608257 0.00795148885676031 0.02373263284504016 -0.0068749393885234236 -0.10401670499603854 0.021500575487380345
0.59 -0.06315794306488565 0.008421197059269334 0.024187184996224735 -0.0072810539515585655 -0.10388587744306144 0.022770651676508293
0.6 -0.14627444984938162 0.008890905261778409 0.02464173714740827 -0.007687168514593699 -0.1037550498900845 0.024040727865636262
0.61 -0.2293909566338797 0.009360613464287449 0.02509628929859198 -0.008093283077628848 -0.10362422233710877 0.025310804054764158
0.62 -0.3125074634183729 0.009830321666796479 0.02555084144977586 -0.008499397640663998 -0.10349339478413166 0.026580880243892147
0.63 -0.35476545551316846 0.00868960174641738 0.023190974796901354 -0.007513119416150049 -0.09780737026993175 0.023496409498867152
