 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
0.0 80.08078500000002 80.275622 80.307 80.29136200000002
0.01 76.61418140437262 76.80628218918459 76.83890108065842 76.82326323782071
0.02 73.26077070708324 73.45022082622417 73.48406383764441 73.46842613837354
0.03 70.01854042830116 70.20542413412471 70.24047418577759 70.22483661697804
0.04 66.88547808819567 67.0698783358923 67.10611803987771 67.09048058895371
0.05 63.85957120693594 64.04156965453295 64.07898131476442 64.06334396961999
0.06 60.938807304691245 61.118484313052726 61.15704992525739 61.14141267429641
0.07 58.121173901630854 58.298608534457664 58.33830978617634 58.32267261830246
0.08 55.404658517924 55.57992854175381 55.62074681234095 55.60510971695763
0.09 52.78724867373995 52.96043055794724 53.002346918570915 52.98670988558143
0.1 50.26693188924792 50.43810080604395 50.481096019685886 50.46545903949333
0.11 47.84169568461715 48.01092550904998 48.05498003050557 48.039343094012814
0.12 45.509527580016936 45.67689088997141 45.721984865849656 45.7063479644594
0.13 43.26841509561648 43.433983171814255 43.480096440537814 43.46445956615256
0.14 41.11634575158506 41.280188577584596 41.32730066938975 41.311663814411816
0.15 39.0513070680919 39.213493330288436 39.26158346722514 39.24594662455664
0.16 37.07128656530628 37.23188365293185 37.280930748863675 37.26529391190654
0.17 35.17427176339743 35.33334576852085 35.38332842912502 35.36769159178098
0.18 33.3582501825346 33.51586590006153 33.56676242282892 33.55112557949951
0.19 31.621209342887024 31.777430270559886 31.829218644794988 31.81358179038157
0.2 29.96113676462396 30.116025103021975 30.168683009842944 30.153046139746657
0.21 28.37601996791466 28.529636620453843 28.58314143279248 28.567504542914293
0.22 26.863846472928365 27.01625104586154 27.070579828463256 27.05494291520395
0.23 25.42260379983433 25.573854602251103 25.628984111674985 25.613347171935125
0.24 24.050279468801797 24.200433512628575 24.256340197247336 24.240703228427314
0.25 22.744861000000007 22.893974000000004 22.950634000000004 22.934997
0.26 21.504335913598226 21.652462287371435 21.70985143475267 21.6942144019727
0.27 20.326691729765695 20.47388459774891 20.531978416325025 20.516341349664888
0.28 19.209915968671655 19.35622715413847 19.41500085953675 19.39936375839606
0.29 18.151996150485367 18.297476179546173 18.356904679207542 18.341267543485728
0.3 17.150919795376065 17.29561789697804 17.355675790157065 17.34003862025335
0.31 16.204674423513 16.34863852944013 16.40930010720502 16.39366290401845
0.32 15.311247555065423 15.454524299938482 15.515763545171094 15.500126310100502
0.33 14.468626710202582 14.611261431479143 14.673052018874964 14.65741475381901
0.34 13.674799409093726 13.816836147068157 13.879151443136326 13.863514150493465
0.35 12.927753171908103 13.069234669711566 13.132047732774861 13.116410415443362
0.36 12.225475518814958 12.366443222415416 12.429726802610254 12.414089463988189
0.37 11.565953969983536 11.706448028185745 11.770174567462192 11.754537211447445
0.38 10.94717604558309 11.087235310028602 11.151376942150357 11.135739573140619
0.39 10.367129265782866 10.50679129095003 10.57131984149444 10.555682464387205
0.4 9.82380115075211 9.963102193956072 10.027989180314123 10.012351800506694
0.41 9.315179220660081 9.454154242052779 9.519370873429102 9.503733496818592
0.42 8.839250995676013 8.977933658246183 9.043450835659048 9.027813468642377
0.43 8.394003995969157 8.532426665542335 8.598214981823654 8.58257763129755
0.44 7.977425741708767 8.115619486947278 8.181649226742609 8.1660119001036
0.45 7.587503753064085 7.725498345467056 7.791739485235595 7.776102190380023
0.46 7.22222555020436 7.360049464107712 7.426471672122298 7.410834417446314
