 R   <X|C|X>   <X|C|A>   <X|C|B>   <X|C|C>   <A|C|X>   <A|C|A>   <A|C|B>   <A|C|C>   <B|C|X>   <B|C|A>   <B|C|B>   <B|C|C>   <C|C|X>   <C|C|A>   <C|C|B>   <C|C|C> 
0.0 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.01 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.02 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.03 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.04 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.05 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.06 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.07 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.08 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.09 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.1 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.11 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.12 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.13 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.14 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.15 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.16 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.17 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.18 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.19 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.2 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.21 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.22 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.23 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.24 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.25 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.26 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.27 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.28 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.29 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.3 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.31 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.32 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.33 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.34 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.35 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.36 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.37 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.38 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.39 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.4 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.41 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.42 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
0.43 1.0 0.0 0.0 0.0 0.0 1.0 -0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0 1.0 0.0
