<|d/dR|> <|d/dR|>_20 <|d/dR|>_28
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
1.0000000000e-01 0.0000000000e+00 0.0000000000e+00
2.0000000000e-01 0.0000000000e+00 0.0000000000e+00
3.0000000000e-01 0.0000000000e+00 0.0000000000e+00
4.0000000000e-01 0.0000000000e+00 0.0000000000e+00
5.0000000000e-01 0.0000000000e+00 0.0000000000e+00
8.0000000000e-01 0.0000000000e+00 0.0000000000e+00
1.0000000000e+00 0.0000000000e+00 0.0000000000e+00
1.2000000000e+00 0.0000000000e+00 0.0000000000e+00
1.5000000000e+00 0.0000000000e+00 0.0000000000e+00
1.8897300000e+00 -1.2548522000e-01 2.7450443000e+00
1.8969100000e+00 -6.0150236000e-01 -7.2942670000e-02
1.9040900000e+00 -6.1862306000e-01 -4.6553410000e-02
1.9112700000e+00 -6.3690905000e-01 -2.1010300000e-02
1.9184500000e+00 -6.5645160000e-01 3.6824500000e-03
1.9256300000e+00 -6.7734912000e-01 2.7526710000e-02
1.9328100000e+00 -6.9970789000e-01 5.0529250000e-02
1.9399900000e+00 -7.2364279000e-01 7.2700930000e-02
1.9471700000e+00 -7.4927811000e-01 9.4055800000e-02
1.9543500000e+00 -7.7674843000e-01 1.1461042000e-01
1.9615400000e+00 -8.0619951000e-01 1.3438328000e-01
1.9687200000e+00 -8.3778922000e-01 1.5339435000e-01
1.9759000000e+00 -8.7168859000e-01 1.7166468000e-01
1.9830800000e+00 -9.0808273000e-01 1.8921608000e-01
1.9902600000e+00 -9.4717186000e-01 2.0607095000e-01
1.9974400000e+00 -9.8917224000e-01 2.2225200000e-01
2.0046200000e+00 -1.0343170000e+00 2.3778213000e-01
2.0118000000e+00 -1.0828568000e+00 2.5268444000e-01
2.0189800000e+00 -1.1350603000e+00 2.6698196000e-01
2.0261600000e+00 -1.1912142000e+00 2.8069779000e-01
2.0333500000e+00 -1.2516226000e+00 2.9385497000e-01
2.0405300000e+00 -1.3166058000e+00 3.0647651000e-01
2.0477100000e+00 -1.3864981000e+00 3.1858539000e-01
