{R} <|d/dR|>_50
0.0000000000e+00 0.0000000000e+00
1.0000000000e-01 0.0000000000e+00
2.0000000000e-01 0.0000000000e+00
3.0000000000e-01 0.0000000000e+00
4.0000000000e-01 0.0000000000e+00
5.0000000000e-01 0.0000000000e+00
8.0000000000e-01 0.0000000000e+00
1.0000000000e+00 0.0000000000e+00
1.2000000000e+00 0.0000000000e+00
1.5000000000e+00 0.0000000000e+00
1.8897300000e+00 1.8014338000e-01
1.8969100000e+00 2.2155545000e-01
1.9040900000e+00 2.1425746000e-01
1.9112700000e+00 2.0691514000e-01
1.9184500000e+00 1.9954881000e-01
1.9256300000e+00 1.9217710000e-01
1.9328100000e+00 1.8481713000e-01
1.9399900000e+00 1.7748456000e-01
1.9471700000e+00 1.7019370000e-01
1.9543500000e+00 1.6295772000e-01
1.9615400000e+00 1.5578860000e-01
1.9687200000e+00 1.4869732000e-01
1.9759000000e+00 1.4169389000e-01
1.9830800000e+00 1.3478745000e-01
1.9902600000e+00 1.2798632000e-01
1.9974400000e+00 1.2129808000e-01
2.0046200000e+00 1.1472961000e-01
2.0118000000e+00 1.0828716000e-01
2.0189800000e+00 1.0197638000e-01
2.0261600000e+00 9.5802380000e-02
2.0333500000e+00 8.9769790000e-02
2.0405300000e+00 8.3882740000e-02
2.0477100000e+00 7.8144970000e-02
2.0548900000e+00 7.2559830000e-02
2.0620700000e+00 6.7130290000e-02
2.0692500000e+00 6.1859010000e-02
2.0764300000e+00 5.6748330000e-02
2.0836100000e+00 5.1800330000e-02
2.0907900000e+00 4.7016840000e-02
2.0979700000e+00 4.2399420000e-02
2.1051500000e+00 3.7949480000e-02
2.1123400000e+00 3.3668180000e-02
2.1195200000e+00 2.9556530000e-02
2.1267000000e+00 2.5615390000e-02
2.1338800000e+00 2.1845460000e-02
2.1410600000e+00 1.8247320000e-02
2.1482400000e+00 1.4821430000e-02
2.1554200000e+00 1.1568120000e-02
2.1626000000e+00 8.4876900000e-03
2.1697800000e+00 5.5802700000e-03
2.1769600000e+00 2.8460000000e-03
2.1841500000e+00 2.8487000000e-04
2.1913300000e+00 -2.1031200000e-03
2.1985100000e+00 -4.3180700000e-03
2.1986616400e+00 -4.3629806113e-03
2.1988132800e+00 -4.4078143230e-03
2.1989649200e+00 -4.4525711301e-03
2.1991165600e+00 -4.4972510279e-03
2.1992682000e+00 -4.5418540114e-03
2.1994198400e+00 -4.5863800757e-03
2.1995714800e+00 -4.6308292161e-03
2.1997231200e+00 -4.6752014276e-03
2.1998747600e+00 -4.7194967054e-03
2.2000264000e+00 -4.7637150446e-03
2.2000725000e+00 -4.7771425884e-03
2.2001185000e+00 -4.7905339170e-03
2.2001645000e+00 -4.8039181649e-03
2.2002106000e+00 -4.8173244050e-03
2.2002566000e+00 -4.8306944757e-03
2.2003026000e+00 -4.8440574653e-03
2.2003487000e+00 -4.8574424005e-03
2.2003947000e+00 -4.8707912120e-03
2.2004407000e+00 -4.8841329420e-03
2.2004867000e+00 -4.8974675904e-03
2.2005328000e+00 -4.9108241222e-03
2.2005788000e+00 -4.9241445914e-03
2.2006248000e+00 -4.9374579786e-03
2.2006709000e+00 -4.9507932026e-03
2.2007169000e+00 -4.9640924099e-03
2.2007629000e+00 -4.9773845347e-03
2.2008090000e+00 -4.9906984496e-03
2.2008550000e+00 -5.0039763937e-03
2.2009010000e+00 -5.0172472548e-03
2.2009471000e+00 -5.0305398595e-03
2.2009931000e+00 -5.0437965391e-03
2.2010391000e+00 -5.0570461354e-03
2.2010852000e+00 -5.0703174287e-03
2.2011312000e+00 -5.0835528426e-03
2.2011772000e+00 -5.0967811728e-03
2.2012233000e+00 -5.1100311533e-03
2.2012693000e+00 -5.1232453004e-03
2.2013153000e+00 -5.1364523633e-03
2.2013614000e+00 -5.1496810298e-03
2.2014074000e+00 -5.1628739088e-03
2.2014534000e+00 -5.1760597032e-03
2.2014994000e+00 -5.1892384129e-03
2.2015455000e+00 -5.2024386641e-03
2.2015915000e+00 -5.2156031888e-03
2.2016375000e+00 -5.2287606284e-03
2.2016836000e+00 -5.2419395628e-03
2.2017296000e+00 -5.2550828165e-03
2.2017756000e+00 -5.2682189847e-03
2.2018217000e+00 -5.2813766011e-03
2.2018677000e+00 -5.2944985826e-03
2.2019137000e+00 -5.3076134782e-03
2.2019598000e+00 -5.3207497753e-03
2.2020058000e+00 -5.3338504834e-03
2.2020518000e+00 -5.3469441052e-03
2.2020979000e+00 -5.3600590818e-03
2.2021439000e+00 -5.3731385152e-03
2.2021899000e+00 -5.3862108620e-03
2.2022360000e+00 -5.3993045169e-03
2.2022820000e+00 -5.4123626744e-03
2.2023280000e+00 -5.4254137449e-03
2.2023741000e+00 -5.4384860769e-03
2.2024201000e+00 -5.4515229573e-03
2.2024661000e+00 -5.4645527503e-03
2.2025121000e+00 -5.4775754556e-03
2.2025582000e+00 -5.4906193603e-03
2.2026042000e+00 -5.5036278745e-03
2.2026502000e+00 -5.5166293007e-03
2.2026963000e+00 -5.5296518795e-03
2.2027423000e+00 -5.5426391138e-03
2.2027883000e+00 -5.5556192596e-03
2.2028344000e+00 -5.5686205115e-03
2.2028804000e+00 -5.5815864646e-03
2.2029264000e+00 -5.5945453288e-03
2.2029725000e+00 -5.6075252524e-03
2.2030185000e+00 -5.6204699231e-03
2.2030645000e+00 -5.6334075045e-03
2.2031106000e+00 -5.6463660986e-03
2.2031566000e+00 -5.6592894857e-03
2.2032026000e+00 -5.6722057831e-03
2.2032487000e+00 -5.6851430465e-03
2.2032947000e+00 -5.6980451487e-03
2.2033407000e+00 -5.7109401609e-03
2.2033868000e+00 -5.7238560923e-03
2.2034328000e+00 -5.7367369085e-03
2.2034788000e+00 -5.7496106342e-03
2.2035248000e+00 -5.7624772692e-03
2.2035709000e+00 -5.7753647613e-03
2.2036169000e+00 -5.7882171993e-03
2.2036629000e+00 -5.8010625463e-03
2.2037090000e+00 -5.8139287036e-03
2.2037550000e+00 -5.8267598526e-03
2.2038010000e+00 -5.8395839102e-03
2.2038471000e+00 -5.8524287315e-03
2.2038931000e+00 -5.8652385904e-03
2.2039391000e+00 -5.8780413575e-03
2.2039852000e+00 -5.8908648415e-03
2.2040312000e+00 -5.9036534090e-03
2.2040772000e+00 -5.9164348843e-03
2.2041233000e+00 -5.9292370298e-03
2.2041693000e+00 -5.9420043048e-03
2.2042153000e+00 -5.9547644870e-03
2.2042614000e+00 -5.9675452929e-03
2.2043074000e+00 -5.9802912740e-03
2.2043534000e+00 -5.9930301620e-03
2.2043995000e+00 -6.0057896269e-03
2.2044455000e+00 -6.0185143130e-03
2.2044915000e+00 -6.0312319056e-03
2.2045375000e+00 -6.0439424045e-03
2.2045836000e+00 -6.0566734181e-03
2.2046296000e+00 -6.0693697140e-03
2.2046756000e+00 -6.0820589159e-03
2.2047217000e+00 -6.0947685856e-03
2.2047677000e+00 -6.1074435836e-03
2.2048137000e+00 -6.1201114872e-03
2.2048598000e+00 -6.1327998120e-03
2.2049058000e+00 -6.1454535108e-03
2.2049518000e+00 -6.1581001149e-03
2.2049979000e+00 -6.1707670934e-03
2.2050439000e+00 -6.1833994919e-03
2.2050899000e+00 -6.1960247952e-03
2.2051360000e+00 -6.2086704262e-03
2.2051820000e+00 -6.2212815231e-03
2.2052280000e+00 -6.2338855244e-03
2.2052741000e+00 -6.2465098068e-03
2.2053201000e+00 -6.2590996009e-03
2.2053661000e+00 -6.2716822990e-03
2.2054122000e+00 -6.2842852314e-03
2.2054582000e+00 -6.2968537215e-03
2.2055042000e+00 -6.3094151152e-03
2.2055502000e+00 -6.3219694122e-03
2.2055963000e+00 -6.3345438813e-03
2.2056423000e+00 -6.3470839693e-03
2.2056883000e+00 -6.3596169602e-03
2.2057344000e+00 -6.3721700766e-03
2.2057804000e+00 -6.3846888579e-03
2.2058264000e+00 -6.3972005423e-03
2.2058725000e+00 -6.4097323060e-03
2.2059185000e+00 -6.4222297814e-03
2.2059645000e+00 -6.4347201601e-03
2.2060106000e+00 -6.4472305721e-03
2.2060566000e+00 -6.4597067423e-03
2.2061026000e+00 -6.4721758162e-03
2.2061487000e+00 -6.4846648773e-03
2.2061947000e+00 -6.4971197433e-03
2.2062407000e+00 -6.5095675133e-03
2.2062868000e+00 -6.5220352245e-03
2.2063328000e+00 -6.5344687872e-03
