# Data
<|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|>
0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.88973 -0.260185 0.165938 -0.0431588 -0.106546 -0.0764518 -0.0691164 0.192887 -0.0428944 -0.00046062 0.0990293 0.0451543 -0.242575 -0.187762 0.261666 0.210001 0.150755 0.0175566 -0.05479 0.00902563 -0.125485 -0.0404963 -0.279556 -0.218135 -0.0157698 -0.0529199 -0.0516565 0.113934 2.74504 -4.50417 0.400987 -0.291471 -0.196033 -0.232537 0.627855 -8.80653 0.459417 -0.605074 -0.153131 -0.16994 0.28298 -0.255687 0.373809 0.197637 0.283341 -0.662765 -0.444599 -0.00197681 -0.0796107 0.131929 0.180143 0.0207735 -0.136955 0.429101 -0.820517 -7.1501
1.89691 -0.525857 0.323004 -0.0622635 -0.201907 -0.168092 -0.134453 0.383637 -0.0863037 -0.0120451 0.202525 0.178805 -0.0632533 -0.237529 0.230815 0.446617 0.25924 0.0129545 -0.14115 0.0913494 -0.601502 -0.177861 -0.353542 -0.462261 -0.00833353 -0.0882791 -0.0911077 0.17579 -0.0729427 0.725719 0.141546 0.0745729 -0.0397188 -0.0707356 0.176488 0.255958 0.439647 -0.768629 -0.120605 -0.138806 0.0295557 0.703626 -0.280492 -0.0371501 0.0862553 -0.0513694 -0.464408 0.0815383 -0.0723504 0.0324536 0.221555 -0.0889879 0.0623913 0.326273 -0.298821 5.32927
1.90409 -0.527313 0.312812 -0.0595194 -0.198915 -0.165808 -0.132696 0.383931 -0.0848777 -0.0197717 0.200304 0.178451 -0.0622296 -0.237027 0.230321 0.441973 0.25259 0.0152715 -0.142764 0.0869124 -0.618623 -0.174806 -0.356607 -0.466875 -0.00862957 -0.086273 -0.096522 0.172745 -0.0465534 0.702539 0.141177 0.068582 -0.0420414 -0.0818645 0.173268 0.240093 0.410716 -0.730978 -0.115037 -0.138617 0.0251647 0.678577 -0.26329 -0.0359306 0.0862061 -0.0472322 -0.473795 0.0833237 -0.0729743 0.0314777 0.214257 -0.0879413 0.0560034 0.328524 -0.274268 4.8027
1.91127 -0.528733 0.303134 -0.0568342 -0.19611 -0.163598 -0.130861 0.384153 -0.0834726 -0.0266753 0.197921 0.178222 -0.0612444 -0.236523 0.229807 0.437365 0.246069 0.0175041 -0.143976 0.082913 -0.636909 -0.171856 -0.359648 -0.471226 -0.00892924 -0.084328 -0.101307 0.169878 -0.0210103 0.679826 0.140924 0.0629329 -0.0442478 -0.0920389 0.169852 0.228846 0.383905 -0.695447 -0.109751 -0.138253 0.0212544 0.655037 -0.247054 -0.0347727 0.0858282 -0.0435461 -0.481534 0.0851342 -0.0735696 0.0307183 0.206915 -0.0864736 0.0501434 0.328782 -0.251848 4.36744
