# Data
{R} <|d/dR|>_50  
0 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.8 0
1 0
1.2 0
1.5 0
1.88973 0.18014338
1.89691 0.22155545
1.90409 0.21425746
1.91127 0.20691514
1.91845 0.19954881
1.92563 0.1921771
1.93281 0.18481713
1.93999 0.17748456
1.94717 0.1701937
1.95435 0.16295772
1.96154 0.1557886
1.96872 0.14869732
1.9759 0.14169389
1.98308 0.13478745
1.99026 0.12798632
1.99744 0.12129808
2.00462 0.11472961
2.0118 0.10828716
2.01898 0.10197638
2.02616 0.09580238
2.03335 0.08976979
2.04053 0.08388274
2.04771 0.07814497
2.05489 0.07255983
2.06207 0.06713029
2.06925 0.06185901
2.07643 0.05674833
2.08361 0.05180033
2.09079 0.04701684
2.09797 0.04239942
2.10515 0.03794948
2.11234 0.03366818
2.11952 0.02955653
2.1267 0.02561539
2.13388 0.02184546
2.14106 0.01824732
2.14824 0.01482143
2.15542 0.01156812
2.1626 0.00848769
2.16978 0.00558027
2.17696 0.002846
2.18415 2.8487E-4
2.19133 -0.00210312
2.19851 -0.00431807
2.20569 -0.00636008
2.21287 -0.00822933
2.22005 -0.00992602
2.22723 -0.0114504
2.23441 -0.0128027
2.24159 -0.01398323
2.24877 -0.0149923
2.25596 -0.01583023
2.26314 -0.01649737
2.27032 -0.01700242
2.2775 -0.0174358
2.28468 -0.01782301
2.29186 -0.01816515
2.29904 -0.01846336
2.30622 -0.01871886
2.3134 -0.01893291
2.32058 -0.01910681
2.32776 -0.01924196
2.33495 -0.01933978
2.34213 -0.01940183
2.34931 -0.0194297
2.35649 -0.01942509
2.36367 -0.01938982
2.37085 -0.01932578
2.37803 -0.01923503
2.38521 -0.01911974
2.39239 -0.01898223
2.39957 -0.01882503
2.40676 -0.01865083
2.41394 -0.0184626
2.42112 -0.01826354
2.4283 -0.01805719
2.43548 -0.01784747
2.44266 -0.01763876
2.44984 -0.01743601
2.45702 -0.01724483
2.4642 -0.01707172
2.47138 -0.01692424
2.47856 -0.01681134
2.48575 -0.0167437
2.49293 -0.01673431
2.50011 -0.01679914
2.50729 -0.01695814
2.51447 -0.01723658
2.52165 -0.01766677
2.52883 -0.01829048
2.53601 -0.01916187
2.54319 -0.02035064
2.55037 -0.02194382
2.55756 -0.02404183
2.56474 -0.02673858
2.57192 -0.030068
2.5791 -0.03390817
2.58628 -0.03789934
2.59346 -0.04152328
2.60064 -0.04437503
2.60782 -0.04635452
2.615 -0.04759738
2.62218 -0.04830992
2.62936 -0.04867217
2.63655 -0.04881451
2.64373 -0.04882479
2.65091 -0.04875125
2.65809 -0.04860702
2.66527 -0.04841584
2.67245 -0.04819454
2.67963 -0.04795463
2.68681 -0.04770405
2.69399 -0.04744837
2.70117 -0.04719153
2.70836 -0.04693629
2.71554 -0.04668461
2.72272 -0.04643784
2.7299 -0.04619691
