# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
0.00000000e+00  -6.24704000e-01 -1.92656000e-01 0.00000000e+00  -4.54858000e-01 0.00000000e+00  0.00000000e+00
2.50000000e-01  -4.45462000e-01 -3.81100000e-02 0.00000000e+00  -1.01507000e-01 0.00000000e+00  0.00000000e+00
5.00000000e-01  -1.10900000e-01 -2.23000000e-02 0.00000000e+00  -3.41000000e-02 0.00000000e+00  0.00000000e+00
7.50000000e-01  -1.35575000e-01 -2.43470000e-02 0.00000000e+00  -1.69230000e-02 0.00000000e+00  -0.00000000e+00
1.00000000e+00  -2.32600000e-01 -1.20000000e-03 -1.38120000e-02 -5.96000000e-02 1.20380000e-02  -3.72810000e-02
1.25000000e+00  -3.34694000e-01 2.82260000e-02  -3.75020000e-02 -1.44311000e-01 3.33950000e-02  -1.00733000e-01
1.50000000e+00  -4.17300000e-01 2.63000000e-02  -6.15030000e-02 -1.75800000e-01 5.66440000e-02  -1.63892000e-01
1.75000000e+00  -4.13257000e-01 2.00910000e-02  -7.62510000e-02 -1.59046000e-01 7.43880000e-02  -2.00287000e-01
2.00000000e+00  -3.52300000e-01 2.60000000e-03  -7.20190000e-02 -1.09600000e-01 7.91360000e-02  -1.82974000e-01
2.25000000e+00  -2.10008000e-01 -1.51880000e-02 -4.39080000e-02 -7.67680000e-02 6.86030000e-02  -9.88060000e-02
2.50000000e+00  -8.83820000e-02 -2.85030000e-02 -2.00130000e-02 -5.98940000e-02 7.00090000e-02  -2.97410000e-02
2.75000000e+00  -4.18910000e-02 -3.74950000e-02 -1.91100000e-03 -4.78240000e-02 7.66610000e-02  1.68480000e-02
3.00000000e+00  -3.52300000e-03 -4.05230000e-02 1.23980000e-02  -4.39980000e-02 8.30020000e-02  4.81110000e-02
3.25000000e+00  2.62780000e-02  -4.17200000e-02 2.36530000e-02  -4.19900000e-02 8.73790000e-02  7.03640000e-02
3.50000000e+00  4.87680000e-02  -4.28680000e-02 3.23700000e-02  -3.91610000e-02 8.98620000e-02  8.86230000e-02
3.75000000e+00  6.59230000e-02  -4.41010000e-02 3.93070000e-02  -3.50570000e-02 9.10070000e-02  1.07702000e-01
4.00000000e+00  7.98120000e-02  -4.49440000e-02 4.53870000e-02  -2.98620000e-02 9.12340000e-02  1.34303000e-01
4.25000000e+00  9.21260000e-02  -4.47940000e-02 5.13860000e-02  -2.35390000e-02 9.07850000e-02  1.81522000e-01
4.50000000e+00  1.04032000e-01  -4.28220000e-02 5.78130000e-02  -1.53140000e-02 8.97230000e-02  2.83363000e-01
4.75000000e+00  1.16360000e-01  -3.72820000e-02 6.53570000e-02  -3.54100000e-03 8.77790000e-02  5.20732000e-01
5.00000000e+00  1.29702000e-01  -1.91660000e-02 7.60100000e-02  2.04920000e-02  8.18960000e-02  1.60024700e+00
