 {R}   <|d/dR|>_50 
0.0 -3.545825854533823e-22
0.1 2.8587361969832636e-21
0.2 -1.1858461261560205e-20
0.3 4.2351647362715017e-20
0.4 -1.6263032587282567e-19
0.5 2.168404344971009e-19
0.8 -8.673617379884035e-19
1.0 1.734723475976807e-18
1.2 -6.938893903907228e-18
1.5 0.0
1.88973 0.18014338
1.89691 0.22155545000000004
1.90409 0.21425745999999993
1.91127 0.20691514000000003
1.91845 0.19954881000000002
1.92563 0.19217710000000002
1.93281 0.18481713
1.93999 0.17748456000000004
1.94717 0.17019369999999998
1.95435 0.16295772
1.96154 0.1557886
1.96872 0.14869732
1.9759 0.14169389
1.98308 0.13478744999999995
1.99026 0.12798632
1.99744 0.12129808
2.00462 0.11472961000000001
2.0118 0.10828716
2.01898 0.10197638000000002
2.02616 0.09580238
2.03335 0.08976978999999997
2.04053 0.08388274000000001
2.04771 0.07814497000000001
2.05489 0.07255983000000002
2.06207 0.06713028999999998
2.06925 0.061859010000000006
2.07643 0.05674833000000001
2.08361 0.051800330000000006
2.09079 0.04701684000000002
2.09797 0.04239942
2.10515 0.037949479999999994
2.11234 0.03366817999999999
2.11952 0.029556530000000004
2.1267 0.025615390000000002
2.13388 0.02184546
2.14106 0.018247320000000004
2.14824 0.014821429999999998
2.15542 0.011568119999999996
2.1626 0.00848769
2.16978 0.00558027
2.17696 0.0028459999999999996
2.18415 0.00028486999999999984
2.19133 -0.002103119999999999
2.19851 -0.00431807
2.19866164 -0.0043629806113
2.19881328 -0.0044078143229999995
2.19896492 -0.004452571130099999
2.19911656 -0.0044972510279
2.1992682 -0.0045418540114
2.19941984 -0.0045863800757
2.19957148 -0.0046308292161
2.19972312 -0.004675201427600001
2.19987476 -0.004719496705399999
2.2000264 -0.004763715044600001
2.2000725 -0.0047771425884
2.2001185 -0.004790533917000001
2.2001645 -0.0048039181649
2.2002106 -0.004817324405000001
2.2002566 -0.004830694475700001
2.2003026 -0.004844057465300001
2.2003487 -0.0048574424005
2.2003947 -0.004870791212
2.2004407 -0.004884132942
2.2004867 -0.0048974675904
2.2005328 -0.004910824122200001
2.2005788 -0.004924144591400002
2.2006248 -0.004937457978600001
2.2006709 -0.0049507932026
2.2007169 -0.0049640924099
2.2007629 -0.004977384534700001
2.200809 -0.004990698449599999
2.200855 -0.0050039763937
2.200901 -0.005017247254800001
2.2009471 -0.005030539859500001
2.2009931 -0.005043796539099999
2.2010391 -0.0050570461354
2.2010852 -0.005070317428700001
2.2011312 -0.005083552842599998
2.2011772 -0.0050967811728000025
2.2012233 -0.0051100311533
2.2012693 -0.0051232453004
2.2013153 -0.0051364523633
2.2013614 -0.005149681029800001
2.2014074 -0.005162873908800001
2.2014534 -0.0051760597031999984
2.2014994 -0.0051892384129
2.2015455 -0.0052024386641
2.2015915 -0.0052156031888
2.2016375 -0.005228760628400001
2.2016836 -0.0052419395628
2.2017296 -0.0052550828165
2.2017756 -0.005268218984700002
2.2018217 -0.0052813766011
2.2018677 -0.005294498582599999
2.2019137 -0.0053076134782
2.2019598 -0.005320749775300001
2.2020058 -0.005333850483400001
2.2020518 -0.005346944105199999
2.2020979 -0.0053600590818
2.2021439 -0.0053731385152
2.2021899 -0.0053862108620000015
2.202236 -0.005399304516900001
2.202282 -0.0054123626744
2.202328 -0.0054254137449
2.2023741 -0.0054384860769
2.2024201 -0.005451522957299999
2.2024661 -0.005464552750299999
2.2025121 -0.005477575455599999
2.2025582 -0.0054906193602999994
2.2026042 -0.0055036278745
2.2026502 -0.005516629300700002
2.2026963 -0.005529651879500001
2.2027423 -0.005542639113799999
2.2027883 -0.005555619259600002
2.2028344 -0.005568620511500001
2.2028804 -0.005581586464600002
2.2029264 -0.005594545328799999
2.2029725 -0.0056075252524000006
2.2030185 -0.005620469923100001
2.2030645 -0.005633407504499999
2.2031106 -0.0056463660986
2.2031566 -0.005659289485699999
2.2032026 -0.005672205783099999
2.2032487 -0.0056851430465
2.2032947 -0.0056980451487
2.2033407 -0.005710940160900001
2.2033868 -0.0057238560923
2.2034328 -0.005736736908500001
2.2034788 -0.0057496106341999986
2.2035248 -0.005762477269199999
2.2035709 -0.0057753647613
2.2036169 -0.0057882171993
2.2036629 -0.005801062546300001
2.203709 -0.005813928703600001
2.203755 -0.0058267598526
2.203801 -0.005839583910200003
2.2038471 -0.005852428731500002
2.2038931 -0.005865238590400001
2.2039391 -0.0058780413575
2.2039852 -0.005890864841500001
2.2040312 -0.005903653409
2.2040772 -0.0059164348843
2.2041233 -0.005929237029799999
2.2041693 -0.0059420043048
2.2042153 -0.005954764486999999
2.2042614 -0.0059675452929000014
2.2043074 -0.005980291274
2.2043534 -0.005993030161999999
2.2043995 -0.006005789626899999
2.2044455 -0.006018514312999998
2.2044915 -0.006031231905599998
2.2045375 -0.0060439424044999995
2.2045836 -0.006056673418100001
2.2046296 -0.006069369714
2.2046756 -0.006082058915900001
2.2047217 -0.006094768585600001
2.2047677 -0.0061074435836
