 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
0.0 -0.010346818551390838 -0.010346818551390838
0.01 -0.010516077240753607 -0.010516077240753607
0.02 -0.010688628260767373 -0.010688628260767373
0.03 -0.010864544324348363 -0.010864544324348363
0.04 -0.011043899875903509 -0.011043899875903509
0.05 -0.011226771133424806 -0.011226771133424806
0.06 -0.011413236131525237 -0.011413236131525237
0.07 -0.011603374765429723 -0.011603374765429723
0.08 -0.0117972688359333 -0.0117972688359333
0.09 -0.011995002095338592 -0.011995002095338592
0.1 -0.012196660294383982 -0.012196660294383982
0.11 -0.012402331230172998 -0.012402331230172998
0.12 -0.012612104795115047 -0.012612104795115047
0.13 -0.01282607302688634 -0.01282607302688634
0.14 -0.01304433015941916 -0.01304433015941916
0.15 -0.013266972674926693 -0.013266972674926693
0.16 -0.013494099356968898 -0.013494099356968898
0.17 -0.013725811344564676 -0.013725811344564676
0.18 -0.01396221218735289 -0.01396221218735289
0.19 -0.014203407901804636 -0.014203407901804636
0.2 -0.014449507028486212 -0.014449507028486212
0.21000000000000002 -0.0147006204106685 -0.0147006204106685
0.22 -0.014956860395158396 -0.014956860395158396
0.22999999999999998 -0.015218341697060557 -0.015218341697060557
0.24 -0.01548518173441743 -0.01548518173441743
0.25 -0.015757500688893054 -0.015757500688893054
0.26 -0.016035421567418766 -0.016035421567418766
0.27 -0.016319070264783447 -0.016319070264783447
0.27999999999999997 -0.016608575627148413 -0.016608575627148413
0.29 -0.01690406951646266 -0.01690406951646266
0.3 -0.017205686875751934 -0.017205686875751934
0.3090909090909091 -0.017485315284744216 -0.017485315284744216
0.3181818181818182 -0.017770230110544027 -0.017770230110544027
0.32727272727272727 -0.018060545368342076 -0.018060545368342076
0.33636363636363636 -0.018356377538359815 -0.018356377538359815
0.34545454545454546 -0.018657845613629348 -0.018657845613629348
0.35454545454545455 -0.01896507114825258 -0.01896507114825258
0.36363636363636365 -0.019278178306110946 -0.019278178306110946
0.37272727272727274 -0.01959729390999447 -0.01959729390999447
0.38181818181818183 -0.019922547491115588 -0.019922547491115588
0.39090909090909093 -0.020254071338970357 -0.020254071338970357
0.4 -0.020592000551505396 -0.020592000551505396
