 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A> 
0.0 -0.4788199492653268 -0.8778962998206263 0.8778962998206289 -0.4788199492653647
0.01 -0.4788199492653268 -0.8778962998206263 0.8778962998206289 -0.4788199492653647
0.02 -0.4779157306938707 -0.8783888616895607 0.8783888616895629 -0.4779157306939086
0.03 -0.47700359351234334 -0.8788845084589146 0.8788845084589166 -0.4770035935123812
0.04 -0.4760834316408504 -0.8793832574611313 0.879383257461133 -0.47608343164088823
0.05 -0.475155152428697 -0.879885131454338 0.8798851314543394 -0.47515515242873485
0.06 -0.47421866143808417 -0.8803901530645644 0.8803901530645656 -0.474218661438122
0.07 -0.4732738624441088 -0.8808983447857422 0.8808983447857432 -0.47327386244414665
0.08 -0.47232065743476376 -0.8814097289797056 0.8814097289797064 -0.4723206574348016
0.09 -0.4713589466109377 -0.8819243278761907 0.8819243278761911 -0.47135894661097555
0.1 -0.47038862838641526 -0.8824421635728358 0.882442163572836 -0.4703886283864531
0.11 -0.4694095993878769 -0.8829632580351815 0.8829632580351816 -0.46940959938791477
0.12 -0.4684217680317302 -0.8834876401321574 0.8834876401321571 -0.46842176803176805
0.13 -0.46742506788997734 -0.8840153525622472 0.8840153525622467 -0.4674250678900152
0.14 -0.4664193115403987 -0.8845463761189482 0.8845463761189475 -0.46641931154043653
0.15 -0.4654043925482766 -0.8850807343572943 0.8850807343572934 -0.4654043925483144
0.16 -0.4643802024060864 -0.8856184505521711 0.88561845055217 -0.46438020240612427
0.17 -0.46334663053349684 -0.886159547698316 0.8861595476983146 -0.4633466305335347
0.18 -0.4623035642773697 -0.8867040485103174 0.8867040485103159 -0.4623035642774075
0.19 -0.4612508889117598 -0.887251975422616 0.8872519754226142 -0.46125088891179766
0.2 -0.46018848763791537 -0.8878033505895037 0.8878033505895018 -0.4601884876379532
0.21000000000000002 -0.4591162415842776 -0.888358195885124 0.888358195885122 -0.45911624158431547
0.22 -0.45803402980648095 -0.8889165329034723 0.8889165329034701 -0.4580340298065188
0.22999999999999998 -0.45694176790483515 -0.889478423878658 0.8894784238786558 -0.456941767904873
0.24 -0.45583930901897823 -0.8900438667758179 0.8900438667758155 -0.4558393090190161
0.25 -0.45472648721341596 -0.8906128412637567 0.8906128412637542 -0.4547264872134538
0.26 -0.453603177034351 -0.8911853718231824 0.8911853718231797 -0.4536031770343888
0.27 -0.4524692506840818 -0.8917614823673911 0.8917614823673883 -0.45246925068411964
0.27999999999999997 -0.45132457802100273 -0.8923411962422677 0.8923411962422648 -0.4513245780210406
0.29 -0.4501690265596039 -0.8929245362262858 0.8929245362262828 -0.45016902655964175
0.3 -0.4490024614704713 -0.8935115245305074 0.8935115245305043 -0.44900246147050915
0.3090909090909091 -0.4479322750900533 -0.8940483343827051 0.894048334382702 -0.4479322750900911
0.3181818181818182 -0.44685276845828353 -0.8945881931239317 0.8945881931239285 -0.44685276845832134
0.32727272727272727 -0.4457638352329356 -0.8951311162209052 0.895131116220902 -0.44576383523297347
0.33636363636363636 -0.44466539062748944 -0.8956771918807968 0.8956771918807935 -0.44466539062752725
0.34545454545454546 -0.4435573101757131 -0.8962263876714123 0.896226387671409 -0.4435573101757509
0.35454545454545455 -0.44243946327421046 -0.8967786564476644 0.8967786564476611 -0.4424394632742482
0.36363636363636365 -0.4413117389244867 -0.897334017644328 0.8973340176443246 -0.4413117389245245
0.37272727272727274 -0.4401740244144242 -0.8978924899527095 0.8978924899527061 -0.440174024414462
