 R   <X|d2/dR2|A> 
10.00421 0.02881711450808154
10.01139 0.026259357822638843
10.01857 0.023876951199480488
10.02575 0.021868651439170148
10.03293 0.01996939629455119
10.04011 0.018898901558067074
10.0473 0.01744101044783969
10.05448 0.015605862641044382
10.06166 0.014578740094031536
10.06884 0.01355286274035565
10.07602 0.012658819289214862
10.0832 0.011848373345431516
10.09038 0.011098568970501752
10.09756 0.010436742035118081
10.10474 0.009822700868006063
10.11192 0.009537696876395059
10.11911 0.009021677522072636
10.12629 0.008301102612213108
10.13347 0.007953354938396088
10.14065 0.00758927255471745
10.14783 0.00723492946566576
10.15501 0.006930353902024621
10.16219 0.006656363623750583
10.16937 0.006398038667301561
10.17655 0.006137418752156626
10.18373 0.006074579339100994
10.19092 0.005878912378675031
10.1981 0.00554427560713799
10.20528 0.005400299273687981
10.21246 0.005238717148899067
10.21964 0.005100785949407243
10.22682 0.004979022325897676
10.234 0.004866113261447208
10.24118 0.004756491850011237
10.24836 0.004657565098125463
10.25554 0.00455727892213145
10.26272 0.00451616964589307
10.26991 0.004749393116017962
10.27709 0.004860024571433145
10.28427 0.0038966831596729474
10.29145 0.003740768130430651
10.29863 0.0042445228847559245
10.30581 0.0041320016239515395
10.31299 0.00381496276992219
10.32017 0.004035800060360461
10.32735 0.004151515992665042
10.33453 0.004449217813314041
10.34172 0.0038587720601903127
10.3489 0.0034176492688649373
10.35608 0.004069794190234548
10.36326 0.0038174663237820804
10.37044 0.0038400398555260198
10.37762 0.003820778246695239
10.3848 0.0038032665139232525
10.39198 0.00377588150438756
10.39916 0.0035450338797904093
10.40634 0.0035377389741838793
10.41352 0.003633615552169162
10.42071 0.002377761510527159
10.42789 0.002066316481110015
10.43507 0.0031186456343536206
10.44225 0.0017270091278273982
10.44943 0.001553631443122384
10.45661 0.0022473435242452676
10.46379 0.0015284930430601996
10.47097 0.001460781165743901
10.47815 0.001270049993922427
10.48533 0.0011345590593246457
10.49252 0.0009896536772808393
10.4997 0.0008219823232461263
10.50688 0.000683747431110507
10.51406 0.0005546583228715021
10.52124 0.0004269162031529623
10.52842 0.0002989840646319057
10.5356 0.00018684970490285419
10.54278 0.00011833966241790138
10.54996 -0.00022847329136983918
10.55714 -0.00011887272677331488
10.56433 -1.878946328638347e-5
10.57151 -0.00035998344717388464
10.57869 -0.0004094453028823521
10.58587 -0.000509461688735616
10.59305 -0.000591092659993904
10.60023 -0.0006661984892408942
10.60741 -0.0007506764597989737
