 R   <X|H|A> 
10.00421 -8.439028927047555e-7
10.01139 -8.691037714088053e-7
10.01857 -8.942055111641635e-7
10.02575 -9.19213972914909e-7
10.03293 -9.441174338103835e-7
10.04011 -9.689386308223596e-7
10.0473 -9.936836815827315e-7
10.05448 -1.0183006155578045e-6
10.06166 -1.0428187526337787e-6
10.06884 -1.0672484263166216e-6
10.07602 -1.0915737908744724e-6
10.0832 -1.1158051878437124e-6
10.09038 -1.1399374468451131e-6
10.09756 -1.1639764111841453e-6
10.10474 -1.1879159022061597e-6
10.11192 -1.2117620955821279e-6
10.11911 -1.2355418263289615e-6
10.12629 -1.259194788720935e-6
10.13347 -1.2827544468864614e-6
10.14065 -1.3062146370708356e-6
10.14783 -1.3295760164113846e-6
10.15501 -1.3528489488637543e-6
10.16219 -1.3760227434021527e-6
10.16937 -1.3991032283639033e-6
10.17655 -1.4220897637369963e-6
10.18373 -1.4449774793664263e-6
10.19092 -1.4678029252841e-6
10.1981 -1.4905032456100664e-6
10.20528 -1.5131096202942725e-6
10.21246 -1.5356223637832023e-6
10.21964 -1.55803628185103e-6
10.22682 -1.5803617667431432e-6
10.234 -1.602593930463091e-6
10.24118 -1.6247321553542111e-6
10.24836 -1.6467712416319368e-6
10.25554 -1.668722506880434e-6
10.26272 -1.6905853538056783e-6
10.26991 -1.7123740969421767e-6
10.27709 -1.7340495514798485e-6
10.28427 -1.755625863989194e-6
10.29145 -1.7771143568077686e-6
10.29863 -1.798508918215795e-6
10.30581 -1.8198101463523624e-6
10.31299 -1.8410229560265673e-6
10.32017 -1.8621421353375854e-6
10.32735 -1.8831734852348758e-6
10.33453 -1.904110914517143e-6
10.34172 -1.9249839695516403e-6
10.3489 -1.945739517016451e-6
10.35608 -1.9664014340665127e-6
10.36326 -1.986975517501251e-6
10.37044 -2.0074611906831006e-6
10.37762 -2.027853517197382e-6
10.3848 -2.048157437352125e-6
10.39198 -2.0683735178320205e-6
10.39916 -2.088495684163227e-6
10.40634 -2.108535237263778e-6
10.41352 -2.128481440121573e-6
10.42071 -2.1483668352030026e-6
10.42789 -2.16813666574902e-6
10.43507 -2.187818095820441e-6
10.44225 -2.207405898321093e-6
10.44943 -2.226916867047149e-6
10.45661 -2.246333932088279e-6
10.46379 -2.2656631427786915e-6
10.47097 -2.284909472419423e-6
10.47815 -2.3040621681474846e-6
10.48533 -2.3231380255499213e-6
10.49252 -2.3421463684634296e-6
10.4997 -2.361051365377711e-6
10.50688 -2.3798569567252847e-6
10.51406 -2.3985854499398375e-6
10.52124 -2.4172315834489726e-6
10.52842 -2.4357838266129037e-6
10.5356 -2.454259221270856e-6
10.54278 -2.4726462362489843e-6
10.54996 -2.4909506349971007e-6
10.55714 -2.5091726756451153e-6
10.56433 -2.527331536637863e-6
10.57151 -2.545382719555927e-6
10.57869 -2.563351038067758e-6
10.58587 -2.5812422492205375e-6
10.59305 -2.5990455836358984e-6
10.60023 -2.6167660563238298e-6
10.60741 -2.6344041591195694e-6
10.61459 -2.651970419553475e-6
10.62177 -2.6694432921137554e-6
10.62895 -2.686838811381784e-6
10.63613 -2.7041517198870957e-6
10.64332 -2.7214061935066017e-6
10.6505 -2.7385592666195324e-6
10.65768 -2.7556299592219792e-6
10.66486 -2.772617802080578e-6
10.67204 -2.7895340470572553e-6
10.67922 -2.8063679101068725e-6
10.6864 -2.8231189235168937e-6
10.69358 -2.8397930613333325e-6
10.70076 -2.856389861732462e-6
10.70794 -2.872904046934399e-6
10.71513 -2.8893641912508675e-6
10.72231 -2.9057240534824622e-6
10.72949 -2.922007033563742e-6
10.73667 -2.9382071709156134e-6
10.74385 -2.9543302042008897e-6
10.75103 -2.9703818616911896e-6
10.75821 -2.986356188064931e-6
10.76539 -3.0022536285660395e-6
10.77257 -3.018073740625254e-6
10.77975 -3.0338167456349267e-6
10.78693 -3.0494828625266326e-6
10.79412 -3.0650933123810365e-6
10.8013 -3.080610614636138e-6
10.80848 -3.0960505928554273e-6
10.81566 -3.11141918667161e-6
10.82284 -3.126710457745191e-6
10.83002 -3.141924622329123e-6
10.8372 -3.157067398180878e-6
10.84438 -3.172138364462026e-6
10.85156 -3.187132434133409e-6
10.85874 -3.2020491827307534e-6
10.86593 -3.216920472628997e-6
10.87311 -3.2316941259585534e-6
10.88029 -3.2463959807025615e-6
10.88747 -3.2610319440275125e-6
10.89465 -3.2755850869336356e-6
10.90183 -3.290072141110342e-6
10.90901 -3.3044877963612304e-6
10.91619 -3.318826143224273e-6
10.92337 -3.3330930868808842e-6
10.93055 -3.347293740976557e-6
