 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
5.40009716 -0.0005966299561902226 -0.0005966299561902226
5.40022192 -0.0005975844943187006 -0.0005975844943187006
5.40034668 -0.0005985336459772807 -0.0005985336459772807
5.40047144 -0.000599477396991113 -0.000599477396991113
5.4005962 -0.0006004157333036069 -0.0006004157333036069
5.40072096 -0.0006013486409241439 -0.0006013486409241439
5.40084572 -0.0006022761059854061 -0.0006022761059854061
5.40097048 -0.0006033171433481642 -0.0006033171433481642
5.40122 -0.000611845550693042 -0.000611845550693042
5.4084 -0.0006549618604720476 -0.0006549618604720476
5.41558 -0.0006773504372120365 -0.0006773504372120365
5.42276 -0.0006777389975828181 -0.0006777389975828181
5.42994 -0.0006559088000968455 -0.0006559088000968455
5.43712 -0.0006127552356904917 -0.0006127552356904917
5.4443 -0.0005502979614119668 -0.0005502979614119668
5.45148 -0.0004716944195819601 -0.0004716944195819601
5.45866 -0.00038132144488932276 -0.00038132144488932276
5.46584 -0.00028482312807863366 -0.00028482312807863366
5.47302 -0.0001891938686159937 -0.0001891938686159937
5.48021 -0.00010303779975053798 -0.00010303779975053798
5.48739 -3.988170078405944e-5 -3.988170078405944e-5
5.49457 -6.33240577746787e-6 -6.33240577746787e-6
5.50175 -1.5193787093456174e-6 -1.5193787093456174e-6
5.50893 -2.4285539613492713e-5 -2.4285539613492713e-5
5.51611 -7.322932722888171e-5 -7.322932722888171e-5
5.52329 -0.00014670570188539777 -0.00014670570188539777
5.53047 -0.0002428865499012875 -0.0002428865499012875
5.53765 -0.0003597078976255771 -0.0003597078976255771
5.54483 -0.0004951448014598698 -0.0004951448014598698
5.55202 -0.0006469387792967297 -0.0006469387792967297
5.5592 -0.0008125460211931754 -0.0008125460211931754
5.56638 -0.0009893624678000237 -0.0009893624678000237
5.57356 -0.0011746340849419568 -0.0011746340849419568
5.58074 -0.0013654498449819125 -0.0013654498449819125
5.58792 -0.0015590882678817774 -0.0015590882678817774
5.5951 -0.0017521461546482018 -0.0017521461546482018
5.60228 -0.0019413456125597546 -0.0019413456125597546
5.60946 -0.0021232940796229714 -0.0021232940796229714
5.61664 -0.0022943991885296653 -0.0022943991885296653
5.62383 -0.002451206333418637 -0.002451206333418637
5.63101 -0.00259002607301826 -0.00259002607301826
5.63819 -0.0027070953899002805 -0.0027070953899002805
5.64537 -0.002798785407139884 -0.002798785407139884
5.65255 -0.0028615401847120526 -0.0028615401847120526
5.65973 -0.0028919293178775603 -0.0028919293178775603
5.66691 -0.0028867948935566586 -0.0028867948935566586
5.67409 -0.002853049244000184 -0.002853049244000184
5.68127 -0.0028179576604348195 -0.0028179576604348195
5.68845 -0.002783356477699613 -0.002783356477699613
5.69563 -0.002749293146688711 -0.002749293146688711
5.70282 -0.0027158265746415515 -0.0027158265746415515
5.71 -0.0026828151855254286 -0.0026828151855254286
5.71718 -0.002650077804892225 -0.002650077804892225
5.72436 -0.0026179727579473573 -0.0026179727579473573
5.73154 -0.0025861803168272246 -0.0025861803168272246
5.73872 -0.0025546610124821114 -0.0025546610124821114
5.7459 -0.0025235273684396015 -0.0025235273684396015
5.75308 -0.002492792871128654 -0.002492792871128654
5.76026 -0.002462350508845626 -0.002462350508845626
5.76744 -0.0024319884659321726 -0.0024319884659321726
5.77463 -0.002402223633759923 -0.002402223633759923
5.78181 -0.0023727979172401266 -0.0023727979172401266
5.78899 -0.0023433875896814015 -0.0023433875896814015
5.79617 -0.002314610913442137 -0.002314610913442137
5.80335 -0.0022863760425781364 -0.0022863760425781364
5.81053 -0.00225821630750714 -0.00225821630750714
5.81771 -0.002229630784632268 -0.002229630784632268
5.82489 -0.002202740307975676 -0.002202740307975676
5.83207 -0.00217580692648416 -0.00217580692648416
5.83925 -0.002148633380806194 -0.002148633380806194
5.84643 -0.002122276327406059 -0.002122276327406059
5.85362 -0.0020967409338590003 -0.0020967409338590003
5.8608 -0.0020716468251645893 -0.0020716468251645893
5.86798 -0.0020469404121589156 -0.0020469404121589156
5.87516 -0.0020234138832259455 -0.0020234138832259455
5.88234 -0.002000622833415319 -0.002000622833415319
5.88952 -0.001978751911787977 -0.001978751911787977
5.8967 -0.0019577910501472 -0.0019577910501472
5.90388 -0.0019378880767955467 -0.0019378880767955467
5.91106 -0.001919167444701875 -0.001919167444701875
5.91824 -0.001901172258464789 -0.001901172258464789
5.92543 -0.001884566585706257 -0.001884566585706257
5.93261 -0.0018689904072857486 -0.0018689904072857486
5.93979 -0.0018547915862466371 -0.0018547915862466371
5.94697 -0.0018416721290760386 -0.0018416721290760386
5.95415 -0.001829813360406338 -0.001829813360406338
5.96133 -0.0018197710386961036 -0.0018197710386961036
5.96851 -0.001811421484470622 -0.001811421484470622
5.97569 -0.0018051555139004952 -0.0018051555139004952
