 R   <X|d2/dR2|A> 
5.40009716 -0.1570534005017973
5.40022192 -0.15605288508453546
5.40034668 -0.15502499406069276
5.40047144 -0.15413428129159804
5.4005962 -0.15244848945891057
5.40072096 -0.1553966032470539
5.40084572 -0.13133696983066348
5.40097048 -0.3423786679230207
5.40122 -0.7886509441150824
5.4084 0.019894673633554537
5.41558 -0.049627991406970995
5.42276 0.03208044724822634
5.42994 0.08847705193275973
5.43712 0.1498858970541135
5.4443 0.2112526973452541
5.45148 0.27360975160303186
5.45866 0.3370480562230248
5.46584 0.40149656031866743
5.47302 0.46994885437715245
5.48021 0.5229647627094788
5.48739 0.5341300249367054
5.49457 0.5253617558039645
5.50175 0.5186168938556504
5.50893 0.5102701767693659
5.51611 0.5004209729353248
5.52329 0.489530917062415
5.53047 0.4773820187156659
5.53765 0.46442427023464894
5.54483 0.45029601696179244
5.55202 0.4352678124021282
5.5592 0.4193669852999028
5.56638 0.40181246157220685
5.57356 0.3829851452882099
5.58074 0.3631518907352135
5.58792 0.34192335713071886
5.5951 0.3188183465994512
5.60228 0.2941425694855221
5.60946 0.26761890818444306
5.61664 0.23896482950887954
5.62383 0.20849701254848635
5.63101 0.17584421182260912
5.63819 0.14039084202949992
5.64537 0.10228393557101952
5.65255 0.06128768911033165
5.65973 0.01640402905602761
5.66691 -0.02849401114551577
5.67409 -0.04751185566629838
5.68127 -0.04546709935216155
5.68845 -0.04537752252765412
5.69563 -0.04479510445342168
5.70282 -0.04434138289830478
5.71 -0.044230247844379844
5.71718 -0.0438629716553679
5.72436 -0.043438886621559994
5.73154 -0.043361628483483364
5.73872 -0.04317378724202174
5.7459 -0.042876263317097714
5.75308 -0.04262034809236616
5.76026 -0.042708560406306585
5.76744 -0.04245509282062061
5.77463 -0.04193334619936702
5.78181 -0.042100871986869653
5.78899 -0.04191587487820475
5.79617 -0.041206225057366375
5.80335 -0.04092144539109773
5.81053 -0.04179430281605078
5.81771 -0.040958044619878745
5.82489 -0.0396625423484355
5.83207 -0.04052115387118904
5.83925 -0.04033409284774629
5.84643 -0.03913177441816921
5.85362 -0.03840502304551208
5.8608 -0.03820182395436189
5.86798 -0.037151853005173985
5.87516 -0.035808568230182525
5.88234 -0.03479511187519588
5.88952 -0.03353143710797191
5.8967 -0.03220001673406857
5.90388 -0.030490843476044218
5.91106 -0.029216642468477654
5.91824 -0.0276444553842895
5.92543 -0.02577971366940008
5.93261 -0.02399704458381635
5.93979 -0.022050657906821224
5.94697 -0.020364238929537513
5.95415 -0.017866204684248623
5.96133 -0.01501967214231665
5.96851 -0.012082750976662837
5.97569 -0.008112079018856608
5.98287 -0.0048987861997531
5.99005 -0.0024272921280163555
5.99723 3.628690836003949e-7
6.00442 0.0005490265838173849
6.0116 0.003756614318458824
6.01878 0.005020511894266215
6.02596 0.005718164088000519
6.03314 0.011301799150646892
6.04032 0.011942287030484425
6.0475 0.028871116995218313
6.05468 -0.056911369180747705
6.06186 0.45089140505669234
6.06904 0.3422982420627583
6.072635 0.04454789834525232
6.07623 0.09739721960474357
6.07982 0.09650033021847215
6.08341 0.09904654032973444
6.087 0.14827732175305025
6.09059 -0.11885967830681499
6.09418 1.449715352426957
6.09777 0.39562538754748866
6.09799538 0.2312578925594303
6.09822076 0.24577534426086795
6.09844614 0.2610186640229993
6.09867152 0.16736530610633324
6.0988969 0.1726030421397895
6.09912228 0.2686885656116481
6.09934766 0.2954832306374917
6.09957304 0.07044748857323734
6.09979842 1.3975937336610742
6.1000238 0.6120888894001779
6.1000699 0.21459783520999617
6.1001159 0.2837481813598969
6.1001619 0.2658267940124028
6.100208 0.2718594447808973
6.100254 0.2725912820641677
6.1003 0.2689400143068269
6.1003461 0.2750755986210742
6.1003921 0.273940295440258
6.1004381 0.2673851616075229
6.1004842 0.2744086936734975
6.1005302 0.2725696469640913
6.1005762 0.2701802180167398
6.1006223 0.2719125146050271
6.1006683 0.2750018821013071
6.1007143 0.2735233776696102
6.1007604 0.26916895628886767
6.1008064 0.27564614338938576
6.1008524 0.2762715925506268
6.1008984 0.27028945896013645
6.1009445 0.2752438053413082
6.1009905 0.2764641900120367
6.1010365 0.2679805724048392
6.1010826 0.27421373262330695
6.1011286 0.27546094601551796
6.1011746 0.2715292633815236
6.1012207 0.27371156806087354
6.1012667 0.27380159374481394
6.1013127 0.2730621586925853
6.1013588 0.2736956159373777
6.1014048 0.27463760120889535
6.1014508 0.2745787457675206
6.1014969 0.2744622242470584
6.1015429 0.27484729245974393
6.1015889 0.2727737801975598
6.101635 0.2756865646641761
6.101681 0.2746794364501088
6.101727 0.27256462760496164
6.1017731 0.27603942878059207
6.1018191 0.2768948282815548
6.1018651 0.27723755180048804
6.1019111 0.2725168895069253
6.1019572 0.2754086793572049
6.1020032 0.2771130059772847
6.1020492 0.2751282211091981
6.1020953 0.274873940997946
6.1021413 0.27528811030992417
6.1021873 0.2746006662956966
6.1022334 0.27732002147489154
6.1022794 0.27857931502304834
6.1023254 0.2714800282006604
6.1023715 0.2786978731318437
6.1024175 0.2776295509815708
6.1024635 0.2711774774477635
6.1025096 0.28011793293746445
6.1025556 0.27848023404696876
6.1026016 0.2719823875792058
6.1026477 0.2782284260438508
6.1026937 0.2788508344387076
6.1027397 0.27440775606284984
6.1027858 0.27806752866579865
6.1028318 0.2808092750984871
6.1028778 0.278994127425238
6.1029238 0.27663753738570457
6.1029699 0.27874662715960374
6.1030159 0.2782263640099501
6.1030619 0.2759779378600924
6.103108 0.27865134558415117
6.103154 0.2798269996485684
6.1032 0.2736954049809204
6.1032461 0.28049759084532744
6.1032921 0.2816399174336238
6.1033381 0.2731864329968993
6.1033842 0.2781449770827251
6.1034302 0.2795902675843882
6.1034762 0.2789539678546839
6.1035223 0.28174558775064606
6.1035683 0.2779012022194613
6.1036143 0.2772432697547455
6.1036604 0.28184277593696355
6.1037064 0.2793227389381938
6.1037524 0.278399536641884
6.1037985 0.28228261330424115
6.1038445 0.28429205367761357
6.1038905 0.27949871046888763
6.1039365 0.27832002317848686
6.1039826 0.2806144603805123
6.1040286 0.2810585256887245
6.1040746 0.27926505241614324
6.1041207 0.2808129787966957
6.1041667 0.2828376011586412
6.1042127 0.27912885001534843
6.1042588 0.2817370312295514
6.1043048 0.2836351629287909
6.1043508 0.27870060708908795
6.1043969 0.2826059579616944
6.1044429 0.2831368681074818
6.1044889 0.278906585578133
6.104535 0.2832432973730479
6.104581 0.2813201215824994
6.104627 0.2809269776200389
6.1046731 0.28194582831686044
6.1047191 0.28648029026787214
6.1047651 0.2848822682772005
6.1048111 0.2777214487645413
6.1048572 0.2841031156642264
6.1049032 0.2840747264631548
6.1049492 0.27961052969990946
6.1049953 0.2872224667595218
6.1050413 0.28665149551303115
6.1050873 0.27979736697990987
6.1051334 0.2847813572852752
6.1051794 0.28406245869728824
6.1052254 0.28238126453563217
6.1052715 0.28585906210136514
6.1053175 0.2846155113354662
6.1053635 0.2814740930721005
6.1054096 0.28546900240552947
6.1054556 0.28515857850441506
6.1055016 0.28184429574129966
6.1055477 0.28749764490087126
6.1055937 0.2860762015513292
6.1056397 0.282513826045895
6.1056858 0.28630856780937564
6.1057318 0.2901564085034852
6.1057778 0.2861536497822146
6.1058238 0.2818411850038276
6.1058699 0.28819493573785476
6.1059159 0.2869661306852064
6.1059619 0.2813219810612096
6.106008 0.2901339767344769
6.106054 0.2876344989430474
6.1061 0.28272749501313177
6.1061461 0.290826108377378
6.1061921 0.28835176585412303
6.1062381 0.2830897559371741
6.1062842 0.2879786766182696
6.1063302 0.28767616052182143
6.1063762 0.2829165715451791
6.1064223 0.2903133340164119
6.1064683 0.2918247176756221
6.1065143 0.2857444592364634
6.1065604 0.28866282840325586
6.1066064 0.2896142084743448
6.1066524 0.2861051190095272
6.1066985 0.28794527992934804
6.1067445 0.29275180380788
6.1067905 0.2907824521452351
6.1068365 0.2853576687012598
6.1068826 0.28926221711158384
6.1069286 0.2931200489701068
6.1069746 0.2866066114541148
6.1070207 0.2893497583996124
6.1070667 0.29339510143243497
6.1071127 0.287691963785769
6.1071588 0.2913066978368642
6.1072048 0.29014617347888705
6.1072508 0.286046065241506
6.1072969 0.2928897313943015
6.1073429 0.29507310091497724
6.1073889 0.287619732503656
6.107435 0.2877050247290082
6.107481 0.2937252759721327
6.107527 0.28899391210729963
6.1075731 0.29308121230690937
6.1076191 0.2932125819287431
6.1076651 0.2884361720087525
6.1077112 0.2949904228736343
6.1077572 0.29772532264794815
6.1078032 0.29454199152523747
6.1078492 0.287009891944203
6.1078953 0.2941760945199948
6.1079413 0.2968124882920853
6.1079873 0.2876021257736362
6.1080334 0.29275154248707425
6.1080794 0.2960741840262355
6.1081254 0.2881943829294692
6.1081715 0.29326869514378623
6.1082175 0.29827786332647654
6.1082635 0.29065217237220353
6.1083096 0.2949248791734269
6.1083556 0.2948795325282608
6.1084016 0.2896534943450904
6.1084477 0.3043994195420905
6.1084937 0.24955229862642608
6.1085397 0.5643003006154912
6.1085858 -1.282596497723942
6.1086318 -1.3382641872877987
6.1086778 0.546949933209152
6.1087239 0.316929101430858
6.1087699 0.361609315595141
6.1088159 0.34738839525764076
6.1088619 0.3450849941734384
6.108908 0.3505952512115094
6.108954 0.35138780121590674
6.109 0.3435609000204493
6.1090461 0.3480405255226281
6.1090921 0.34839715193723464
6.1091381 0.3441416894467335
6.1091842 0.35007868063473374
6.1092302 0.3451154881130052
6.1092762 0.3391903003269385
6.1093223 0.3482633897549895
6.1093683 0.34967601084732364
6.1094143 0.33878211607733943
6.1094604 0.3460484860887798
6.1095064 0.34677315948531284
6.1095524 0.3399955543691779
6.1095985 0.3465548330623498
6.1096445 0.3448247986704457
6.1096905 0.33789197267998283
6.1097366 0.343485298873881
6.1097826 0.3477315750186358
6.1098286 0.3417371699129483
6.1098746 0.33857126585540975
6.1099207 0.34394907972020783
6.1099667 0.3422804635927814
6.1100127 0.3360285336214688
6.1100588 0.3441855513449159
6.1101048 0.3420097294583536
6.1101508 0.33512455219014337
6.1101969 0.34143136148395614
6.1102429 0.33970487281914996
6.1102889 0.33540502078498513
6.110335 0.3421624514422151
6.110381 0.3395218503618733
6.110427 0.33414880845605466
6.1104731 0.3386264696186745
6.1105191 0.33944879060604016
6.1105651 0.33552552506623706
6.1106112 0.33820005866687586
6.1106572 0.337973037400774
6.1107032 0.33253631846897896
6.1107493 0.3383000479355951
6.1107953 0.3428249920392957
6.1108413 0.3351455095014651
6.1108873 0.3324275018181033
6.1109334 0.3378657326732516
6.1109794 0.33730476993725667
6.1110254 0.3310267159582154
6.1110715 0.3341579902448996
6.1111175 0.33709711770725737
6.1111635 0.33028486691153036
6.1112096 0.33563344394194794
6.1112556 0.3362661413960354
6.1113016 0.3305873861668137
6.1113477 0.3356351383169306
6.1113937 0.33347853665470717
6.1114397 0.331806356698227
6.1114858 0.3346199700703492
6.1115318 0.332304993854321
6.1115778 0.32857845632280347
6.1116239 0.3342723212355725
6.1116699 0.3384970131225042
6.1117159 0.33363609838573427
6.1117619 0.3275782260835606
6.111808 0.3323108683623033
6.111854 0.33334735110718844
6.1119 0.3291217151864285
6.1119461 0.3324280592158565
6.1119921 0.3323728817109216
6.1120381 0.3274697306846446
6.1120842 0.3307033492033154
6.1121302 0.3326448356627594
6.1121762 0.32699718046723014
6.1122223 0.3308023308108915
6.1122683 0.3318133341105982
6.1123143 0.3294397244168584
6.1123604 0.3309402684190753
6.1124064 0.330333549258908
6.1124524 0.3260224691739
6.1124985 0.33025477710505186
6.1125445 0.33260774508172475
6.1125905 0.3242324132179536
6.1126366 0.3280865939239575
6.1126826 0.33591136375467834
6.1127286 0.33044910631567104
6.1127746 0.32447291174042253
6.1128207 0.3302566378705838
6.1128667 0.3310811925643823
6.1129127 0.3232334542139036
6.1129588 0.3277739730947217
6.1130048 0.3327146725084013
6.1130508 0.3265666423653285
6.1130969 0.32799069426833316
6.1131429 0.3273166690757637
6.1131889 0.3248825241262625
6.113235 0.33117901982649023
6.113281 0.3262772343623725
6.113327 0.32521259857413704
6.1133731 0.3291385281420388
6.1134191 0.325781881434355
6.1134651 0.3256000350066495
6.1135112 0.32868356413071176
6.1135572 0.3277599705920351
6.1136032 0.32417188594199753
6.1136493 0.3286555933365301
6.1136953 0.33144148285362685
6.1137413 0.3269611712130728
6.1137873 0.32449502174551104
6.1138334 0.32564534654333577
6.1138794 0.32729937222817385
6.1139254 0.3239245407398333
6.1139715 0.3277654758640607
6.1140175 0.32810944885808785
6.1140635 0.3237291329112704
6.1141096 0.32952771852616125
6.1141556 0.3260960194349236
6.1142016 0.3232584407759659
6.1142477 0.32778693098994516
6.1142937 0.32607929468019314
6.1143397 0.32194905401414775
6.1143858 0.3281024814343516
6.1144318 0.3292469106009526
6.1144778 0.32102489962689706
6.1145239 0.3270106963379124
6.1145699 0.3271629534701298
6.1146159 0.32326121805734803
6.114662 0.32761765554117706
6.114708 0.3297372744481547
6.114754 0.3250568708155405
6.1148 0.3226748269521877
6.1148461 0.33126513683092823
6.1148921 0.32908146750610395
6.1149381 0.3190887584953175
6.1149842 0.32558325539250027
6.1150302 0.3279193930090366
6.1150762 0.32232715614173857
6.1151223 0.3281486335408293
6.1151683 0.32837411127474003
6.1152143 0.3213235501521924
6.1152604 0.32487087026946515
6.1153064 0.3271398766839344
6.1153524 0.3239145450590091
6.1153985 0.3275055062130361
6.1154445 0.3274184665493872
6.1154905 0.3217381999312075
6.1155366 0.3284031168150716
6.1155826 0.32711317706743837
6.1156286 0.3202394764156851
6.1156747 0.32987333594551627
6.1157207 0.33109530244250485
6.1157667 0.32556585242765984
6.1158127 0.3229857205897906
6.1158588 0.3274710947514129
6.1159048 0.32916825600681954
6.1159508 0.32378667603155836
6.1159969 0.32552843140732934
6.1160429 0.32820526283768736
6.1160889 0.3248576288471796
6.116135 0.32720712014542286
6.116181 0.3268018911578434
6.116227 0.3221127613922025
6.1162731 0.3284634941830749
6.1163191 0.3280030701576545
6.1163651 0.3247999087010234
6.1164112 0.32735161655245454
6.1164572 0.3264305601666568
6.1165032 0.32278649714491336
6.1165493 0.3283450610099118
6.1165953 0.33329804556041875
6.1166413 0.3234390825345561
6.1166874 0.3255381929981429
6.1167334 0.3322157094496866
6.1167794 0.3274223207706256
6.1168254 0.324370964787271
6.1168715 0.3272847548328326
6.1169175 0.3300724663890884
6.1169635 0.32699310118298913
6.1170096 0.32755530363239016
6.1170556 0.3270618056368293
6.1171016 0.3242205162477777
6.1171477 0.3282255896105867
6.1171937 0.3303091010943824
6.1172397 0.3267255302083524
6.1172858 0.3307155955859327
