 R   <X|d/dR|A> 
5.40009716 -0.024426009829487554
5.40022192 -0.02444554139958247
5.40034668 -0.02446494729152876
5.40047144 -0.02448422751469021
5.4005962 -0.024503382078880597
5.40072096 -0.024522410993296394
5.40084572 -0.024541314267687582
5.40097048 -0.024562515004538203
5.40122 -0.024735511935131682
5.4084 -0.025592222655956395
5.41558 -0.02602595698936038
5.42276 -0.02603342078142668
5.42994 -0.02561071650885319
5.43712 -0.024753893344088142
5.4443 -0.023458430497626366
5.45148 -0.021718527104340208
5.45866 -0.019527453620206678
5.46584 -0.016876703708918805
5.47302 -0.013754776211047337
5.48021 -0.010150753654312467
5.48739 -0.006315196021032083
5.49457 -0.0025164271850120906
5.50175 0.001232630808208856
5.50893 0.004928036080782357
5.51611 0.00855741358290469
5.52329 0.012112212922723811
5.53047 0.015584817929680393
5.53765 0.01896596682548973
5.54483 0.02225184939414857
5.55202 0.02543499123838515
5.5592 0.02850519288117825
5.56638 0.03145413276184902
5.57356 0.03427293516671655
5.58074 0.03695199378899483
5.58792 0.03948529179177707
5.5951 0.0418586449213087
5.60228 0.04406070372292929
5.60946 0.046079215267004835
5.61664 0.047899887145270666
5.62383 0.049509658991136636
5.63101 0.05089229875942192
5.63819 0.052029754851433616
5.64537 0.0529035481526512
5.65255 0.053493365800929504
5.65973 0.05377666146087502
5.66691 0.053728901845809744
5.67409 0.053413942412072375
5.68127 0.05308443896694037
5.68845 0.05275752531819145
5.69563 0.05243370239348648
5.70282 0.052113592993014324
5.71 0.05179589931187052
5.71718 0.05147890640730652
5.72436 0.05116612901077584
5.73154 0.050854501441143105
5.73872 0.05054365452242361
5.7459 0.05023472273676446
5.75308 0.04992787669357324
5.76026 0.04962207682922619
5.76744 0.04931519508155851
5.77463 0.04901248446834667
5.78181 0.04871137359221281
5.78899 0.04840854872521383
5.79617 0.04811040338058013
5.80335 0.04781606469146262
5.81053 0.047520693466185225
5.81771 0.04721896636556404
5.82489 0.04693336028855888
5.83207 0.046645545623179935
5.83925 0.04635335350118905
5.84643 0.0460681704369303
5.85362 0.0457901838155188
5.8608 0.045515347138790324
5.86798 0.045243125579019355
5.87516 0.04498237302795334
5.88234 0.04472832249722003
5.88952 0.04448316436347552
5.8967 0.044246932663713545
5.90388 0.04402145018960127
5.91106 0.04380830337620799
5.91824 0.04360243408876148
5.92543 0.0434115950606086
5.93261 0.043231821697515244
5.93979 0.043067291373461575
5.94697 0.042914707607952296
5.95415 0.04277631775183949
5.96133 0.04265877446312896
5.96851 0.042560797507455395
5.97569 0.04248712174177599
5.98287 0.04244294855719066
5.99005 0.04241544364319602
5.99723 0.042408013951093365
6.00442 0.04241208601039989
6.0116 0.04242067794770529
6.01878 0.04246254206817787
6.02596 0.042491756088046145
6.03314 0.042553425243731235
6.04032 0.04264517697465628
6.0475 0.042754154059531396
6.05468 0.04287539940223506
6.06186 0.04300239234053793
6.06904 0.0482437692715188
6.072635 0.048557736617300395
6.07623 0.04887917010951914
6.07982 0.049209284581851476
6.08341 0.0495751326622868
6.087 0.0499623381441715
6.09059 0.05035582374859249
6.09418 0.05075647720156545
6.09777 0.058410938145454505
6.09799538 0.05847000072801367
6.09822076 0.05852525922542601
6.09844614 0.05858082732122849
6.09867152 0.058636780215117146
6.0988969 0.058661840925297526
6.09912228 0.058719701580975225
6.09934766 0.05877905078971368
6.09957304 0.058838704217729965
6.09979842 0.058898263393728945
6.1000238 0.05934964624348532
6.1000699 0.0593620208763741
6.1001159 0.05937477791929008
6.1001619 0.05938712438412386
6.100208 0.059399536570833966
6.100254 0.059412101307766585
6.1003 0.059424564563075766
6.1003461 0.05943698316753615
6.1003921 0.05944981442648323
6.1004381 0.05946212334666401
6.1004842 0.05947459721817111
6.1005302 0.059487293878573155
6.1005762 0.059499667296295966
6.1006223 0.05951222527823963
6.1006683 0.05952472618729315
6.1007143 0.05953747292086564
6.1007604 0.05954988386579346
6.1008064 0.05956238784638995
6.1008524 0.059575176015998876
6.1008984 0.05958772884570307
6.1009445 0.05960019534778571
6.1009905 0.05961303502009763
6.1010365 0.059625518457240734
6.1010826 0.059637885173794036
6.1011286 0.05965071516936177
6.1011746 0.05966316802352328
6.1012207 0.059675793739914385
6.1012667 0.059688352885165274
6.1013127 0.05970097394774054
6.1013588 0.059713517489052736
6.1014048 0.05972618455790124
