 R   <X|H|A> 
5.40009716 -0.00031401935324060253
5.40022192 -0.00031401648130449585
5.40034668 -0.0003140136015820996
5.40047144 -0.00031401071407058455
5.4005962 -0.00031400781876711936
5.40072096 -0.00031400491566887075
5.40084572 -0.0003140020047730027
5.40097048 -0.0003139990860766776
5.40122 -0.0003139932252712946
5.4084 -0.00031381116522752827
5.41558 -0.00031360308695251265
5.42276 -0.00031336894376640786
5.42994 -0.0003131084436179944
5.43712 -0.0003128212811764247
5.4443 -0.00031250784045695117
5.45148 -0.0003121682054306851
5.45866 -0.00031180242037144655
5.46584 -0.0003114110051870955
5.47302 -0.0003109943092896141
5.48021 -0.0003105516102638353
5.48739 -0.00031008503450310543
5.49457 -0.0003095954428981012
5.50175 -0.0003090845970820616
5.50893 -0.00030855356576570884
5.51611 -0.00030800371598906496
5.52329 -0.00030743651812243386
5.53047 -0.000306853105265223
5.53765 -0.0003062544889687259
5.54483 -0.0003056421014846287
5.55202 -0.0003050158182358076
5.5592 -0.00030437821216913903
5.56638 -0.00030372933116928555
5.57356 -0.0003030703613658964
5.58074 -0.0003024016847217129
5.58792 -0.0003017245124817091
5.5951 -0.0003010390661722143
5.60228 -0.0003003461334751727
5.60946 -0.0002996463532456337
5.61664 -0.0002989403652009151
5.62383 -0.0002982280080132359
5.63101 -0.0002975115851712693
5.63819 -0.0002967911825550853
5.64537 -0.0002960667942850856
5.65255 -0.0002953395397202544
5.65973 -0.0002946104147948974
5.66691 -0.0002938792889788657
5.67409 -0.0002931479367056974
5.68127 -0.0002924163482089829
5.68845 -0.0002916846263338839
5.69563 -0.0002909527657979369
5.70282 -0.00029021986368116357
5.71 -0.0002894884814862424
5.71718 -0.0002887572798311017
5.72436 -0.0002880264662677381
5.73154 -0.0002872965753827006
5.73872 -0.00028656678518207006
5.7459 -0.00028583860445697325
5.75308 -0.00028511078436640656
5.76026 -0.0002843841962016166
5.76744 -0.00028365936387241583
5.77463 -0.00028293447146952194
5.78181 -0.0002822120161913954
5.78899 -0.00028149151646946825
5.79617 -0.0002807727503699681
5.80335 -0.00028005636364884757
5.81053 -0.0002793419091379966
5.81771 -0.00027863007163077334
5.82489 -0.0002779210193876099
5.83207 -0.0002772150252091258
5.83925 -0.0002765121377527423
5.84643 -0.00027581285707342905
5.85362 -0.00027511614478830385
5.8608 -0.0002744244141768412
5.86798 -0.0002737368365841749
5.87516 -0.00027305428750977646
5.88234 -0.0002723760676724535
5.88952 -0.0002717030149536765
5.8967 -0.00027103521670056617
5.90388 -0.00027037264813374443
5.91106 -0.00026971532177693904
5.91824 -0.0002690643146096602
5.92543 -0.0002684186259569376
5.93261 -0.00026778012916711555
5.93979 -0.000267148626939722
5.94697 -0.000266524244343862
5.95415 -0.0002659076415329636
5.96133 -0.000265299622413322
5.96851 -0.00026469903156742556
5.97569 -0.00026410726896992643
5.98287 -0.00026352442469596596
5.99005 -0.0002629498766975252
5.99723 -0.0002623846881263893
6.00442 -0.00026182789396005834
6.0116 -0.0002612821455269637
6.01878 -0.0002607473169636292
6.02596 -0.00026022376849372674
6.03314 -0.0002597119683330108
6.04032 -0.0002592130663642293
6.0475 -0.000258725259057504
6.05468 -0.0002582494894240025
6.06186 -0.00025778668775470483
6.06904 -0.0002573361610830935
6.072635 -0.0002571156423944287
6.07623 -0.0002568982408155668
6.07982 -0.0002566843584241781
6.08341 -0.0002564741011930465
6.087 -0.00025626759000661997
6.09059 -0.00025606439630404857
6.09418 -0.00025586402579674177
6.09777 -0.0002556667234660244
6.09799538 -0.0002556544496768225
6.09822076 -0.0002556421897540903
6.09844614 -0.0002556299436239377
6.09867152 -0.00025561771121287915
6.0988969 -0.00025560549244784336
6.09912228 -0.0002555933122849823
6.09934766 -0.0002555811442915964
6.09957304 -0.0002555689872725383
6.09979842 -0.0002555568412852626
6.1000238 -0.0002555447063838217
6.1000699 -0.0002555422256396867
6.1001159 -0.000255539750741618
6.1001619 -0.0002555372763082959
6.100208 -0.0002555347969624387
6.100254 -0.000255532323460826
6.1003 -0.00025552985042515326
6.1003461 -0.00025552737248116383
6.1003921 -0.00025552490037953897
6.1004381 -0.0002555224287449964
6.1004842 -0.00025551995220631386
6.1005302 -0.0002555174815080584
6.1005762 -0.000255515011277979
6.1006223 -0.00025551253614789307
6.1006683 -0.0002555100668562406
6.1007143 -0.0002555075980338093
6.1007604 -0.00025550512431546314
6.1008064 -0.00025550265643350164
6.1008524 -0.00025550018902175764
6.1008984 -0.00025549772208055164
6.1009445 -0.00025549525024882135
6.1009905 -0.0002554927842506599
6.1010365 -0.0002554903187239701
6.1010826 -0.00025548784831075074
