 R   <X|H|X>   <A|H|A> 
5.40009716 -0.007336566635638645 -0.025217197035176577
5.40022192 -0.007336888284918818 -0.02521518645915133
5.40034668 -0.0073372099505414155 -0.02521317540701762
5.40047144 -0.007337531632503872 -0.02521116387876761
5.4005962 -0.007337853330803624 -0.025209151874393425
5.40072096 -0.0073381750454381035 -0.02520713939388721
5.40084572 -0.007338496776404744 -0.02520512643724112
5.40097048 -0.007338818523700978 -0.025203113004447303
5.40122 -0.0073394620672719655 -0.025199084710385008
5.4084 -0.007358003871448478 -0.025082352444636528
5.41558 -0.007376565775510693 -0.024964030573888542
5.42276 -0.007395098072015881 -0.02484409742907329
5.42994 -0.007413600259696851 -0.024722566356437138
5.43712 -0.007432042854385581 -0.02459942396599704
5.4443 -0.0074503853729578585 -0.0244746836696018
5.45148 -0.007468608343417037 -0.02434836198458688
5.45866 -0.007486691279874002 -0.0242204724182144
5.46584 -0.007504604465983685 -0.02409104319066528
5.47302 -0.007522328169017266 -0.023960102452778655
5.48021 -0.007539866150151149 -0.023827478365585273
5.48739 -0.007557160128331191 -0.023693606164801945
5.49457 -0.007574234206387658 -0.02355840609041278
5.50175 -0.007591098669406023 -0.02342200617861638
5.50893 -0.0076077737578832275 -0.023284494366261305
5.51611 -0.007624279058522988 -0.02314600448823364
5.52329 -0.007640625064672944 -0.023006642589731938
5.53047 -0.007656831341590666 -0.022866502450928583
5.53765 -0.0076729281403712275 -0.022725682043127058
5.54483 -0.007688925715277702 -0.02258426927557195
5.55202 -0.00770487578173044 -0.022442160070087338
5.5592 -0.00772075447458803 -0.022299835815218758
5.56638 -0.007736613594272861 -0.022157183057796348
5.57356 -0.007752453407672777 -0.022014269729989634
5.58074 -0.0077683241504175006 -0.021871173765372565
5.58792 -0.007784235415518271 -0.021727969050691666
5.5951 -0.007800217670683646 -0.021584721577843097
5.60228 -0.007816280506417722 -0.02144148525789316
5.60946 -0.007832454170118321 -0.02129832801903276
5.61664 -0.007848758929246124 -0.021155307799729094
5.62383 -0.007865227383216872 -0.021012279731255152
5.63101 -0.007881834234385779 -0.020869687712001303
5.63819 -0.007898621868750207 -0.020727406539107384
5.64537 -0.007915600777899242 -0.020585452181567043
5.65255 -0.007932780549389661 -0.020443888522539973
5.65973 -0.007950161486619534 -0.020302763498025837
5.66691 -0.007967763864605416 -0.020162095086755635
5.67409 -0.00798556727665738 -0.02002193706692053
5.68127 -0.008003582278204354 -0.019882305528229054
5.68845 -0.008021788427940374 -0.019743184299038218
5.69563 -0.00804018602072527 -0.01960457136249621
5.70282 -0.008058791382744825 -0.01946627274694851
5.71 -0.008077532315800143 -0.0193286769301557
5.71718 -0.008096445155169498 -0.019191587319802916
5.72436 -0.008115509452645053 -0.01905498769107832
5.73154 -0.008134705558632375 -0.018918886030640347
5.73872 -0.008154053796653167 -0.01878327041896507
5.7459 -0.008173513758621444 -0.018648154512366955
5.75308 -0.008193106038811444 -0.018513514529454284
5.76026 -0.008212800224339954 -0.01837935411276505
5.76744 -0.008232586674129029 -0.01824568126623252
5.77463 -0.008252503457525819 -0.018112288753368896
5.78181 -0.008272484799337045 -0.017979561391442404
5.78899 -0.008292528996248522 -0.01784729942082151
5.79617 -0.008312655546885352 -0.017715506294694514
5.80335 -0.008332834875667012 -0.01758418005672021
5.81053 -0.008353067395677146 -0.017453308807727417
5.81771 -0.008373352680204666 -0.01732290596532694
5.82489 -0.00839368156208909 -0.01719294793250338
5.83207 -0.008414033396122986 -0.017063447725669097
5.83925 -0.008434418723110498 -0.016934403541122432
5.84643 -0.008454828273518285 -0.01680580384296292
5.85362 -0.008475279932919254 -0.01667746347180585
5.8608 -0.008495717503168408 -0.01654975547550644
5.86798 -0.008516159242024387 -0.016422484686876505
5.87516 -0.008536596321655284 -0.01629565791459447
5.88234 -0.008557037869645734 -0.01616926746100894
5.88952 -0.008577464663753127 -0.016043311622924362
5.8967 -0.008597887464650615 -0.01591779870368798
5.90388 -0.008618295841443092 -0.01579271154338033
5.91106 -0.008638690766633117 -0.01566804644280805
5.91824 -0.008659062123003838 -0.015543816533676136
5.92543 -0.008679448949872449 -0.01541984760326474
5.93261 -0.008699785406286131 -0.015296472613905687
5.93979 -0.008720099518764587 -0.015173521260111098
5.94697 -0.008740392379179998 -0.015050989644421036
5.95415 -0.008760663751233166 -0.014928880138365887
5.96133 -0.008780914295905277 -0.01480719995472005
5.96851 -0.008801155138508444 -0.014685927252890954
5.97569 -0.00882137642778559 -0.014565074503519014
5.98287 -0.008841580022092187 -0.01444463843290512
5.99005 -0.008861786855110125 -0.014324622636856913
5.99723 -0.008881988184832247 -0.01420502432029316
6.00442 -0.008902224079757095 -0.014085676016793811
6.0116 -0.00892243827600933 -0.013966910647818388
6.01878 -0.008942669710709934 -0.013848555464177561
6.02596 -0.008962919802514843 -0.013730613139557887
6.03314 -0.008983208350044354 -0.013613077013399554
6.04032 -0.009003528121890994 -0.013495954675999483
6.0475 -0.009023911617258825 -0.01337923926974678
6.05468 -0.00904436239537115 -0.013262936211927577
6.06186 -0.009064883160588628 -0.013147046994808185
6.06904 -0.009085498040580188 -0.01303156646050735
6.072635 -0.009095862374128428 -0.012973902518917214
6.07623 -0.009106256303671024 -0.012916340659197832
6.07982 -0.009116664247233564 -0.012858956028556263
6.08341 -0.009127103290977757 -0.012801673275686475
6.087 -0.009137577482250709 -0.01274449781760306
6.09059 -0.009148091528717818 -0.012687426345996412
6.09418 -0.00915864796297109 -0.012630453039796262
6.09777 -0.009169247118057073 -0.012573580831817045
6.09799538 -0.009169913980189352 -0.01257001392319645
6.09822076 -0.00917058101549281 -0.01256644743860605
6.09844614 -0.009171248225310064 -0.012562881378019081
6.09867152 -0.009171915610973887 -0.012559315741392272
6.0988969 -0.009172583173807295 -0.012555750528665931
6.09912228 -0.009173250969723526 -0.012552185806017333
6.09934766 -0.009173918942678558 -0.012548621503724036
6.09957304 -0.009174587091496496 -0.0125450576186859
6.09979842 -0.009175255417721085 -0.012541494151098995
6.1000238 -0.009175923922879832 -0.012537931101134873
6.1000699 -0.009176060683403296 -0.01253720235410734
6.1001159 -0.009176197154803977 -0.012536475205299031
6.1001619 -0.009176333633747022 -0.012535748073895925
6.100208 -0.009176470416963154 -0.01253501937923543
6.100254 -0.009176606911045486 -0.012534292282683698
6.1003 -0.009176743412708268 -0.012533565203540183
6.1003461 -0.009176880218731654 -0.012532836561255783
6.1003921 -0.009177016735609736 -0.0125321095169693
6.1004381 -0.009177153260106097 -0.012531382490093654
6.1004842 -0.009177290089050587 -0.012530653900193279
6.1005302 -0.009177426628837764 -0.012529926908179577
6.1005762 -0.009177563176280821 -0.012529199933578988
6.1006223 -0.009177700028259527 -0.012528471396069453
6.1006683 -0.009177836591068425 -0.012527744456334972
6.1007143 -0.009177973161570556 -0.012527017534015496
6.1007604 -0.009178110036695854 -0.012526289048902517
6.1008064 -0.00917824662263837 -0.012525562161452578
6.1008524 -0.009178383216311224 -0.012524835291419182
6.1008984 -0.009178519817726728 -0.012524108438802768
6.1009445 -0.009178656723882074 -0.012523380023546192
6.1009905 -0.009178793340836593 -0.012522653205802746
6.1010365 -0.009178929965570548 -0.012521926405477328
6.1010826 -0.009179066895131868 -0.01252119804262635
6.1011286 -0.009179203535478263 -0.01252047127717562
6.1011746 -0.009179340183640647 -0.012519744529143612
6.1012207 -0.009179477136717925 -0.0125190162187003
6.1012667 -0.009179613800565698 -0.012518289505544001
6.1013127 -0.009179750472265784 -0.012517562809806744
6.1013588 -0.00917988744896829 -0.012516834551772077
6.1014048 -0.009180024136426247 -0.01251610789091083
6.1014508 -0.009180160831772602 -0.012515381247468602
6.1014969 -0.009180297832208903 -0.012514653041842495
6.1015429 -0.00918043454338514 -0.01251392643327586
6.1015889 -0.009180571262485627 -0.012513199842127863
6.101635 -0.009180708286763596 -0.012512471688909173
6.101681 -0.009180845021765522 -0.012511745132635648
6.101727 -0.009180981764727312 -0.01251101859378003
6.1017731 -0.00918111881295412 -0.012510290492966541
6.1018191 -0.00918125557188844 -0.012509563988983584
6.1018651 -0.009181392338818026 -0.012508837502417445
6.1019111 -0.009181529113754602 -0.012508111033267696
6.1019572 -0.009181666194072896 -0.012507383002309915
6.1020032 -0.009181802985076067 -0.012506656568029307
6.1020492 -0.00918193978412133 -0.012505930151163558
6.1020953 -0.009182076888635843 -0.012505202172601761
6.1021413 -0.009182213703817723 -0.01250447579060172
6.1021873 -0.00918235052707656 -0.012503749426014635
6.1022334 -0.009182487655892186 -0.012503021499843147
6.1022794 -0.00918262449535722 -0.012502295170117667
6.1023254 -0.009182761342933858 -0.012501568857802894
6.1023715 -0.009182898496154826 -0.012500840984015011
6.1024175 -0.009183035360006793 -0.012500114706557047
6.1024635 -0.009183172232004783 -0.012499388446507232
6.1025096 -0.009183309409734653 -0.012498660625095238
6.1025556 -0.00918344629807667 -0.012497934399896753
6.1026016 -0.009183583194598905 -0.012497208192103504
6.1026477 -0.009183720396940577 -0.01249648042305866
6.1026937 -0.009183857309875094 -0.012495754250110604
6.1027397 -0.009183994231023816 -0.012495028094564545
6.1027858 -0.009184131458079527 -0.012494300377877113
6.1028318 -0.009184268395708347 -0.012493574257169427
6.1028778 -0.009184405341585135 -0.012492848153860174
6.1029238 -0.009184542295721092 -0.012492122067948107
6.1029699 -0.009184679555880756 -0.012491394421041059
6.1030159 -0.009184816526586556 -0.012490668369957245
6.1030619 -0.009184953505584995 -0.012489942336266602
6.103108 -0.009185090790694716 -0.012489214741690385
6.103154 -0.009185227786329821 -0.012488488742819642
6.1032 -0.009185364790290834 -0.012487762761337742
6.1032461 -0.0091855021004507 -0.012487035219079309
6.1032921 -0.009185639121114768 -0.012486309272408312
6.1033381 -0.009185776150137803 -0.012485583343121505
6.1033842 -0.009185913485447266 -0.012484855853166844
6.1034302 -0.009186050531239331 -0.01248412995868129
6.1034762 -0.009186187585423212 -0.012483404081574948
6.1035223 -0.0091863249459811 -0.01248267664390909
6.1035683 -0.009186462016999566 -0.01248195080159372
6.1036143 -0.009186599096442484 -0.012481224976652258
6.1036604 -0.009186736482347002 -0.01248049759125927
6.1037064 -0.009186873578689652 -0.012479771801097857
6.1037524 -0.009187010683489188 -0.01247904602830475
6.1037985 -0.00918714809483792 -0.012478318695167741
6.1038445 -0.009187285216601922 -0.01247759295714313
6.1038905 -0.009187422346855042 -0.01247686723648089
6.1039365 -0.009187559485607965 -0.012476141533178995
6.1039826 -0.009187696931026869 -0.012475414269676108
6.1040286 -0.009187834086829926 -0.012474688601126325
6.1040746 -0.009187971251164752 -0.012473962949930549
6.1041207 -0.009188108722253162 -0.012473235738640582
6.1041667 -0.009188245903701913 -0.012472510122183915
6.1042127 -0.00918838309371419 -0.012471784523074594
6.1042588 -0.009188520590567682 -0.012471057363977552
6.1043048 -0.009188657797757275 -0.012470331799593714
6.1043508 -0.00918879501354196 -0.01246960625255028
6.1043969 -0.00918893253625549 -0.012468879145625224
6.1044429 -0.009189069769280493 -0.01246815363329306
6.1044889 -0.009189207010931958 -0.012467428138294009
6.104535 -0.009189344559599898 -0.012466701083519108
6.104581 -0.009189481818554288 -0.012465975623216503
6.104627 -0.00918961908616631 -0.012465250180239452
6.1046731 -0.009189756660882453 -0.012464523177591958
6.1047191 -0.009189893945859624 -0.012463797769295923
6.1047651 -0.009190031239525408 -0.012463072378317583
6.1048111 -0.009190168541890082 -0.012462347004654267
6.1048572 -0.00919030615147573 -0.012461620071460497
6.1049032 -0.009190443471287904 -0.012460894732456684
6.1049492 -0.009190580799829689 -0.01246016941075964
6.1049953 -0.009190718435679635 -0.012459442529637373
6.1050413 -0.009190855781726863 -0.012458717242587476
6.1050873 -0.009190993136528457 -0.012457991972843436
6.1051334 -0.009191130798717652 -0.012457265143789288
6.1051794 -0.00919126817106875 -0.012456539908697275
6.1052254 -0.009191405552195886 -0.012455814690913721
6.1052715 -0.00919154324078953 -0.012455087913935547
6.1053175 -0.00919168063950937 -0.012454362730808948
6.1053635 -0.009191818047026741 -0.012453637564993139
6.1054096 -0.009191955762089485 -0.012452910840097905
6.1054556 -0.009192093187242404 -0.012452185708943408
6.1055016 -0.009192230621214152 -0.012451460595101735
6.1055477 -0.009192368362810099 -0.012450733922295565
6.1055937 -0.00919250581445987 -0.012450008843118988
6.1056397 -0.009192643274949598 -0.012449283781256978
6.1056858 -0.009192781043142308 -0.012448557160545139
6.1057318 -0.009192918521352176 -0.012447832133351452
6.1057778 -0.009193056008422948 -0.012447107123473801
6.1058238 -0.00919319350436156 -0.012446382130912632
6.1058699 -0.009193331308108111 -0.012445655579654036
6.1059159 -0.009193468821822459 -0.012444930621764603
6.1059619 -0.009193606344425353 -0.012444205681192743
6.106008 -0.009193744174914881 -0.012443479182037483
6.106054 -0.009193881715334801 -0.012442754276139275
6.1061 -0.009194019264663813 -0.012442029387559467
6.1061461 -0.009194157121958093 -0.012441302940510017
6.1061921 -0.009194294689145073 -0.012440578086605227
6.1062381 -0.009194432265261504 -0.012439853250019395
6.1062842 -0.009194570149421814 -0.012439126855077406
6.1063302 -0.009194707743436819 -0.012438402053167423
6.1063762 -0.00919484534640147 -0.012437677268576669
6.1064223 -0.009194983257488566 -0.012436950925742986
6.1064683 -0.009195120878392044 -0.012436226175828367
6.1065143 -0.009195258508265197 -0.012435501443232997
6.1065604 -0.009195396446339325 -0.01243477515250765
6.1066064 -0.009195534094191235 -0.012434050454588173
6.1066524 -0.009195671751032667 -0.012433325773987678
6.1066985 -0.009195809716153578 -0.012432599535369904
6.1067445 -0.00919594739101336 -0.01243187488944455
6.1067905 -0.009196085074882369 -0.012431150260837642
6.1068365 -0.009196222767767118 -0.012430425649548951
6.1068826 -0.009196360769035915 -0.012429699480392818
6.1069286 -0.009196498479991284 -0.012428974903777418
6.1069746 -0.009196636199981872 -0.01242825034447939
6.1070207 -0.00919677422843492 -0.01242752422742598
6.1070667 -0.009196911966534957 -0.012426799702799252
