 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A>
5.40009716 -0.01755325707832668 -0.999811227564976 0.9998112275649774 -0.017553257078326483
5.40022192 -0.017555384375327283 -0.999811190208579 0.9998111902085804 -0.017555384375327086
5.40034668 -0.017557512274972632 -0.9998111528370225 0.9998111528370239 -0.017557512274972435
5.40047144 -0.017559640777521257 -0.9998111154502974 0.9998111154502989 -0.01755964077752106
5.4005962 -0.017561769883231847 -0.9998110780483954 0.9998110780483969 -0.017561769883231652
5.40072096 -0.017563899592363173 -0.9998110406313073 0.9998110406313088 -0.017563899592362976
5.40084572 -0.017566029905174124 -0.9998110031990247 0.9998110031990262 -0.01756602990517393
5.40097048 -0.017568160821923702 -0.9998109657515386 0.99981096575154 -0.017568160821923508
5.40122 -0.01757242446827547 -0.9998108908109211 0.9998108908109226 -0.017572424468275276
5.4084 -0.01769615646845941 -0.9998087079992336 0.999808707999235 -0.017696156468459217
5.41558 -0.01782194156485339 -0.9998064730564283 0.9998064730564298 -0.017821941564853196
5.42276 -0.017949831314196946 -0.9998041842600104 0.9998041842600118 -0.017949831314196748
5.42994 -0.018079879899769898 -0.999801839959211 0.9998018399592123 -0.0180798798997697
5.43712 -0.018212140868749217 -0.9997994382017258 0.999799438201727 -0.018212140868749015
5.4443 -0.018346669985920088 -0.9997969770186212 0.9997969770186225 -0.01834666998591989
5.45148 -0.01848352624056695 -0.9997944545105093 0.9997944545105105 -0.01848352624056675
5.45866 -0.01862277054975367 -0.9997918686858341 0.9997918686858354 -0.018622770549753472
5.46584 -0.018764467632867512 -0.9997892173794287 0.9997892173794299 -0.018764467632867318
5.47302 -0.01890868495740948 -0.9997864982968862 0.9997864982968874 -0.018908684957409286
5.48021 -0.019055687470985738 -0.9997837055759939 0.999783705575995 -0.019055687470985544
5.48739 -0.01920513853779704 -0.9997808444598224 0.9997808444598235 -0.019205138537796845
5.49457 -0.019357315079697946 -0.9997779084871707 0.9997779084871719 -0.019357315079697752
5.50175 -0.019512293672156854 -0.999774894918443 0.999774894918444 -0.019512293672156664
5.50893 -0.01967016890437496 -0.9997717993914431 0.9997717993914442 -0.019670168904374768
5.51611 -0.019830997251137638 -0.9997686213564406 0.9997686213564416 -0.019830997251137447
5.52329 -0.019994864619649486 -0.9997653575576395 0.9997653575576405 -0.019994864619649295
5.53047 -0.020161863305691537 -0.9997620042705366 0.9997620042705376 -0.020161863305691346
5.53765 -0.020332087662411215 -0.9997585577306415 0.9997585577306426 -0.02033208766241102
5.54483 -0.020505648203301453 -0.9997550134796179 0.999755013479619 -0.020505648203301263
5.55202 -0.020682878983506958 -0.9997513631086302 0.9997513631086314 -0.020682878983506767
5.5592 -0.020863376828266042 -0.9997476133268892 0.9997476133268903 -0.02086337682826585
5.56638 -0.021047498642721964 -0.9997437546507897 0.9997437546507908 -0.02104749864272177
5.57356 -0.02123535937119067 -0.999739782516611 0.9997397825166121 -0.02123535937119048
5.58074 -0.021427079669654098 -0.9997356920702074 0.9997356920702086 -0.021427079669653903
5.58792 -0.021622787201251974 -0.9997314780914431 0.9997314780914444 -0.02162278720125178
5.5951 -0.0218225860106999 -0.9997271367207883 0.9997271367207895 -0.021822586010699703
5.60228 -0.022026610377622782 -0.9997226624165043 0.9997226624165055 -0.022026610377622585
5.60946 -0.022234998312456917 -0.9997180494485548 0.999718049448556 -0.02223499831245672
5.61664 -0.022447892227259483 -0.9997132918583077 0.9997132918583089 -0.022447892227259285
5.62383 -0.022665748531022798 -0.9997083762670662 0.9997083762670674 -0.0226657485310226
5.63101 -0.022888109625061246 -0.9997033101993008 0.999703310199302 -0.022888109625061045
5.63819 -0.02311543553202432 -0.9996980799869539 0.9996980799869551 -0.023115435532024123
5.64537 -0.023347895269912898 -0.999692678019494 0.9996926780194951 -0.0233478952699127
5.65255 -0.02358566353189552 -0.9996870967204738 0.9996870967204748 -0.023585663531895323
5.65973 -0.023828922216474882 -0.9996813282758862 0.9996813282758873 -0.023828922216474684
5.66691 -0.02407786452490645 -0.9996753636928662 0.9996753636928674 -0.024077864524906248
5.67409 -0.02433269681078254 -0.9996691929952654 0.9996691929952664 -0.02433269681078234
5.68127 -0.024593621294267547 -0.9996628076326901 0.9996628076326912 -0.02459362129426735
5.68845 -0.024860861809185317 -0.9996561969810139 0.999656196981015 -0.02486086180918512
5.69563 -0.025134657860183894 -0.9996493496628737 0.9996493496628747 -0.025134657860183693
5.70282 -0.025415645267482384 -0.9996422441228464 0.9996422441228474 -0.025415645267482183
5.71 -0.02570329265270053 -0.9996348881076816 0.9996348881076826 -0.02570329265270033
5.71718 -0.025998260970985974 -0.999627258787991 0.999627258787992 -0.02599826097098577
5.72436 -0.026300844233956816 -0.9996193425133756 0.9996193425133765 -0.026300844233956615
5.73154 -0.026611324025931932 -0.9996111242917206 0.9996111242917215 -0.026611324025931728
5.73872 -0.02693001772243284 -0.9996025886224597 0.9996025886224605 -0.02693001772243264
5.7459 -0.027257261395178405 -0.999593718514808 0.9995937185148089 -0.0272572613951782
5.75308 -0.02759339882515631 -0.9995844966141421 0.9995844966141428 -0.027593398825156105
5.76026 -0.027938791342543703 -0.9995749041559755 0.9995749041559763 -0.027938791342543498
5.76744 -0.028293827351878888 -0.9995649199580965 0.9995649199580973 -0.028293827351878683
5.77463 -0.02865944045559457 -0.9995545037467137 0.9995545037467145 -0.028659440455594362
5.78181 -0.029035024924958686 -0.9995436664073181 0.9995436664073187 -0.029035024924958477
5.78899 -0.02942154423822329 -0.9995323659956364 0.999532365995637 -0.029421544238223078
5.79617 -0.029819505133286614 -0.9995205712291286 0.9995205712291291 -0.0298195051332864
5.80335 -0.03022939860311917 -0.9995082543128071 0.9995082543128075 -0.03022939860311895
5.81053 -0.030651754579932022 -0.9994953849400584 0.9994953849400589 -0.030651754579931804
5.81771 -0.031087172835841656 -0.9994819268983585 0.9994819268983588 -0.031087172835841437
5.82489 -0.031536330477350015 -0.9994678473921279 0.9994678473921282 -0.0315363304773498
5.83207 -0.03199978462800104 -0.9994530967102756 0.9994530967102759 -0.03199978462800083
5.83925 -0.032478269503186316 -0.9994376361414535 0.9994376361414538 -0.0324782695031861
5.84643 -0.03297258423230601 -0.9994214310488605 0.9994214310488607 -0.03297258423230579
5.85362 -0.033484210840914914 -0.999404397496931 0.9994043974969311 -0.03348421084091469
5.8608 -0.03401255352615851 -0.9993865242026785 0.9993865242026786 -0.03401255352615829
5.86798 -0.034559242842778316 -0.9993677376266618 0.9993677376266619 -0.034559242842778094
5.87516 -0.03512527134597088 -0.999347991668261 0.9993479916682612 -0.035125271345970654
5.88234 -0.03571164077120286 -0.9993271869592567 0.9993271869592568 -0.03571164077120264
5.88952 -0.03631946908371981 -0.999305258074917 0.9993052580749171 -0.03631946908371959
5.8967 -0.03694994797537612 -0.9992821324631227 0.9992821324631228 -0.036949947975375895
5.90388 -0.0376043637743524 -0.9992577080756505 0.9992577080756506 -0.03760436377435218
5.91106 -0.038284096685777314 -0.9992318888653089 0.999231888865309 -0.03828409668577709
5.91824 -0.03899063064257529 -0.9992045675900593 0.9992045675900594 -0.03899063064257507
5.92543 -0.03972663656129245 -0.9991755823423294 0.9991755823423295 -0.03972663656129223
5.93261 -0.04049179762116917 -0.9991448896271451 0.9991448896271452 -0.040491797621168946
5.93979 -0.04128904786672327 -0.9991122843909778 0.9991122843909779 -0.04128904786672305
5.94697 -0.042120437548027426 -0.9990776043906275 0.9990776043906276 -0.042120437548027204
5.95415 -0.042988225609039345 -0.9990406518713344 0.9990406518713345 -0.042988225609039116
5.96133 -0.043894859812861585 -0.9990012092593855 0.9990012092593855 -0.04389485981286136
5.96851 -0.04484297039674473 -0.9989590666841414 0.9989590666841414 -0.04484297039674451
5.97569 -0.045835448451185416 -0.998913968666095 0.9989139686660949 -0.045835448451185194
5.98287 -0.046875434620872646 -0.9988656648798091 0.998865664879809 -0.04687543462087242
5.99005 -0.04796634775343114 -0.9988138800030402 0.9988138800030399 -0.04796634775343092
5.99723 -0.049112049853316034 -0.9987582542055728 0.9987582542055726 -0.04911204985331581
6.00442 -0.05031845313730993 -0.9986983348124912 0.9986983348124909 -0.05031845313730971
6.0116 -0.051586941447155414 -0.9986337908059125 0.9986337908059123 -0.05158694144715519
6.01878 -0.05292448306369735 -0.9985639518992719 0.9985639518992717 -0.052924483063697125
6.02596 -0.05433673912302602 -0.9984882610948596 0.9984882610948596 -0.0543367391230258
6.03314 -0.055830340037014335 -0.9984059077990755 0.9984059077990753 -0.05583034003701411
6.04032 -0.05741234398161391 -0.9983161558940473 0.9983161558940471 -0.057412343981613684
6.0475 -0.05909067512646666 -0.9982181790398585 0.9982181790398583 -0.05909067512646644
6.05468 -0.06087432846422027 -0.9981109774882982 0.9981109774882981 -0.06087432846422005
6.06186 -0.0627734616483427 -0.9979933795184041 0.9979933795184038 -0.06277346164834248
6.06904 -0.06479959360136213 -0.9978640122656292 0.9978640122656289 -0.06479959360136191
6.072635 -0.06586589666702378 -0.997794237280211 0.9977942372802108 -0.06586589666702355
6.07623 -0.06696910724031886 -0.9977208559000523 0.9977208559000521 -0.06696910724031864
6.07982 -0.06810959482523121 -0.9976436753556971 0.9976436753556969 -0.06810959482523099
6.08341 -0.06929096209326259 -0.9975622899072176 0.9975622899072174 -0.06929096209326237
6.087 -0.07051538625887632 -0.9974764055613323 0.9974764055613321 -0.0705153862588761
6.09059 -0.07178523701172794 -0.9973857422975851 0.9973857422975848 -0.07178523701172772
6.09418 -0.07310305133239696 -0.9972899135598136 0.9972899135598132 -0.07310305133239674
6.09777 -0.07447154756596139 -0.9971885464240414 0.997188546424041 -0.07447154756596117
6.09799538 -0.07455921830549118 -0.9971819903561346 0.9971819903561342 -0.07455921830549096
6.09822076 -0.07464710100444898 -0.9971754110283508 0.9971754110283504 -0.07464710100444875
6.09844614 -0.0747351964215802 -0.9971688083429315 0.9971688083429312 -0.07473519642157998
6.09867152 -0.0748235053195365 -0.997162182200817 0.9971621822008166 -0.07482350531953628
6.0988969 -0.07491202846490326 -0.9971555325016446 0.9971555325016441 -0.07491202846490304
6.09912228 -0.07500077380343223 -0.9971488613931973 0.9971488613931969 -0.07500077380343201
6.09934766 -0.07508973456953545 -0.9971421664086532 0.9971421664086528 -0.07508973456953523
6.09957304 -0.07517891121761011 -0.9971354473421141 0.9971354473421138 -0.07517891121760989
6.09979842 -0.07526830456479569 -0.9971287040988286 0.9971287040988283 -0.07526830456479547
6.1000238 -0.07535791543135509 -0.9971219365824414 0.9971219365824411 -0.07535791543135487
6.1000699 -0.07537627161691544 -0.9971205493323145 0.9971205493323142 -0.07537627161691522
6.1001159 -0.07539459709663762 -0.9971191640742478 0.9971191640742475 -0.0753945970966374
6.1001619 -0.07541293168584626 -0.9971177777992818 0.9971177777992815 -0.07541293168584604
6.100208 -0.07543131527912647 -0.9971163874896067 0.9971163874896064 -0.07543131527912625
6.100254 -0.075449668128239 -0.9971149991760843 0.9971149991760839 -0.07544966812823878
6.1003 -0.0754680301079551 -0.9971136098431126 0.9971136098431123 -0.07546803010795487
6.1003461 -0.07548644117249027 -0.9971122164662175 0.9971122164662172 -0.07548644117249005
6.1003921 -0.07550482145444104 -0.9971108250895592 0.9971108250895588 -0.07550482145444082
6.1004381 -0.07552321088816315 -0.9971094326908766 0.9971094326908763 -0.07552321088816293
6.1004842 -0.07554164948764087 -0.9971080362390146 0.9971080362390142 -0.07554164948764065
6.1005302 -0.0755600572660303 -0.997106641791465 0.9971066417914647 -0.07556005726603007
6.1005762 -0.0755784742174099 -0.9971052463192915 0.9971052463192912 -0.07557847421740968
6.1006223 -0.07559694041567137 -0.9971038467846406 0.9971038467846403 -0.07559694041567115
6.1006683 -0.0756153757542535 -0.99710244925837 0.9971024492583697 -0.07561537575425328
6.1007143 -0.07563382028709612 -0.9971010507048508 0.9971010507048504 -0.0756338202870959
6.1007604 -0.07565231414813724 -0.9970996480795138 0.9970996480795135 -0.07565231414813701
6.1008064 -0.07567077711082092 -0.9970982474666173 0.997098247466617 -0.0756707771108207
6.1008524 -0.07568924928908712 -0.9970968458238229 0.9970968458238225 -0.0756892492890869
6.1008984 -0.07570773069004928 -0.997095443150242 0.9970954431502417 -0.07570773069004906
6.1009445 -0.07572626152790955 -0.9970940363923265 0.9970940363923262 -0.07572626152790933
