 R   <X|d/dR|A> 
6.90204 -0.12062720271788108
6.90922 -0.12011559430273933
6.9164 -0.11946751674624245
6.92358 -0.11869395891904333
6.93076 -0.11780547442597322
6.93794 -0.11681250837219959
6.94512 -0.11572536536382672
6.9523 -0.11455398866130206
6.95948 -0.11330806040292396
6.96666 -0.11199976281549995
6.97385 -0.11061971354853972
6.98103 -0.10920609421308869
6.98821 -0.10775422416190883
6.99539 -0.10627246461444839
7.00257 -0.10476884491393723
7.00975 -0.10325119799015803
7.01693 -0.10172691627437791
7.02411 -0.10020333800164616
7.03129 -0.09868725383932153
7.03847 -0.09718540378444906
7.04565 -0.09570407427638661
7.05284 -0.09423938780793018
7.06002 -0.09281726967414039
7.0672 -0.0914331261897453
7.07438 -0.09009232308025089
7.08156 -0.08879988970415398
7.08874 -0.08755675654108769
7.09592 -0.08631082262303297
7.1031 -0.08504711288317796
7.11028 -0.08376845539995437
7.11746 -0.08247762851651974
7.12465 -0.08116812495948783
7.13183 -0.07986041667156202
7.13901 -0.0785476653270753
7.14619 -0.0772318283294563
7.15337 -0.07591478656634765
7.16055 -0.0745982605006319
7.16773 -0.07328379606197255
7.17491 -0.07197291033523312
7.18209 -0.07066688704345586
7.18927 -0.06936695182426839
7.19646 -0.06806613715140847
7.20364 -0.06678155589146911
7.21082 -0.06550594034417734
7.218 -0.06424007237542789
7.22518 -0.06298469908317045
7.23236 -0.06174035686191992
7.23954 -0.06050762527642145
7.24672 -0.05928688074895028
7.2539 -0.058078490065056776
7.26108 -0.05688283370283409
7.26826 -0.05570012899098925
7.27545 -0.05452377722019752
7.28263 -0.05336755987327413
7.28981 -0.0522246053689564
7.29699 -0.05109508675879454
7.30417 -0.04997888736435352
7.31135 -0.048875583024938996
7.31853 -0.04778624421339189
7.32571 -0.046709608025485294
7.33289 -0.04564585004838567
7.34007 -0.04459479611353645
7.34726 -0.04355041791671466
7.35444 -0.042524177302761756
7.36162 -0.04150986440302623
7.3688 -0.04050721141969249
7.37598 -0.03951593801055242
7.38316 -0.038535692453729675
7.39034 -0.037566012730645415
7.39752 -0.03660671753146055
7.4047 -0.03565726718707202
7.41188 -0.03471738453158796
7.41906 -0.03378658569904791
7.42625 -0.0328595443720463
7.43343 -0.03194581394107071
7.44061 -0.031039911424798172
7.44779 -0.030141412940982937
7.45497 -0.029249881026500918
7.46215 -0.0283648551101566
7.46933 -0.027485931941957864
7.47651 -0.02661255598147419
7.48369 -0.025744379747774493
7.49087 -0.02488087413331136
7.49806 -0.024016836391708818
7.50524 -0.023167423894263656
7.51242 -0.02230924652282723
7.5196 -0.021460501170702473
7.52678 -0.0206135542083159
7.53396 -0.019765911624187282
7.54114 -0.01892495914336234
7.54832 -0.01808242232484633
7.5555 -0.017240416639499545
7.56268 -0.016399577529766757
7.56986 -0.015565670452540509
7.57705 -0.014735930584463985
7.58423 -0.013917807595527076
7.59141 -0.013107482392897024
7.59859 -0.01230509063791177
7.60577 -0.011510638008086993
7.61295 -0.010724130162130086
7.62013 -0.009945682695301328
7.62731 -0.00917517108591609
7.63449 -0.008412740633744253
7.64167 -0.007658316391009085
7.64886 -0.006908888526101831
7.65604 -0.006170625532938789
