 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
1.0 -0.8214386043634924 -0.8214386043634924
1.01 -0.9611569966937926 -0.9611569966937926
1.02 -1.1308229767598665 -1.1308229767598665
1.03 -1.328400644904678 -1.328400644904678
1.04 -1.5501569820700862 -1.5501569820700862
1.05 -1.7903950014744605 -1.7903950014744605
1.06 -2.0413455247219643 -2.0413455247219643
1.07 -2.2932175847664795 -2.2932175847664795
1.08 -2.534407458274146 -2.534407458274146
1.0899999999999999 -2.7518663300557966 -2.7518663300557966
1.1 -2.931626592374118 -2.931626592374118
1.1099999999999999 -3.059486782070582 -3.059486782070582
1.1199999999999999 -3.121855158604683 -3.121855158604683
1.13 -3.1067519262523136 -3.1067519262523136
1.14 -3.004970103872623 -3.004970103872623
1.15 -2.8113950458227657 -2.8113950458227657
1.16 -2.526482617778611 -2.526482617778611
1.17 -2.1578960314066413 -2.1578960314066413
1.18 -1.7223013420287723 -1.7223013420287723
1.19 -1.2473216136273548 -1.2473216136273548
1.2 -0.7736497557533812 -0.7736497557533812
1.2193548387096773 -0.09130288713652554 -0.09130288713652554
1.229032258064516 -0.001235453793412735 -0.001235453793412735
1.238709677419355 -0.15793781473782129 -0.15793781473782129
1.2483870967741935 -0.6069053222002416 -0.6069053222002416
1.2580645161290323 -1.379312770792985 -1.379312770792985
1.2677419354838708 -2.4901623206739814 -2.4901623206739814
1.2774193548387096 -3.9370563198809125 -3.9370563198809125
1.2870967741935484 -5.699595017795867 -5.699595017795867
1.296774193548387 -7.739399161299705 -7.739399161299705
1.3064516129032258 -10.000757464754368 -10.000757464754368
1.3161290322580645 -12.411898944511195 -12.411898944511195
1.3258064516129031 -14.886890108186371 -14.886890108186371
1.335483870967742 -17.328156988463924 -17.328156988463924
1.3451612903225807 -19.629632010687917 -19.629632010687917
1.3548387096774193 -21.680525682986005 -21.680525682986005
1.364516129032258 -23.36972309712428 -23.36972309712428
1.3741935483870968 -24.59080522773151 -24.59080522773151
1.3838709677419354 -25.247695016945663 -25.247695016945663
1.3935483870967742 -25.260928230931185 -25.260928230931185
1.403225806451613 -24.574549074087276 -24.574549074087276
1.4129032258064516 -23.163630546119947 -23.163630546119947
1.4225806451612903 -21.042419526481112 -21.042419526481112
1.432258064516129 -18.273106569990944 -18.273106569990944
1.4419354838709677 -14.975220396749801 -14.975220396749801
1.4516129032258065 -11.335647058724936 -11.335647058724936
1.461290322580645 -7.61927376465151 -7.61927376465151
1.4709677419354839 -4.18025734413845 -4.18025734413845
1.4806451612903226 -1.4739173311010305 -1.4739173311010305
1.4903225806451612 -0.06925364586895717 -0.06925364586895717
1.5 -0.6620888545423976 -0.6620888545423976
1.509993076923077 -4.24452938762697 -4.24452938762697
1.5199861538461539 -11.777607546400766 -11.777607546400766
1.5299792307692308 -24.14136069797159 -24.14136069797159
1.5399723076923078 -42.11550251264188 -42.11550251264188
1.5499653846153847 -66.3483554073076 -66.3483554073076
1.5599584615384616 -97.33039247104523 -97.33039247104523
1.5699515384615386 -135.37238892742965 -135.37238892742965
1.5799446153846155 -180.58818319061857 -180.58818319061857
1.5899376923076922 -232.88204757477146 -232.88204757477146
1.5999307692307692 -291.94066871891914 -291.94066871891914
1.609923846153846 -357.22973779191335 -357.22973779191335
1.619916923076923 -427.9951505446358 -427.9951505446358
1.62991 -503.2688172790647 -503.2688172790647
1.639903076923077 -581.879082806195 -581.879082806195
1.6498961538461538 -662.4657564670438 -662.4657564670438
1.6598892307692308 -743.499752293063 -743.499752293063
1.6698823076923077 -823.3073393841584 -823.3073393841584
1.6798753846153847 -900.0990025841044 -900.0990025841044
1.6898684615384614 -972.0029135343942 -972.0029135343942
1.6998615384615383 -1037.1030121884426 -1037.1030121884426
1.7098546153846153 -1093.4816988683367 -1093.4816988683367
1.7198476923076922 -1139.2671369461175 -1139.2671369461175
1.7298407692307691 -1172.6851662305442 -1172.6851662305442
1.739833846153846 -1192.1158271384804 -1192.1158271384804
1.749826923076923 -1196.1544957271608 -1196.1544957271608
1.75982 -1183.6776296596022 -1183.6776296596022
1.7698130769230769 -1153.9131251700862 -1153.9131251700862
1.7798061538461538 -1106.5152850896316 -1106.5152850896316
1.7897992307692308 -1041.644397982673 -1041.644397982673
1.7997923076923077 -960.0509284353669 -960.0509284353669
1.8097853846153846 -863.1643185226801 -863.1643185226801
1.8197784615384616 -753.1864004656243 -753.1864004656243
1.8297715384615383 -633.1894204710111 -633.1894204710111
1.8397646153846152 -507.2186737237096 -507.2186737237096
1.8497576923076922 -380.39975047517527 -380.39975047517527
1.859750769230769 -259.05039314127237 -259.05039314127237
1.869743846153846 -150.79696428698747 -150.79696428698747
1.879736923076923 -64.69552533463832 -64.69552533463832
1.88973 -11.35752578520559 -11.35752578520559
1.89691 -0.29887640739385374 -0.29887640739385374
1.9005 -0.11910858857250803 -0.11910858857250803
1.90409 -0.3221475559016 -0.3221475559016
1.9064833333333333 -0.4026944297319653 -0.4026944297319653
1.9088766666666668 -0.3866132232678454 -0.3866132232678454
1.91127 -0.3451828930769486 -0.3451828930769486
1.91845 -0.3678628692377417 -0.3678628692377417
1.9193475 -0.37378938142090185 -0.37378938142090185
1.920245 -0.37830094128171315 -0.37830094128171315
1.9211425 -0.38164422193743197 -0.38164422193743197
1.92204 -0.3840772478247746 -0.3840772478247746
1.9229375 -0.3858656117501042 -0.3858656117501042
1.923835 -0.387279667887582 -0.387279667887582
1.9247325 -0.3885927007253871 -0.3885927007253871
1.92563 -0.3900800699600742 -0.3900800699600742
1.92922 -0.3996010162256087 -0.3996010162256087
1.93281 -0.41173885550055705 -0.41173885550055705
1.9364 -0.42271327931925157 -0.42271327931925157
1.93999 -0.4327550865729525 -0.4327550865729525
1.94358 -0.4428934403492829 -0.4428934403492829
1.94717 -0.45305544434659917 -0.45305544434659917
1.95076 -0.46294940183123284 -0.46294940183123284
1.95435 -0.47257678691790256 -0.47257678691790256
1.96154 -0.49125302608806526 -0.49125302608806526
1.96872 -0.5090637368500325 -0.5090637368500325
1.9759 -0.5259602156866281 -0.5259602156866281
1.98308 -0.5419132056614897 -0.5419132056614897
1.99026 -0.5569004157852726 -0.5569004157852726
1.99744 -0.5709058301532449 -0.5709058301532449
2.00462 -0.5839192278236462 -0.5839192278236462
2.0118 -0.595935894202253 -0.595935894202253
2.01898 -0.6069559020749018 -0.6069559020749018
2.02616 -0.6169840210897418 -0.6169840210897418
2.03335 -0.6260127401107748 -0.6260127401107748
2.04053 -0.6340875859938107 -0.6340875859938107
2.04771 -0.641209053490633 -0.641209053490633
2.05489 -0.6473971099252525 -0.6473971099252525
2.06207 -0.6526748731233385 -0.6526748731233385
2.06925 -0.6570683625839959 -0.6570683625839959
2.07643 -0.660606195223184 -0.660606195223184
2.08361 -0.6633194038844349 -0.6633194038844349
2.09079 -0.6652410216812429 -0.6652410216812429
2.09797 -0.6664059524510358 -0.6664059524510358
2.10515 -0.6668505585396819 -0.6668505585396819
2.11234 -0.666592413805328 -0.666592413805328
2.11952 -0.6657091980854984 -0.6657091980854984
2.1267 -0.6642199978928696 -0.6642199978928696
2.13388 -0.6621635807764416 -0.6621635807764416
2.14106 -0.6595786910390784 -0.6595786910390784
2.14824 -0.6565037999274265 -0.6565037999274265
2.15542 -0.652977291027031 -0.652977291027031
2.1626 -0.6490377336540859 -0.6490377336540859
2.16978 -0.6447244483828082 -0.6447244483828082
2.17696 -0.6400787066793558 -0.6400787066793558
2.18415 -0.6351233517976959 -0.6351233517976959
2.19133 -0.6299502711756667 -0.6299502711756667
2.19851 -0.6245938001828285 -0.6245938001828285
2.19866164 -0.6244791315951831 -0.6244791315951831
2.19881328 -0.6243644107907395 -0.6243644107907395
2.19896492 -0.6242496384654728 -0.6242496384654728
2.19911656 -0.62413481526786 -0.62413481526786
2.1992682 -0.6240199418621022 -0.6240199418621022
2.19941984 -0.6239050189281098 -0.6239050189281098
2.19957148 -0.6237900471141112 -0.6237900471141112
2.19972312 -0.623675027099846 -0.623675027099846
2.19987476 -0.6235599595491651 -0.6235599595491651
2.2000264 -0.6234448451258405 -0.6234448451258405
2.2000725 -0.6234098400616612 -0.6234098400616612
2.2001185 -0.6233749066813113 -0.6233749066813113
2.2001645 -0.6233399691006315 -0.6233399691006315
2.2002106 -0.6233049513475677 -0.6233049513475677
2.2002566 -0.6232700053693526 -0.6232700053693526
2.2003026 -0.6232350552474673 -0.6232350552474673
2.2003487 -0.6232000249755917 -0.6232000249755917
2.2003947 -0.6231650665853017 -0.6231650665853017
2.2004407 -0.6231301040764219 -0.6231301040764219
2.2004867 -0.623095137483624 -0.623095137483624
2.2005328 -0.6230600908076168 -0.6230600908076168
2.2005788 -0.6230251160975072 -0.6230251160975072
2.2006248 -0.6229901373443414 -0.6229901373443414
2.2006709 -0.6229550785462703 -0.6229550785462703
2.2007169 -0.6229200917891013 -0.6229200917891013
2.2007629 -0.6228851010770888 -0.6228851010770888
2.200809 -0.6228500303111721 -0.6228500303111721
2.200855 -0.6228150316926669 -0.6228150316926669
2.200901 -0.6227800291443805 -0.6227800291443805
2.2009471 -0.6227449465963882 -0.6227449465963882
2.2009931 -0.6227099362706754 -0.6227099362706754
2.2010391 -0.6226749220875936 -0.6226749220875936
2.2010852 -0.6226398279117049 -0.6226398279117049
2.2011312 -0.6226048060486815 -0.6226048060486815
2.2011772 -0.6225697803849086 -0.6225697803849086
2.2012233 -0.6225346747668471 -0.6225346747668471
2.2012693 -0.6224996415206073 -0.6224996415206073
2.2013153 -0.6224646045460109 -0.6224646045460109
2.2013614 -0.6224294876399181 -0.6224294876399181
2.2014074 -0.622394443211875 -0.622394443211875
2.2014534 -0.6223593950647448 -0.6223593950647448
2.2014994 -0.6223243432647285 -0.6223243432647285
2.2015455 -0.622289211584729 -0.622289211584729
2.2015915 -0.6222541524664493 -0.6222541524664493
2.2016375 -0.6222190897361025 -0.6222190897361025
2.2016836 -0.6221839471644681 -0.6221839471644681
2.2017296 -0.6221488772448435 -0.6221488772448435
2.2017756 -0.6221138037539656 -0.6221138037539656
2.2018217 -0.6220786504605477 -0.6220786504605477
2.2018677 -0.6220435698778127 -0.6220435698778127
2.2019137 -0.6220084857961818 -0.6220084857961818
2.2019598 -0.6219733219508127 -0.6219733219508127
2.2020058 -0.6219382309062793 -0.6219382309062793
2.2020518 -0.6219031364036524 -0.6219031364036524
2.2020979 -0.6218679621603681 -0.6218679621603681
2.2021439 -0.6218328607922342 -0.6218328607922342
2.2021899 -0.621797756038348 -0.621797756038348
2.202236 -0.6217625715827098 -0.6217625715827098
2.202282 -0.6217274600764688 -0.6217274600764688
2.202328 -0.621692345225268 -0.621692345225268
2.2023741 -0.6216571507112737 -0.6216571507112737
2.2024201 -0.6216220292366258 -0.6216220292366258
2.2024661 -0.6215869044735729 -0.6215869044735729
2.2025121 -0.6215517764409663 -0.6215517764409663
2.2025582 -0.6215165687818259 -0.6215165687818259
2.2026042 -0.6214814342608269 -0.6214814342608269
2.2026502 -0.6214462965268195 -0.6214462965268195
2.2026963 -0.6214110792053622 -0.6214110792053622
2.2027423 -0.6213759350960679 -0.6213759350960679
2.2027883 -0.6213407878303053 -0.6213407878303053
2.2028344 -0.6213055610162282 -0.6213055610162282
2.2028804 -0.621270407488271 -0.621270407488271
2.2029264 -0.6212352508603757 -0.6212352508603757
2.2029725 -0.621200014723355 -0.621200014723355
2.2030185 -0.6211648519305792 -0.6211648519305792
2.2030645 -0.6211296861101541 -0.6211296861101541
2.2031106 -0.621094440804083 -0.621094440804083
2.2031566 -0.6210592689476029 -0.6210592689476029
2.2032026 -0.6210240940884666 -0.6210240940884666
2.2032487 -0.6209888397987394 -0.6209888397987394
2.2032947 -0.6209536590165969 -0.6209536590165969
2.2033407 -0.6209184752883106 -0.6209184752883106
2.2033868 -0.6208832121687804 -0.6208832121687804
2.2034328 -0.6208480226305223 -0.6208480226305223
2.2034788 -0.6208128302183835 -0.6208128302183835
2.2035248 -0.6207776349511958 -0.6207776349511958
2.2035709 -0.6207423603295509 -0.6207423603295509
2.2036169 -0.6207071593873172 -0.6207071593873172
2.2036629 -0.6206719556465274 -0.6206719556465274
2.203709 -0.6206366725749957 -0.6206366725749957
2.203755 -0.6206014632721627 -0.6206014632721627
2.203801 -0.6205662512272608 -0.6205662512272608
2.2038471 -0.6205309598911407 -0.6205309598911407
2.2038931 -0.6204957423814277 -0.6204957423814277
2.2039391 -0.6204605222018797 -0.6204605222018797
2.2039852 -0.6204252227706899 -0.6204252227706899
2.2040312 -0.6203899972393041 -0.6203899972393041
2.2040772 -0.620354769078801 -0.620354769078801
2.2041233 -0.6203194617062872 -0.6203194617062872
2.2041693 -0.620284228322658 -0.620284228322658
2.2042153 -0.6202489923506254 -0.6202489923506254
2.2042614 -0.6202136772220151 -0.6202136772220151
2.2043074 -0.6201784361398005 -0.6201784361398005
2.2043534 -0.6201431925413893 -0.6201431925413893
2.2043995 -0.6201078697946366 -0.6201078697946366
2.2044455 -0.6200726211989741 -0.6200726211989741
2.2044915 -0.6200373701120654 -0.6200373701120654
2.2045375 -0.6200021165842265 -0.6200021165842265
2.2045836 -0.6199667839768589 -0.6199667839768589
2.2046296 -0.6199315256023106 -0.6199315256023106
2.2046756 -0.6198962648275235 -0.6198962648275235
2.2047217 -0.6198609250130668 -0.6198609250130668
2.2047677 -0.6198256594887191 -0.6198256594887191
2.2048137 -0.6197903916363134 -0.6197903916363134
2.2048598 -0.6197550447684037 -0.6197550447684037
2.2049058 -0.6197197722793193 -0.6197197722793193
2.2049518 -0.619684497502856 -0.619684497502856
2.2049979 -0.6196491437823448 -0.6196491437823448
2.2050439 -0.6196138644820703 -0.6196138644820703
2.2050899 -0.6195785829665811 -0.6195785829665811
2.205136 -0.6195432225155741 -0.6195432225155741
2.205182 -0.6195079365891245 -0.6195079365891245
2.205228 -0.6194726484881294 -0.6194726484881294
2.2052741 -0.6194372815074298 -0.6194372815074298
2.2053201 -0.6194019890925713 -0.6194019890925713
2.2053661 -0.6193666945753126 -0.6193666945753126
2.2054122 -0.6193313212184723 -0.6193313212184723
2.2054582 -0.6192960225159133 -0.6192960225159133
2.2055042 -0.6192607217516106 -0.6192607217516106
2.2055502 -0.6192254189286213 -0.6192254189286213
2.2055963 -0.6191900373353708 -0.6191900373353708
2.2056423 -0.6191547304932212 -0.6191547304932212
2.2056883 -0.6191194216487743 -0.6191194216487743
2.2057344 -0.6190840340743125 -0.6190840340743125
2.2057804 -0.6190487213077561 -0.6190487213077561
2.2058264 -0.619013406626755 -0.619013406626755
2.2058725 -0.6189780132560359 -0.6189780132560359
2.2059185 -0.6189426947814303 -0.6189426947814303
2.2059645 -0.618907374448749 -0.618907374448749
2.2060106 -0.6188719754981669 -0.6188719754981669
2.2060566 -0.6188366515160983 -0.6188366515160983
2.2061026 -0.6188013257480472 -0.6188013257480472
2.2061487 -0.6187659214024913 -0.6187659214024913
2.2061947 -0.6187305921292455 -0.6187305921292455
2.2062407 -0.6186952611263651 -0.6186952611263651
2.2062868 -0.6186598516021582 -0.6186598516021582
2.2063328 -0.6186245172225207 -0.6186245172225207
2.2063788 -0.6185891811853175 -0.6185891811853175
2.2064249 -0.6185537666987458 -0.6185537666987458
2.2064709 -0.6185184274132018 -0.6185184274132018
2.2065169 -0.6184830865578766 -0.6184830865578766
2.2065629 -0.6184477441358144 -0.6184477441358144
2.206609 -0.6184123233341855 -0.6184123233341855
2.206655 -0.6183769778454473 -0.6183769778454473
2.206701 -0.6183416308777417 -0.6183416308777417
2.2067471 -0.6183062055710792 -0.6183062055710792
2.2067931 -0.6182708556650607 -0.6182708556650607
2.2068391 -0.6182355043363749 -0.6182355043363749
2.2068852 -0.6182000747565704 -0.6182000747565704
2.2069312 -0.6181647206336387 -0.6181647206336387
2.2069772 -0.6181293651600545 -0.6181293651600545
2.2070233 -0.6180939314917868 -0.6180939314917868
2.2070693 -0.6180585733679971 -0.6180585733679971
2.2071153 -0.6180232139498371 -0.6180232139498371
2.2071614 -0.6179877763934747 -0.6179877763934747
2.2072074 -0.6179524144534037 -0.6179524144534037
2.2072534 -0.6179170513066761 -0.6179170513066761
2.2072995 -0.6178816100625554 -0.6178816100625554
2.2073455 -0.6178462445379097 -0.6178462445379097
2.2073915 -0.617810877847145 -0.617810877847145
2.2074376 -0.6177754331312869 -0.6177754331312869
2.2074836 -0.6177400642065722 -0.6177400642065722
2.2075296 -0.6177046941877075 -0.6177046941877075
2.2075756 -0.6176693230934386 -0.6176693230934386
2.2076217 -0.6176338740757893 -0.6176338740757893
2.2076677 -0.617598500929007 -0.617598500929007
2.2077137 -0.6175631267944911 -0.6175631267944911
2.2077598 -0.617527674777565 -0.617527674777565
2.2078058 -0.6174922987030131 -0.6174922987030131
2.2078518 -0.6174569217126664 -0.6174569217126664
2.2078979 -0.6174214668966478 -0.6174214668966478
2.2079439 -0.6173860881101539 -0.6173860881101539
2.2079899 -0.6173507084640779 -0.6173507084640779
2.208036 -0.6173152510648305 -0.6173152510648305
2.208082 -0.6172798697664712 -0.6172798697664712
2.208128 -0.6172444876647321 -0.6172444876647321
2.2081741 -0.6172090278823681 -0.6172090278823681
2.2082201 -0.6171736442721852 -0.6171736442721852
2.2082661 -0.617138259930527 -0.617138259930527
2.2083122 -0.6171027979651246 -0.6171027979651246
2.2083582 -0.6170674122588358 -0.6170674122588358
2.2084042 -0.617032025877253 -0.617032025877253
2.2084502 -0.6169966388705184 -0.6169966388705184
2.2084963 -0.6169611743107222 -0.6169611743107222
2.2085423 -0.6169257861048848 -0.6169257861048848
2.2085883 -0.6168903973143532 -0.6168903973143532
2.2086344 -0.616854931059171 -0.616854931059171
2.2086804 -0.6168195412132947 -0.6168195412132947
2.2087264 -0.6167841508702966 -0.6167841508702966
2.2087725 -0.6167486831196877 -0.6167486831196877
2.2088185 -0.6167132918493702 -0.6167132918493702
2.2088645 -0.6166779001380763 -0.6166779001380763
2.2089106 -0.6166424310919643 -0.6166424310919643
2.2089566 -0.6166070385970611 -0.6166070385970611
2.2090026 -0.61657164573302 -0.61657164573302
2.2090487 -0.6165361755912961 -0.6165361755912961
2.2090947 -0.6165007820716264 -0.6165007820716264
2.2091407 -0.6164653882546465 -0.6164653882546465
2.2091868 -0.6164299172171678 -0.6164299172171678
2.2092328 -0.6163945228882183 -0.6163945228882183
2.2092788 -0.6163591283180732 -0.6163591283180732
2.2093249 -0.6163236566003608 -0.6163236566003608
2.2093709 -0.6162882616461803 -0.6162882616461803
2.2094169 -0.6162528665383076 -0.6162528665383076
2.2094629 -0.6162174712954366 -0.6162174712954366
2.209509 -0.6161819989761509 -0.6161819989761509
2.209555 -0.6161466035302522 -0.6161466035302522
2.209601 -0.6161112080054418 -0.6161112080054418
2.2096471 -0.6160757354772597 -0.6160757354772597
2.2096931 -0.6160403398930007 -0.6160403398930007
2.2097391 -0.6160049442859084 -0.6160049442859084
2.2097852 -0.6159694717642308 -0.6159694717642308
2.2098312 -0.615934076241243 -0.615934076241243
2.2098772 -0.615898680767186 -0.615898680767186
2.2099233 -0.6158632084516762 -0.6158632084516762
2.2099693 -0.615827813189558 -0.615827813189558
2.2100153 -0.6157924180481226 -0.6157924180481226
2.2100614 -0.6157569461384116 -0.6157569461384116
2.2101074 -0.6157215513367252 -0.6157215513367252
2.2101534 -0.6156861567431534 -0.6156861567431534
2.2101995 -0.6156506854231445 -0.6156506854231445
2.2102455 -0.6156152913128031 -0.6156152913128031
2.2102915 -0.615579897450916 -0.615579897450916
2.2103376 -0.6155444269515568 -0.6155444269515568
2.2103836 -0.6155090337006657 -0.6155090337006657
2.2104296 -0.6154736408013253 -0.6154736408013253
2.2104756 -0.6154382482408224 -0.6154382482408224
2.2105217 -0.6154027791458467 -0.6154027791458467
2.2105677 -0.6153673873771153 -0.6153673873771153
2.2106137 -0.615331996050298 -0.615331996050298
2.2106598 -0.6152965282153201 -0.6152965282153201
2.2107058 -0.6152611378079854 -0.6152611378079854
2.2107518 -0.6152257478985592 -0.6152257478985592
2.2107979 -0.6151902815544011 -0.6151902815544011
2.2108439 -0.6151548927078334 -0.6151548927078334
2.2108899 -0.6151195044151595 -0.6151195044151595
2.210936 -0.6150840397612306 -0.6150840397612306
2.210982 -0.6150486526590815 -0.6150486526590815
2.211028 -0.6150132661981724 -0.6150132661981724
2.2110741 -0.6149778034495276 -0.6149778034495276
2.2111201 -0.6149424183067853 -0.6149424183067853
2.2111661 -0.6149070338612471 -0.6149070338612471
2.2112122 -0.6148715732172217 -0.6148715732172217
2.2112582 -0.6148361902331546 -0.6148361902331546
2.2113042 -0.6148008080179267 -0.6148008080179267
2.2113503 -0.6147653496778221 -0.6147653496778221
2.2113963 -0.6147299690673419 -0.6147299690673419
2.2114423 -0.614694589281644 -0.614694589281644
2.2114883 -0.6146592103550513 -0.6146592103550513
2.2115344 -0.6146237554070298 -0.6146237554070298
2.2115804 -0.6145883782500476 -0.6145883782500476
2.2116264 -0.6145530020394545 -0.6145530020394545
2.2116725 -0.6145175498497942 -0.6145175498497942
2.2117185 -0.6144821755520332 -0.6144821755520332
2.2117645 -0.6144468022252216 -0.6144468022252216
2.2118106 -0.6144113530244641 -0.6144113530244641
2.2118566 -0.614375981769358 -0.614375981769358
2.2119026 -0.6143406115567861 -0.6143406115567861
2.2119487 -0.6143051655440778 -0.6143051655440778
2.2119947 -0.6142697975150297 -0.6142697975150297
2.2120407 -0.6142344306314366 -0.6142344306314366
2.2120868 -0.6141989879902164 -0.6141989879902164
2.2121328 -0.6141636234176203 -0.6141636234176203
2.2121788 -0.6141282600463635 -0.6141282600463635
2.2122249 -0.6140928210070541 -0.6140928210070541
2.2122709 -0.614057460074244 -0.614057460074244
2.2123169 -0.6140221004143185 -0.6140221004143185
2.212363 -0.6139866651602909 -0.6139866651602909
2.212409 -0.6139513080975831 -0.6139513080975831
2.212455 -0.6139159523479499 -0.6139159523479499
2.212501 -0.6138805979613474 -0.6138805979613474
2.2125471 -0.6138451680845414 -0.6138451680845414
2.2125931 -0.6138098164597965 -0.6138098164597965
2.2126391 -0.6137744662539311 -0.6137744662539311
2.2126852 -0.6137390406475867 -0.6137390406475867
2.2127312 -0.6137036933466212 -0.6137036933466212
2.2127772 -0.6136683475360389 -0.6136683475360389
2.2128233 -0.6136329263990794 -0.6136329263990794
2.2128693 -0.6135975836364144 -0.6135975836364144
2.2129153 -0.6135622424199566 -0.6135622424199566
2.2129614 -0.6135268259512721 -0.6135268259512721
2.2130074 -0.6134914879257243 -0.6134914879257243
2.2130534 -0.6134561515178643 -0.6134561515178643
2.2130995 -0.6134207399633 -0.6134207399633
2.2131455 -0.6133854069049778 -0.6133854069049778
2.2131915 -0.61335007553581 -0.61335007553581
2.2132376 -0.6133146691098377 -0.6133146691098377
2.2132836 -0.6132793412331414 -0.6132793412331414
2.2133296 -0.6132440151483791 -0.6132440151483791
