 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <X|d/dR|D>   <X|d/dR|E>   <X|d/dR|F>   <X|d/dR|G>   <X|d/dR|H>   <X|d/dR|I>   <X|d/dR|J>   <A|d/dR|B>   <A|d/dR|C>   <A|d/dR|D>   <A|d/dR|E>   <A|d/dR|F>   <A|d/dR|G>   <A|d/dR|H>   <A|d/dR|I>   <A|d/dR|J>   <B|d/dR|C>   <B|d/dR|D>   <B|d/dR|E>   <B|d/dR|F>   <B|d/dR|G>   <B|d/dR|H>   <B|d/dR|I>   <B|d/dR|J>   <C|d/dR|D>   <C|d/dR|E>   <C|d/dR|F>   <C|d/dR|G>   <C|d/dR|H>   <C|d/dR|I>   <C|d/dR|J>   <D|d/dR|E>   <D|d/dR|F>   <D|d/dR|G>   <D|d/dR|H>   <D|d/dR|I>   <D|d/dR|J>   <E|d/dR|F>   <E|d/dR|G>   <E|d/dR|H>   <E|d/dR|I>   <E|d/dR|J>   <F|d/dR|G>   <F|d/dR|H>   <F|d/dR|I>   <F|d/dR|J>   <G|d/dR|H>   <G|d/dR|I>   <G|d/dR|J>   <H|d/dR|I>   <H|d/dR|J>   <I|d/dR|J> 
29.00503 -0.001255215540643323 -1.7691246663199763e-6 -1.0383855115630264e-5 0.007108759508122783 2.7599709152841705e-5 5.069631287330022e-6 -2.537991205919242e-7 2.794031853338813e-5 -2.8385830548907522e-5 -0.00045957670176799225 0.0015536030918265077 -1.2445710377834532e-7 1.9516813409473824e-5 -0.0030728835227499434 1.4420538434964301e-5 1.0849294647790735e-5 -7.935522424135797e-5 1.2788209902040724e-5 -3.2883047815029354e-6 -1.3892201871259463e-5 1.6579037684366389e-6 1.077494025398726e-5 -1.2090513953552234e-5 0.0033475904900408626 -4.6344525274216134e-5 -0.0009673917449146974 5.6541053555293344e-5 0.0005313013881899173 5.128174678685388e-7 1.7497421494911987e-5 5.665139900230071e-7 -6.562823868995176e-5 7.194511580061965e-5 0.0012634260931605646 0.0036001417462108525 -0.0019704317655194425 -7.4244168624785406e-6 0.00034164622079356884 -3.396012347970964e-5 2.5172257078053336e-5 -0.005815989164573015 4.2276240271781386e-5 0.0013736090447609933 0.002649049544091891 -7.331645640854553e-5 -4.447234645471507e-6 0.009307858937606158 -0.0002277509560871633 -0.0017714728349772794 -0.0003258065243216572 0.01820592637476735 7.69883021570236e-5 0.008295307833862724 -0.002947937631835836 0.02027066372406015
29.01221 -0.0012544513163513724 -1.675832131555755e-6 -1.0412133870086807e-5 0.007108961678655078 2.736779189187706e-5 5.0615388574389075e-6 -2.836566008069326e-7 2.7982874375986983e-5 -2.8420420689710863e-5 -0.0004596653788247366 0.0015521661841675439 -5.752070042452759e-7 1.8351372970003617e-5 -0.003072439866872395 1.3991138912437057e-5 1.0493267501619938e-5 -7.908465706571445e-5 1.2916463977577287e-5 -3.0037010682200035e-6 -1.91119169633831e-5 -1.433678236033686e-7 1.1004592460635839e-5 -1.1796538150911788e-5 0.0033479589944943808 -4.6300892910817985e-5 -0.0009676434530679068 5.627932227559772e-5 0.000529250463230181 4.5762034779218574e-7 1.7591786937247037e-5 3.799367004281334e-7 -6.549301638377123e-5 7.241159549670428e-5 0.001263855867912888 0.003596343403213677 -0.001969995009224775 -7.150148509884487e-6 0.0003414222004502326 -3.410805048027698e-5 2.4996136777879956e-5 -0.0058131232847196575 4.198887665016312e-5 0.0013704946850989434 0.002649823075683741 -7.373599056459993e-5 -3.2884813787321036e-6 0.00928549045812668 -0.00022883842954601335 -0.0017741451281126865 -0.0003263013632372422 0.018270628534171045 7.165377836374827e-5 0.008371154044884681 -0.0029810336706543768 0.020304185919247427
29.01939 -0.001253607821200387 -1.6833492905644057e-6 -1.0390898226924782e-5 0.007109062116138202 2.7076406251892887e-5 5.0329585351623575e-6 -2.430753434317955e-7 2.807682897565913e-5 -2.835779691315694e-5 -0.0004596023830236658 0.0015514092954871106 -6.038398737298732e-7 1.8818828927312802e-5 -0.0030726780331437973 1.4093885075655312e-5 1.0585747704072118e-5 -7.883912199202816e-5 1.2736037544453858e-5 -3.2121743856511367e-6 -1.3982200594356256e-5 2.576294877183726e-7 1.107130182212869e-5 -1.1600173344818904e-5 0.0033477541154213254 -4.626759720059844e-5 -0.0009672272346473234 5.6785305067261884e-5 0.00053180943987415 4.818093430593122e-7 1.837203876645934e-5 1.1457093237269018e-6 -6.553154347328022e-5 7.194913018802468e-5 0.001263505431245206 0.0035942135212195673 -0.0019705129924505525 -7.496848077033636e-6 0.0003411744534554866 -3.404661455501153e-5 2.523504565687444e-5 -0.005806702129048712 4.184107776036708e-5 0.001367829506382738 0.002649597115398321 -7.342002671401162e-5 -1.160169839831176e-6 0.00926292097950342 -0.00022749036900158846 -0.0017726311496243257 -0.0003258231212523804 0.01834484171306798 7.489648137227407e-5 0.008447830202951838 -0.003010948004345631 0.020246685555690834
29.02657 -0.0012528850870023517 -1.6506328263835755e-6 -1.0370261024933187e-5 0.007109212803858762 2.6935119081127766e-5 5.054306916343762e-6 -1.8177739711245195e-7 2.8150929524133218e-5 -2.827571961516596e-5 -0.00045952982378629376 0.00155041259320238 -1.3519413492129709e-7 1.86447227913694e-5 -0.003072501906666779 1.3495830022199023e-5 1.0390005339606282e-5 -7.856734994463834e-5 1.2932099676140816e-5 -2.8667534361174063e-6 -2.1232217398619603e-5 -1.2320549460586992e-6 1.0634165442797183e-5 -1.0912902212483342e-5 0.0033480306304335835 -4.620765761775334e-5 -0.0009677837900517583 5.6110614115608596e-5 0.0005303585589599494 4.721564773563956e-7 1.7197892548178854e-5 4.256870504342349e-7 -6.538320039266472e-5 7.249880651877487e-5 0.0012641961003970379 0.00359069009399494 -0.0019704567124475894 -7.28129318244055e-6 0.0003409561368831938 -3.3788085350376956e-5 2.542302042179609e-5 -0.00579773047631368 4.1133801462258e-5 0.0013644621507826187 0.002650238995338743 -7.395263283072595e-5 -1.8282431271789639e-6 0.009239676826077937 -0.0002268038921575021 -0.0017735029071220064 -0.0003273541956248039 0.018411769154117 7.211116858484492e-5 0.008521187996292937 -0.003046161997454414 0.020248101183942824
29.03375 -0.001252113078176072 -1.7301719573400803e-6 -1.0429116502152168e-5 0.007109272497235785 2.6663959120017347e-5 5.005767024018535e-6 -2.112958488827517e-7 2.8224773825971606e-5 -2.8221571066914158e-5 -0.00045951686761851234 0.001551355886241952 -8.420140320297979e-8 1.968247897570143e-5 -0.0030728580294244767 1.3629634417782949e-5 1.04317911975876e-5 -7.830275744922759e-5 1.2682607648296633e-5 -3.136055122794047e-6 -1.6652309205110215e-5 -1.9416382316477143e-6 1.0805394900911241e-5 -1.1077717283261857e-5 0.0033478537826287335 -4.6103730317783335e-5 -0.0009674375787059293 5.650619767975487e-5 0.0005311190383645002 9.203705379388295e-8 1.834137674894324e-5 9.320055003620726e-7 -6.534318701468675e-5 7.196919675942512e-5 0.0012637748193485283 0.0035883300170183726 -0.0019704489772386885 -7.128928792433041e-6 0.00034078338384230467 -3.3933931686307126e-5 2.4979647610604014e-5 -0.005792508216067651 4.0915717244094795e-5 0.001361288879886791 0.0026503763843820486 -7.361931694264718e-5 1.076278732645263e-7 0.009217043281982886 -0.00022648670397552387 -0.0017743344666578433 -0.000327359776997478 0.018479624330134458 6.770723857519306e-5 0.008595540055426232 -0.0030750218487698823 0.02020737241736866
29.04093 -0.0012512418601059016 -1.62981155544874e-6 -1.0337907146253036e-5 0.007109654399935871 2.6524040854793146e-5 5.046471493810753e-6 -2.3201198881581397e-7 2.828681671242948e-5 -2.8296717744993022e-5 -0.00045960561790263886 0.0015524195163520117 -1.5330422220771915e-7 1.8460633154994572e-5 -0.0030728512578042182 1.3791293183611414e-5 1.0587113349139942e-5 -7.806404694153604e-5 1.2749221046964286e-5 -3.1421579282107664e-6 -1.522342182220064e-5 2.478296612705827e-6 1.1090453233393088e-5 -1.1804610190361593e-5 0.0033480702327337596 -4.597432609166714e-5 -0.0009675494545104506 5.629690551304732e-5 0.000532219331309124 -1.8411921516062264e-7 1.8157274625972302e-5 5.697480969499271e-7 -6.525357457078453e-5 7.199572799598852e-5 0.0012635996782014744 0.003584624362217032 -0.001970236712611633 -6.92304327732026e-6 0.00034059245438266455 -3.3821831278815884e-5 2.5016252238725477e-5 -0.0057819157077477765 4.0765487452508764e-5 0.0013576807597911952 0.002651562890028968 -7.413254326123972e-5 -1.6795418620941073e-6 0.009193739047034254 -0.0002252622973987539 -0.0017740325434281886 -0.00032808807295588377 0.018551196426218556 6.740181932988513e-5 0.00867157527794152 -0.0031038180589096948 0.020123849342484547
29.04811 -0.0012505908115248569 -1.6574511249270496e-6 -1.0316038993335673e-5 0.007109796287008572 2.6292845556041456e-5 5.078691690478804e-6 -2.0220228786104682e-7 2.8358897802851985e-5 -2.8372331504561485e-5 -0.0004597044254673575 0.0015516930183518199 -7.624597082129835e-7 1.7475311069477192e-5 -0.003072319247198717 1.2892442805368036e-5 1.0247579839004404e-5 -7.781529856175349e-5 1.2680239447672004e-5 -3.089680590993532e-6 -1.3543080842503882e-5 3.2024273313493047e-7 1.0761525147863836e-5 -1.102825081695287e-5 0.0033481413100717077 -4.59875273474412e-5 -0.0009677010102122836 5.637738625626662e-5 0.0005302867574434122 3.9097912256554613e-7 1.8155521153741606e-5 1.1741672536648815e-6 -6.52189924180865e-5 7.16540139193502e-5 0.001263310463409698 0.003581647456021448 -0.0019705229569252415 -7.029178812500552e-6 0.000340376220191074 -3.448130449342109e-5 2.441596557980421e-5 -0.005772999990632281 4.002793184012033e-5 0.0013551676500343044 0.002652108086823576 -7.421713834752054e-5 -3.200690205568152e-7 0.009171758329442007 -0.00022589918492989762 -0.0017745358133775275 -0.00032923952430816253 0.01861655358919295 6.190329521849357e-5 0.008744946643260544 -0.003137557532628937 0.020188106515204807
29.0553 -0.0012496905028238738 -1.726332263528942e-6 -1.0325396100616703e-5 0.007109796733777633 2.6082194882892303e-5 5.0397480346583485e-6 -2.61790404262756e-7 2.843301208374353e-5 -2.8299330921546074e-5 -0.00045958140583550277 0.0015521166234999583 -2.6308358321310647e-7 1.7684536865831002e-5 -0.003073087392490829 1.3167817025194759e-5 1.0570292684240781e-5 -7.755024550471413e-5 1.2476407063755113e-5 -3.228329043710087e-6 -1.7123330041799464e-5 -1.997042599992819e-7 1.059495099723337e-5 -1.0902315609671552e-5 0.0033480242343694043 -4.590391870030295e-5 -0.0009674640439037657 5.667235936159847e-5 0.0005308252946091493 6.696175146967349e-7 1.724984677882334e-5 4.214179525516004e-7 -6.512616666672561e-5 7.183860010648165e-5 0.0012637571097585166 0.003579006125256793 -0.0019704231718553596 -6.395329340560206e-6 0.00034012015814497483 -3.4102751393388434e-5 2.487853237165717e-5 -0.005761012657191025 4.162751341255466e-5 0.0013517863701251196 0.002651525527911783 -7.376973043509295e-5 -5.206764940594332e-6 0.009149062887787485 -0.0002234487462562645 -0.0017726611553592903 -0.000330709232524322 0.01868149674785031 5.455570557098121e-5 0.008824415339606775 -0.003172942668629588 0.02019454723576071
29.06248 -0.0012489515269795259 -1.6350056329567135e-6 -1.0283754518878301e-5 0.007110217582542755 2.5942670172729455e-5 5.07038930002343e-6 -1.1124410505420971e-7 2.8486136194961126e-5 -2.8297317072374033e-5 -0.00045958958923453854 0.0015523106264048563 -7.418157576239167e-7 1.7341476564426558e-5 -0.00307296004575445 1.2870940097019018e-5 1.030532980072706e-5 -7.729964196754652e-5 1.2634695618899184e-5 -2.9733372052301026e-6 -1.295340007812298e-5 -6.083774266728074e-7 1.0557823125341764e-5 -1.0928373507319077e-5 0.003348213296133761 -4.580390019229152e-5 -0.0009675572968939461 5.665382852049103e-5 0.0005294256223471377 4.470154704843882e-7 1.7353847432020578e-5 5.199765753583443e-7 -6.505716538977964e-5 7.185973527030293e-5 0.0012637218817547135 0.0035756493993717494 -0.001970504978407993 -6.827775033832536e-6 0.0003399493132457073 -3.419316108509509e-5 2.4836219112982414e-5 -0.005754737826809741 4.001307837563973e-5 0.0013486610791357855 0.002652653891459532 -7.325638199569173e-5 -2.7096887734389552e-6 0.009126889541167318 -0.00022497121098555937 -0.001774068606622242 -0.00033140518141150404 0.018757388280993888 5.857860652868618e-5 0.008902367476896359 -0.003205168287383774 0.020131015658337706
29.06966 -0.0012482632400673504 -1.8029484590821796e-6 -1.0393038835555213e-5 0.007110158454125351 2.562104811570086e-5 4.962736363720944e-6 -3.7135955293835403e-7 2.857962450453028e-5 -2.82809078702062e-5 -0.00045963743139372824 0.001551834483741289 -3.1210642230070887e-7 1.7458350642023342e-5 -0.0030727889407905287 1.305299672061061e-5 1.0369337939863056e-5 -7.70123895563653e-5 1.259094547468062e-5 -2.89060235851095e-6 -1.4703962136368679e-5 4.1985070305842976e-7 1.1086906285003507e-5 -1.0618401205772246e-5 0.003348634276680949 -4.5752793061225053e-5 -0.000967559376312969 5.635649125253143e-5 0.0005310451611526978 5.150024095700273e-7 1.7626025887978264e-5 7.897610584458314e-7 -6.497789771179902e-5 7.192815448134755e-5 0.001263787149824674 0.0035731384938141376 -0.00197010061572141 -6.258208894307422e-6 0.00033974855187734023 -3.422652661689076e-5 2.482740059248842e-5 -0.0057505224924494 4.1559485437975516e-5 0.0013455075087419506 0.00265294932838631 -7.500165545188241e-5 -1.9778995889201805e-6 0.009104556643100165 -0.0002238068558901344 -0.00177566236618807 -0.0003286740181098174 0.018831575682733158 5.6301494728406044e-5 0.008976102363885644 -0.00323298592213356 0.020093821716085782
