 R   <X|H|A>   <X|H|B>   <X|H|C>   <X|H|D>   <X|H|E>   <X|H|F>   <X|H|G>   <X|H|H>   <X|H|I>   <X|H|J>   <A|H|B>   <A|H|C>   <A|H|D>   <A|H|E>   <A|H|F>   <A|H|G>   <A|H|H>   <A|H|I>   <A|H|J>   <B|H|C>   <B|H|D>   <B|H|E>   <B|H|F>   <B|H|G>   <B|H|H>   <B|H|I>   <B|H|J>   <C|H|D>   <C|H|E>   <C|H|F>   <C|H|G>   <C|H|H>   <C|H|I>   <C|H|J>   <D|H|E>   <D|H|F>   <D|H|G>   <D|H|H>   <D|H|I>   <D|H|J>   <E|H|F>   <E|H|G>   <E|H|H>   <E|H|I>   <E|H|J>   <F|H|G>   <F|H|H>   <F|H|I>   <F|H|J>   <G|H|H>   <G|H|I>   <G|H|J>   <H|H|I>   <H|H|J>   <I|H|J> 
29.00503 -8.263172854856997e-5 6.428451559523505e-9 2.274149850930781e-14 -4.677887224863237e-19 5.556635664367721e-22 2.6923476385210775e-24 -3.938557575242479e-27 -2.659083373130683e-27 -2.7995297097162846e-29 6.544213513856258e-32 5.497818101696432e-6 3.2317797240717306e-11 -2.4494849994339556e-15 -1.028407661528162e-18 -1.1118724964470114e-20 1.6626706773394347e-23 1.0451741205447492e-23 1.1004439026058233e-25 -2.5727527347807657e-28 -1.1321828641896803e-7 -2.3525845932357716e-12 -5.252313679541667e-14 -2.1245225608849522e-16 2.8697162862182126e-19 1.5957624840134003e-19 1.6806720384574953e-21 -3.931853693071007e-24 1.7205095599462801e-6 9.967367110411844e-9 3.454528664368034e-11 -4.435252236456842e-14 -2.4270202910395992e-14 -2.560840194773378e-16 6.013543825115617e-19 0.00012167555298979065 2.435162355673538e-7 -2.6839340103647653e-10 -1.9208570601387766e-10 -2.0524148173516236e-12 4.943044010759087e-15 -4.275329581604194e-5 4.383597133406664e-8 -8.416687721690185e-8 -9.610582316943707e-10 2.6082844566666e-12 2.0006026797660385e-5 3.729311841274798e-5 4.7475218099322835e-7 -1.5064953604943677e-9 -6.155084575079994e-7 4.678384743784914e-5 -3.354175622958311e-7 -4.4229847060749504e-5 3.432306331812623e-8 8.31859593022615e-6
29.01221 -8.200706953935202e-5 6.331665420692327e-9 2.2230009546704745e-14 -4.537912297581012e-19 5.34893092857278e-22 2.571294222351481e-24 -3.75528102677839e-27 -2.4947593793601013e-27 -2.6265251051118834e-29 6.139800675019093e-32 5.45635349976152e-6 3.18323249059933e-11 -2.3945440948065406e-15 -9.972723715654149e-19 -1.0699663452343443e-20 1.597105008058648e-23 9.876961876438108e-24 1.0399289906309943e-25 -2.4312887843077347e-28 -1.1236658163252067e-7 -2.317366243042753e-12 -5.1335335295046884e-14 -2.0601518602675041e-16 2.7760736502214256e-19 1.5192238418823635e-19 1.6000840665557043e-21 -3.7434264379296424e-24 1.7075753164399862e-6 9.816027215051124e-9 3.375425762582846e-11 -4.321463329825682e-14 -2.329950525570329e-14 -2.458587565812415e-16 5.774119261345023e-19 0.00012074442249548209 2.3976848413195115e-7 -2.633052675071982e-10 -1.865080773892822e-10 -1.993401045104588e-12 4.802978279772722e-15 -4.2412800827788055e-5 4.323854590575472e-8 -8.301333431924833e-8 -9.481925556490526e-10 2.5729542636696935e-12 2.000595303498025e-5 3.6858459529828596e-5 4.6938701482416736e-7 -1.4881928608688986e-9 -6.096230238023652e-7 4.633463534544199e-5 -3.3108552301310185e-7 -4.413621319402289e-5 3.45969267297209e-8 8.271863182081889e-6
29.01939 -8.138281743348324e-5 6.235674721452365e-9 2.172655890466801e-14 -4.401182185222629e-19 5.1476118428291465e-22 2.4549010071003337e-24 -3.579284225745437e-27 -2.339272955068214e-27 -2.462825116908206e-29 5.757138440282936e-32 5.414913665184101e-6 3.1350829477634527e-11 -2.3404646515483605e-15 -9.668720621004952e-19 -1.0293665205743965e-20 1.5336639143235748e-23 9.329010350111841e-24 9.822386426090403e-26 -2.296427613045714e-28 -1.1151518934817093e-7 -2.282449210945647e-12 -5.0166397647561864e-14 -1.9973082001657694e-16 2.684807378330683e-19 1.4457022412658276e-19 1.5226725769053838e-21 -3.5624247900622434e-24 1.6946481715281864e-6 9.665961588100995e-9 3.29761110172912e-11 -4.2097311484100395e-14 -2.235941959360872e-14 -2.359557774149678e-16 5.542229942012255e-19 0.00011981408835671236 2.3605354558276054e-7 -2.582734586114988e-10 -1.8105177556405912e-10 -1.9356636646317183e-12 4.665903406584178e-15 -4.207274653655795e-5 4.264189420749081e-8 -8.186392520246755e-8 -9.353677874138367e-10 2.537737026234727e-12 2.0005896792983585e-5 3.642399456358144e-5 4.640210041802299e-7 -1.4699073161003633e-9 -6.037220150477302e-7 4.588377721117232e-5 -3.2676041294960716e-7 -4.4042790544633746e-5 3.487473319755791e-8 8.224756212853863e-6
29.02657 -8.075897158391127e-5 6.140477964661424e-9 2.123108044291109e-14 -4.2676545154584496e-19 4.952536859943252e-22 2.3430191218695687e-24 -3.4103265853137485e-27 -2.1922180129790936e-27 -2.3080021866563073e-29 5.395227315054452e-32 5.373498575720394e-6 3.087328475246801e-11 -2.2872362163084958e-15 -9.371963212379042e-19 -9.9004053797642e-21 1.472292686008535e-23 8.806850538434601e-24 9.272637709210146e-26 -2.1679142047724554e-28 -1.1066427495987076e-7 -2.247815627674813e-12 -4.901614683497699e-14 -1.9359644017454187e-16 2.5958726917469533e-19 1.375103576108154e-19 1.4483384862097996e-21 -3.388617098440846e-24 1.6817281189268866e-6 9.517163904700768e-9 3.221070020859728e-11 -4.100030946690423e-14 -2.1449233332143086e-14 -2.2636757893301135e-16 5.317700273844609e-19 0.00011888451579719355 2.3237115206184233e-7 -2.5329754706577374e-10 -1.7571505506074583e-10 -1.879184291128991e-12 4.5317754093372185e-15 -4.173318466337348e-5 4.204612289114201e-8 -8.071872844626221e-8 -9.225847397971337e-10 2.502632155386016e-12 2.0005823005065864e-5 3.598975862339212e-5 4.5865450277395033e-7 -1.4516368213708048e-9 -5.978031095216367e-7 4.543126391753679e-5 -3.224406535259711e-7 -4.394926062461141e-5 3.515209429099009e-8 8.177714480826616e-6
29.03375 -8.01355082270565e-5 6.046071023934624e-9 2.0743479405247386e-14 -4.1372572784074426e-19 4.763538829590811e-22 2.2355008395578153e-24 -3.248172033128217e-27 -2.053208739344846e-27 -2.1616501023801798e-29 5.05311771335125e-32 5.332108209279008e-6 3.0399702271321796e-11 -2.234853572145085e-15 -9.082306659104298e-19 -9.519565819779632e-21 1.4129381490210707e-23 8.309492235455416e-24 8.749001185709569e-26 -2.045504840010908e-28 -1.0981367722620577e-7 -2.213481453035632e-12 -4.7884407140681764e-14 -1.8760948105603947e-16 2.5092272941686014e-19 1.307337391721934e-19 1.376986553385955e-21 -3.221780719574738e-24 1.6688151526244875e-6 9.36963478862749e-9 3.1457909364596174e-11 -3.992342332709641e-14 -2.0568258565924114e-14 -2.1708691629291779e-16 5.100360916660752e-19 0.0001179557367152061 2.287212973880092e-7 -2.4837749083901277e-10 -1.7049612146612554e-10 -1.823943938419993e-12 4.400550057256516e-15 -4.13941141314185e-5 4.145119761487105e-8 -7.957763717096727e-8 -9.098420622603318e-10 2.4676368930302432e-12 2.0005766870808882e-5 3.555571690339148e-5 4.5328689810799297e-7 -1.433380384545203e-9 -5.918672642904655e-7 4.497695530518814e-5 -3.181261670905894e-7 -4.385583606057613e-5 3.543134330739749e-8 8.130516551208142e-6
29.04093 -7.951242724438438e-5 5.952452530373658e-9 2.0263704537391287e-14 -4.0099700808541265e-19 4.580502801451292e-22 2.1322070007084625e-24 -3.092594005787508e-27 -1.9218672929585626e-27 -2.02337104599743e-29 4.72987966915785e-32 5.290742543701515e-6 2.993002044894776e-11 -2.183301582514107e-15 -8.799686819846342e-19 -9.150834075895262e-21 1.3555473871705432e-23 7.835954249696377e-24 8.250443784370924e-26 -1.9289580220962987e-28 -1.0896387802570471e-7 -2.1793970779050936e-12 -4.6771002306060356e-14 -1.8176720330750497e-16 2.4248261841221095e-19 1.2423129105770425e-19 1.3085212021079886e-21 -3.0616922434815237e-24 1.655909266604615e-6 9.223361414902822e-9 3.07175722728789e-11 -3.886638145989315e-14 -1.971579160552074e-14 -2.081063818984575e-16 4.890038860040876e-19 0.00011702765175955093 2.2510356109617567e-7 -2.4351269133077314e-10 -1.653931912991697e-10 -1.7699239082872138e-12 4.2721844834786714e-15 -4.105558456503612e-5 4.0857205584770195e-8 -7.84407304244743e-8 -8.971407862283394e-10 2.432755755877798e-12 2.000571084104108e-5 3.512190323351451e-5 4.479187644257462e-7 -1.415141658081341e-9 -5.859142505675356e-7 4.452097558205786e-5 -3.1381856052729697e-7 -4.3762410387019105e-5 3.5713130152183364e-8 8.08305377532249e-6
29.04811 -7.888976269357549e-5 5.859624948694206e-9 1.979168283524736e-14 -3.88571880171039e-19 4.403250539546648e-22 2.0329984452932213e-24 -2.943372920977314e-27 -1.797828217722742e-27 -1.892780238515046e-29 4.424613691303398e-32 5.249401556863943e-6 2.946428738844343e-11 -2.132580045401111e-15 -8.523919530431813e-19 -8.79390815377578e-21 1.3000704112999013e-23 7.385289511973641e-24 7.775968359872473e-26 -1.8180406497744675e-28 -1.0811439483125472e-7 -2.1456112221270766e-12 -4.5675758434053895e-14 -1.7606722964485462e-16 2.342630155751246e-19 1.179943432506419e-19 1.242851149134155e-21 -2.9081382797088344e-24 1.6430104553045614e-6 9.078351138843273e-9 2.9989603075552895e-11 -3.782902131251495e-14 -1.8891173170479587e-14 -1.9941903574658932e-16 4.686571886786131e-19 0.00011610035839613233 2.2151818925523465e-7 -2.387034232252237e-10 -1.6040456917384188e-10 -1.7171064284078629e-12 4.1466372523860624e-15 -4.071754342734819e-5 4.026410340427526e-8 -7.730785196354733e-8 -8.8447945873916e-10 2.3979856221967167e-12 2.0005619591724202e-5 3.4688252496468514e-5 4.425496253866692e-7 -1.3969198288424896e-9 -5.799449378893487e-7 4.40634439094209e-5 -3.095182845612027e-7 -4.366908831823629e-5 3.599592750184775e-8 8.03554171869451e-6
29.0553 -7.826661337522992e-5 5.7674553224145606e-9 1.932668684208431e-14 -3.764284908970995e-19 4.231408121306872e-22 1.9376109682067356e-24 -2.800097954494403e-27 -1.6805883570920922e-27 -1.7693479302144464e-29 4.1360814200982056e-32 5.208027700301018e-6 2.9001837666195194e-11 -2.0826099158637247e-15 -8.254533722174623e-19 -8.448015653907738e-21 1.2463835498897452e-23 6.956010896407338e-24 7.324009172794069e-26 -1.712386701491634e-28 -1.0726420561880399e-7 -2.112060618116875e-12 -4.4597013286056705e-14 -1.7049936664368133e-16 2.262487433082783e-19 1.1200633760959388e-19 1.1798020490753352e-21 -2.7607111967902085e-24 1.6301007626730275e-6 8.934398540884623e-9 2.927288218114061e-11 -3.6809718323683106e-14 -1.809267847880287e-14 -1.9100670734122702e-16 4.4895345885038345e-19 0.00011517253303195366 2.1796016576657185e-7 -2.339430132025378e-10 -1.5552238047556702e-10 -1.665408004343092e-12 4.02370976530937e-15 -4.0379469900873286e-5 3.967092907758391e-8 -7.617783137852792e-8 -8.718443014897472e-10 2.363285790019915e-12 2.0005563279722062e-5 3.425425816546066e-5 4.3717255339245264e-7 -1.378689390498226e-9 -5.739491928186181e-7 4.360345201510675e-5 -3.052179101966492e-7 -4.357563709948148e-5 3.628079476897701e-8 7.987804688531429e-6
29.06248 -7.764472375040617e-5 5.676199906384468e-9 1.88699383120233e-14 -3.6459455975181755e-19 4.0652944805908524e-22 1.8461753479139843e-24 -2.662953903645044e-27 -1.5701403727404182e-27 -1.6530663797442645e-29 3.864264735711488e-32 5.1667360390698895e-6 2.8543968073602132e-11 -2.0335259625433373e-15 -7.992105298114336e-19 -8.113814499939614e-21 1.1945858030572839e-23 6.548426904297642e-24 6.894890996213029e-26 -1.6120721057777025e-28 -1.0641551942174e-7 -2.0788688902812043e-12 -4.353754535308117e-14 -1.6507650652955212e-16 2.184578763403117e-19 1.0627554453896874e-19 1.1194609915796145e-21 -2.6196147246331354e-24 1.617218067157068e-6 8.791898201766379e-9 2.8569267581692165e-11 -3.581107766105573e-14 -1.7321859052678656e-14 -1.8288575097723697e-16 4.2993106496124374e-19 0.00011424675558239186 2.144392160188091e-7 -2.292443903123898e-10 -1.50758279443126e-10 -1.6149523984995809e-12 3.9036987445331175e-15 -4.004235405414831e-5 3.9079451607338535e-8 -7.505365881508177e-8 -8.592694418077331e-10 2.3287544887523077e-12 2.000548948103737e-5 3.3821094721979514e-5 4.318028122990725e-7 -1.3605062582912477e-9 -5.679459849837163e-7 4.314265060964438e-5 -3.009328242305647e-7 -4.348241911638999e-5 3.656805555457267e-8 7.939868797036972e-6
29.06966 -7.702321538816047e-5 5.5857273283164705e-9 1.842072624607706e-14 -3.5305108627198266e-19 3.9045763516883703e-22 1.7584355881500697e-24 -2.5315394999510453e-27 -1.4659979751782287e-27 -1.5434235964773055e-29 3.6079667924494925e-32 5.125468990558197e-6 2.8089974526303395e-11 -1.9852414650131334e-15 -7.736262419456766e-19 -7.790543801672068e-21 1.1445543782464223e-23 6.161072051117873e-24 6.48707087341934e-26 -1.5167361633315384e-28 -1.0556762019434595e-7 -2.0459115829523e-12 -4.24957672130179e-14 -1.5978844621863303e-16 2.108751360120972e-19 1.0078530009904356e-19 1.0616525140635526e-21 -2.4844385907352714e-24 1.6043404363385067e-6 8.650649513637543e-9 2.7877624771930182e-11 -3.4831443191791694e-14 -1.6576926418233758e-14 -1.7503732261766205e-16 4.1154586635722637e-19 0.00011332170268035465 2.1095012702155493e-7 -2.2460053510615236e-10 -1.4610347660913186e-10 -1.5656463270319189e-12 3.786381366294469e-15 -3.970577326628649e-5 3.84888814938178e-8 -7.393361492656457e-8 -8.467349300585213e-10 2.2943332519105407e-12 2.000543320486301e-5 3.338812582078968e-5 4.2643167773835246e-7 -1.3423370628503201e-9 -5.619239329706635e-7 4.267988642596008e-5 -2.966529377741735e-7 -4.338920163895643e-5 3.685698868525958e-8 7.891774261502114e-6
