 R   <X|H|X>   <A|H|A> 
1.0 1.9693184112898412 1.9681156843595116
1.01 1.9314051836111665 1.9304050981495953
1.02 1.893801157809674 1.8929516123795083
1.03 1.8565276338339358 1.85577782583995
1.04 1.8196063751168812 1.8189081992893608
1.05 1.783059154184175 1.782367195534356
1.06 1.7469074542114797 1.7461789808516333
1.07 1.7111734487349546 1.7103684039123934
1.08 1.6758789813254245 1.6749599755932736
1.0899999999999999 1.6410458138757509 1.639978116821278
1.1 1.6066957178088983 1.6054472493942584
1.1099999999999999 1.5728504734804747 1.571391795023092
1.1199999999999999 1.5395318696553177 1.5378361744300688
1.13 1.5067617030567844 1.5048048065017092
1.14 1.4745617380161533 1.4723220675942796
1.15 1.4429538459351268 1.440412430329436
1.16 1.411959842203483 1.4091003002996172
1.17 1.381601546234068 1.3784100755546502
1.18 1.3519007855018395 1.348366150136555
1.19 1.322879395311758 1.31899291332673
1.2 1.2945592186392285 1.2903147489415476
1.2193548387096773 1.2417729582573165 1.2368255610471885
1.229032258064516 1.2163580547168795 1.211056044017632
1.238709677419355 1.1915752999047726 1.185917597082685
1.2483870967741935 1.1674096847157676 1.1613959729742145
1.2580645161290323 1.143846202166872 1.137476923012329
1.2677419354838708 1.1208698472668064 1.1141461968154327
1.2774193548387096 1.0984656169232996 1.0913895420406754
1.2870967741935484 1.0766185098853593 1.069192704151508
1.296774193548387 1.0553134048844173 1.047541306237288
1.3064516129032258 1.0345354780834675 1.0264212600957543
1.3161290322580645 1.0142697350907144 1.005818304627931
1.3258064516129031 0.9945011636139695 0.9857181563634756
1.335483870967742 0.9752147572678689 0.9661065326928443
1.3451612903225807 0.9563955151512256 0.9469691512054532
1.3548387096774193 0.9380284414924986 0.9282917290848849
1.364516129032258 0.9200985453587696 0.9100599825558991
1.3741935483870968 0.9025906398570223 0.8922594288783854
1.3838709677419354 0.885489993778813 0.87487602800436
1.3935483870967742 0.8687816856098467 0.857895545431453
1.403225806451613 0.8524507064220835 0.8413036537016864
1.4129032258064516 0.8364820588068105 0.8250860295396123
1.4225806451612903 0.8208607559415793 0.8092283525631307
1.432258064516129 0.8055718207777263 0.7937163040987643
1.4419354838709677 0.7906002853403999 0.7785355660922807
1.4516129032258065 0.775931010576237 0.7636716420000956
1.461290322580645 0.7615492226021945 0.7491103883621741
1.4709677419354839 0.7474400989339637 0.7348376036827531
1.4806451612903226 0.7335886640998438 0.7208389245676184
1.4903225806451612 0.7199799573794293 0.7070999916431306
1.5 0.7065990316937117 0.6936064479257559
1.509993076923077 0.6930072553368156 0.679917232480713
1.5199861538461539 0.6796404287628555 0.6664715471418987
1.5299792307692308 0.6664964016119649 0.6532664318973271
1.5399723076923078 0.6535732966920215 0.640299204185728
1.5499653846153847 0.6408692452566087 0.6275671942381003
1.5599584615384616 0.6283822092164028 0.6150675673173246
1.5699515384615386 0.6161101573767216 0.6027975003999685
1.5799446153846155 0.6040510637502147 0.5907541807830631
1.5899376923076922 0.5922029060137914 0.5789348048513706
1.5999307692307692 0.5805636641004303 0.5673365769966188
1.609923846153846 0.5691312767076115 0.5559566643212428
1.619916923076923 0.5579037722593367 0.5447923346281711
1.62991 0.5468791514221053 0.5338408335775763
1.639903076923077 0.5360553821814305 0.5230993798401572
1.6498961538461538 0.5254304312454573 0.5125651985552506
1.6598892307692308 0.5150022630936847 0.5022355208330069
1.6698823076923077 0.5047688391112894 0.4921075833674679
1.6798753846153847 0.49472811680117806 0.48217862815458823
1.6898684615384614 0.4848780398809772 0.47244589313801477
1.6998615384615383 0.47521657003484574 0.4629066444781067
1.7098546153846153 0.465741650189047 0.4535581404860229
1.7198476923076922 0.456451212910824 0.44439764064163867
1.7298407692307691 0.4473431844239859 0.43542241027692075
1.739833846153846 0.4384154537971237 0.4266296917792355
1.749826923076923 0.42966598293693686 0.4180168106404524
1.75982 0.4210926753517505 0.40958105053964344
1.7698130769230769 0.41269341612130983 0.40131969252397304
1.7798061538461538 0.40446608566269304 0.3932300290732176
1.7897992307692308 0.39640852159142215 0.3853093267282809
1.7997923076923077 0.38851865251979234 0.377554961725711
1.8097853846153846 0.3807943364601478 0.3699642585961366
1.8197784615384616 0.3732334108571144 0.36253454163119864
1.8297715384615383 0.36583370778708135 0.3552631514200771
1.8397646153846152 0.3585930474627581 0.3481474350906941
1.8497576923076922 0.35150925345680367 0.3411847795713925
1.859750769230769 0.3445801321326285 0.33437257272645093
1.869743846153846 0.33780347626323476 0.3277082148244802
1.879736923076923 0.3311770656231801 0.321189122628237
1.88973 0.3246987001105416 0.3148127579902741
1.89691 0.32012902800695736 0.3103137428821887
1.9005 0.31786343444165 0.3080837532205335
1.90409 0.3156098089982339 0.3058660339777508
1.9064833333333333 0.31411446391025843 0.30439472595154177
1.9088766666666668 0.31262479109323493 0.3029291679382986
1.91127 0.3111407070386682 0.30146929029091385
1.91845 0.3067215187028174 0.2971233309565751
1.9193475 0.3061726010120304 0.29658362900999746
1.920245 0.3056244562469286 0.2960447134988555
1.9211425 0.30507708407818024 0.2955065842245405
1.92204 0.30453048417620937 0.294969240988247
