{R} <C|V|C> <D|V|D>
0.0000000000e+00 1.0080000000e+01 1.0100000000e+01
1.0000000000e-01 8.7814645520e+00 8.8019281622e+00
2.0000000000e-01 7.6079898296e+00 7.6287454114e+00
3.0000000000e-01 6.6441324538e+00 6.6650186716e+00
4.0000000000e-01 5.6909764111e+00 5.7094416798e+00
5.0000000000e-01 4.9164114172e+00 4.9243369619e+00
8.0000000000e-01 2.9400000000e+00 2.9500000000e+00
1.0000000000e+00 2.0676827152e+00 2.0690987902e+00
1.2000000000e+00 1.3895049476e+00 1.3946359899e+00
1.5000000000e+00 7.9129731806e-01 8.0809691957e-01
1.8897261000e+00 4.1143988000e-01 4.2722698000e-01
1.8969071000e+00 4.0690778000e-01 4.2268883000e-01
1.9040881000e+00 4.0242631000e-01 4.1820189000e-01
1.9112690000e+00 3.9799515000e-01 4.1376590000e-01
1.9184500000e+00 3.9361397000e-01 4.0938055000e-01
1.9256309000e+00 3.8928243000e-01 4.0504554000e-01
1.9328119000e+00 3.8500019000e-01 4.0076053000e-01
1.9399928000e+00 3.8076691000e-01 3.9652516000e-01
1.9471738000e+00 3.7658224000e-01 3.9233906000e-01
1.9543548000e+00 3.7244584000e-01 3.8820184000e-01
1.9615357000e+00 3.6835737000e-01 3.8411312000e-01
1.9687167000e+00 3.6431647000e-01 3.8007247000e-01
1.9758976000e+00 3.6032282000e-01 3.7607949000e-01
1.9830786000e+00 3.5637607000e-01 3.7213374000e-01
1.9902596000e+00 3.5247588000e-01 3.6823478000e-01
1.9974405000e+00 3.4862193000e-01 3.6438218000e-01
2.0046215000e+00 3.4481391000e-01 3.6057548000e-01
2.0118024000e+00 3.4105149000e-01 3.5681423000e-01
2.0189834000e+00 3.3733438000e-01 3.5309796000e-01
2.0261644000e+00 3.3366229000e-01 3.4942622000e-01
2.0333453000e+00 3.3003494000e-01 3.4579854000e-01
2.0405263000e+00 3.2645207000e-01 3.4221444000e-01
2.0477072000e+00 3.2291344000e-01 3.3867345000e-01
