C1 C8 C9
0.0000000000e+00 1.0140000000e+01 1.0160000000e+01
1.0000000000e-01 8.8283242811e+00 8.8423391030e+00
2.0000000000e-01 7.6435389656e+00 7.6527862901e+00
3.0000000000e-01 6.6763633695e+00 6.6768023550e+00
4.0000000000e-01 5.7118736218e+00 5.7128760058e+00
5.0000000000e-01 4.9292688113e+00 4.9307055087e+00
8.0000000000e-01 2.9675923728e+00 2.9693186296e+00
1.0000000000e+00 2.0772596169e+00 2.0785322197e+00
1.2000000000e+00 1.4076205935e+00 1.4078685931e+00
1.5000000000e+00 8.0906574418e-01 8.1704390134e-01
1.8897261000e+00 4.5394752000e-01 4.6500900000e-01
1.8969071000e+00 4.4996563000e-01 4.6100756000e-01
1.9040881000e+00 4.4603672000e-01 4.5705608000e-01
1.9112690000e+00 4.4216002000e-01 4.5315374000e-01
1.9184500000e+00 4.3833481000e-01 4.4929977000e-01
1.9256309000e+00 4.3456034000e-01 4.4549339000e-01
1.9328119000e+00 4.3083592000e-01 4.4173387000e-01
1.9399928000e+00 4.2716085000e-01 4.3802050000e-01
1.9471738000e+00 4.2353444000e-01 4.3435257000e-01
1.9543548000e+00 4.1995602000e-01 4.3072941000e-01
1.9615357000e+00 4.1642491000e-01 4.2715036000e-01
1.9687167000e+00 4.1294047000e-01 4.2361476000e-01
1.9758976000e+00 4.0950205000e-01 4.2012199000e-01
1.9830786000e+00 4.0610900000e-01 4.1667143000e-01
1.9902596000e+00 4.0276070000e-01 4.1326246000e-01
1.9974405000e+00 3.9945651000e-01 4.0989450000e-01
2.0046215000e+00 3.9619582000e-01 4.0656696000e-01
2.0118024000e+00 3.9297801000e-01 4.0327926000e-01
2.0189834000e+00 3.8980248000e-01 4.0003083000e-01
2.0261644000e+00 3.8666861000e-01 3.9682112000e-01
2.0333453000e+00 3.8357582000e-01 3.9364958000e-01
2.0405263000e+00 3.8052349000e-01 3.9051566000e-01
2.0477072000e+00 3.7751106000e-01 3.8741884000e-01
2.0548882000e+00 3.7453792000e-01 3.8435856000e-01
2.0620692000e+00 3.7160350000e-01 3.8133433000e-01
2.0692501000e+00 3.6870723000e-01 3.7834561000e-01
2.0764311000e+00 3.6584851000e-01 3.7539190000e-01
2.0836120000e+00 3.6302680000e-01 3.7247268000e-01
2.0907930000e+00 3.6024151000e-01 3.6958746000e-01
2.0979740000e+00 3.5749209000e-01 3.6673574000e-01
2.1051549000e+00 3.5477798000e-01 3.6391703000e-01
2.1123359000e+00 3.5209862000e-01 3.6113083000e-01
2.1195168000e+00 3.4945346000e-01 3.5837666000e-01
2.1266978000e+00 3.4684195000e-01 3.5565404000e-01
2.1338787000e+00 3.4426353000e-01 3.5296250000e-01
2.1410597000e+00 3.4171768000e-01 3.5030156000e-01
2.1482407000e+00 3.3920385000e-01 3.4767074000e-01
2.1554216000e+00 3.3672150000e-01 3.4506960000e-01
2.1626026000e+00 3.3427010000e-01 3.4249765000e-01
2.1697835000e+00 3.3184911000e-01 3.3995444000e-01
2.1769645000e+00 3.2945802000e-01 3.3743952000e-01
2.1841455000e+00 3.2709629000e-01 3.3495243000e-01
2.1913264000e+00 3.2476341000e-01 3.3249273000e-01
2.1985074000e+00 3.2245885000e-01 3.3005995000e-01
2.2056883000e+00 3.2018211000e-01 3.2765366000e-01
2.2128693000e+00 3.1793266000e-01 3.2527342000e-01
2.2200503000e+00 3.1571000000e-01 3.2291879000e-01
2.2272312000e+00 3.1351363000e-01 3.2058934000e-01
2.2344122000e+00 3.1134303000e-01 3.1828462000e-01
2.2415931000e+00 3.0919772000e-01 3.1600421000e-01
2.2487741000e+00 3.0707718000e-01 3.1374768000e-01
2.2559551000e+00 3.0498094000e-01 3.1151462000e-01
2.2631360000e+00 3.0290848000e-01 3.0930459000e-01
2.2703170000e+00 3.0085934000e-01 3.0711717000e-01
2.2774979000e+00 2.9883312000e-01 3.0495205000e-01
2.2846789000e+00 2.9682957000e-01 3.0280902000e-01
2.2918599000e+00 2.9484845000e-01 3.0068789000e-01
2.2990408000e+00 2.9288951000e-01 2.9858848000e-01
2.3062218000e+00 2.9095253000e-01 2.9651058000e-01
2.3134027000e+00 2.8903727000e-01 2.9445402000e-01
2.3205837000e+00 2.8714348000e-01 2.9241861000e-01
2.3277647000e+00 2.8527094000e-01 2.9040415000e-01
2.3349456000e+00 2.8341941000e-01 2.8841048000e-01
2.3421266000e+00 2.8158867000e-01 2.8643739000e-01
2.3493075000e+00 2.7977848000e-01 2.8448471000e-01
2.3564885000e+00 2.7798861000e-01 2.8255226000e-01
2.3636694000e+00 2.7621884000e-01 2.8063985000e-01
2.3708504000e+00 2.7446893000e-01 2.7874730000e-01
2.3780314000e+00 2.7273867000e-01 2.7687443000e-01
2.3852123000e+00 2.7102782000e-01 2.7502107000e-01
2.3923933000e+00 2.6933617000e-01 2.7318704000e-01
2.3995742000e+00 2.6766348000e-01 2.7137216000e-01
2.4067552000e+00 2.6600954000e-01 2.6957625000e-01
2.4139362000e+00 2.6437411000e-01 2.6779916000e-01
2.4211171000e+00 2.6275699000e-01 2.6604069000e-01
2.4282981000e+00 2.6115794000e-01 2.6430069000e-01
2.4354790000e+00 2.5957675000e-01 2.6257900000e-01
2.4426600000e+00 2.5801317000e-01 2.6087544000e-01
2.4498410000e+00 2.5646700000e-01 2.5918986000e-01
2.4570219000e+00 2.5493800000e-01 2.5752211000e-01
2.4642029000e+00 2.5342594000e-01 2.5587203000e-01
2.4713838000e+00 2.5193057000e-01 2.5423948000e-01
2.4785648000e+00 2.5045166000e-01 2.5262433000e-01
2.4857458000e+00 2.4898895000e-01 2.5102646000e-01
2.4929267000e+00 2.4754218000e-01 2.4944576000e-01
2.5001077000e+00 2.4611106000e-01 2.4788214000e-01
2.5072886000e+00 2.4469528000e-01 2.4633553000e-01
2.5144696000e+00 2.4329450000e-01 2.4480593000e-01
2.5216506000e+00 2.4190833000e-01 2.4329334000e-01
2.5288315000e+00 2.4053630000e-01 2.4179787000e-01
2.5360125000e+00 2.3917784000e-01 2.4031974000e-01
2.5431934000e+00 2.3783221000e-01 2.3885930000e-01
2.5503744000e+00 2.3649846000e-01 2.3741717000e-01
2.5575553000e+00 2.3517527000e-01 2.3599431000e-01
2.5647363000e+00 2.3386086000e-01 2.3459213000e-01
2.5719173000e+00 2.3255285000e-01 2.3321267000e-01
2.5790982000e+00 2.3124842000e-01 2.3185839000e-01
2.5862792000e+00 2.2994484000e-01 2.3053167000e-01
2.5934601000e+00 2.2864062000e-01 2.2923366000e-01
2.6006411000e+00 2.2733624000e-01 2.2796353000e-01
2.6078221000e+00 2.2603383000e-01 2.2671881000e-01
2.6150030000e+00 2.2473606000e-01 2.2549647000e-01
2.6221840000e+00 2.2344531000e-01 2.2429382000e-01
2.6293649000e+00 2.2216331000e-01 2.2310876000e-01
2.6365459000e+00 2.2089127000e-01 2.2193976000e-01
2.6437269000e+00 2.1962996000e-01 2.2078571000e-01
2.6509078000e+00 2.1837988000e-01 2.1964580000e-01
2.6580888000e+00 2.1714135000e-01 2.1851943000e-01
2.6652697000e+00 2.1591458000e-01 2.1740616000e-01
2.6724507000e+00 2.1469970000e-01 2.1630566000e-01
2.6796317000e+00 2.1349676000e-01 2.1521764000e-01
2.6868126000e+00 2.1230580000e-01 2.1414186000e-01
2.6939936000e+00 2.1112680000e-01 2.1307812000e-01
2.7011745000e+00 2.0995971000e-01 2.1202623000e-01
2.7083555000e+00 2.0880451000e-01 2.1098602000e-01
2.7155365000e+00 2.0766112000e-01 2.0995735000e-01
2.7227174000e+00 2.0652948000e-01 2.0894007000e-01
2.7298984000e+00 2.0540951000e-01 2.0793405000e-01
2.7370793000e+00 2.0430113000e-01 2.0693915000e-01
2.7442603000e+00 2.0320425000e-01 2.0595526000e-01
2.7514412000e+00 2.0211880000e-01 2.0498226000e-01
2.7586222000e+00 2.0104467000e-01 2.0402003000e-01
2.7658032000e+00 1.9998179000e-01 2.0306846000e-01
2.7729841000e+00 1.9893005000e-01 2.0212743000e-01
2.7801651000e+00 1.9788936000e-01 2.0119685000e-01
2.7873460000e+00 1.9685963000e-01 2.0027660000e-01
2.7945270000e+00 1.9584077000e-01 1.9936659000e-01
2.8017080000e+00 1.9483267000e-01 1.9846670000e-01
2.8088889000e+00 1.9383525000e-01 1.9757684000e-01
2.8160699000e+00 1.9284841000e-01 1.9669692000e-01
2.8232508000e+00 1.9187206000e-01 1.9582682000e-01
2.8304318000e+00 1.9090609000e-01 1.9496645000e-01
2.8376128000e+00 1.8995042000e-01 1.9411571000e-01
2.8447937000e+00 1.8900494000e-01 1.9327452000e-01
2.8519747000e+00 1.8806958000e-01 1.9244277000e-01
2.8591556000e+00 1.8714422000e-01 1.9162038000e-01
2.8663366000e+00 1.8622878000e-01 1.9080724000e-01
2.8735176000e+00 1.8532316000e-01 1.9000327000e-01
2.8806985000e+00 1.8442727000e-01 1.8920837000e-01
2.8878795000e+00 1.8354101000e-01 1.8842245000e-01
2.8950604000e+00 1.8266430000e-01 1.8764543000e-01
