# Data
{R} <G|V|G> <H|V|H>
0 10.16 10.18
0.1 8.84233910296793 8.85834847380205
0.2 7.65278629006861 7.66369213062872
0.3 6.67680235501928 6.67939689670857
0.4 5.71287600575571 5.7163396225848
0.5 4.9307055087154 4.93721168662126
0.8 2.96931862959251 2.98431393207001
1 2.07853221969731 2.08678921521071
1.2 1.40786859308619 1.41946543723795
1.5 0.817043901339314 0.853436034074442
1.8897261 0.465009 0.51136063
1.8969071 0.46100756 0.50748322
1.9040881 0.45705608 0.503653
1.911269 0.45315374 0.4998694
1.91845 0.44929977 0.49613181
1.9256309 0.44549339 0.49243968
1.9328119 0.44173387 0.48879241
1.9399928 0.4380205 0.48518943
1.9471738 0.43435257 0.48163019
1.9543548 0.43072941 0.4781141
1.9615357 0.42715036 0.47464061
1.9687167 0.42361476 0.47120916
1.9758976 0.42012199 0.46781919
1.9830786 0.41667143 0.46447015
1.9902596 0.41326246 0.46116149
1.9974405 0.4098945 0.45789267
2.0046215 0.40656696 0.45466314
2.0118024 0.40327926 0.45147236
2.0189834 0.40003083 0.44831981
2.0261644 0.39682112 0.44520494
2.0333453 0.39364958 0.44212723
2.0405263 0.39051566 0.43908616
2.0477072 0.38741884 0.43608119
2.0548882 0.38435856 0.43311182
2.0620692 0.38133433 0.43017753
2.0692501 0.37834561 0.42727779
2.0764311 0.3753919 0.42441211
2.083612 0.37247268 0.42157996
2.090793 0.36958746 0.41878086
2.097974 0.36673574 0.4160143
2.1051549 0.36391703 0.41327977
2.1123359 0.36113083 0.41057678
2.1195168 0.35837666 0.40790484
2.1266978 0.35565404 0.40526345
2.1338787 0.3529625 0.40265212
2.1410597 0.35030156 0.40007037
2.1482407 0.34767074 0.39751772
2.1554216 0.3450696 0.39499367
2.1626026 0.34249765 0.39249776
2.1697835 0.33995444 0.3900295
2.1769645 0.33743952 0.38758841
2.1841455 0.33495243 0.38517403
2.1913264 0.33249273 0.38278587
2.1985074 0.33005995 0.38042348
2.2056883 0.32765366 0.37808637
2.2128693 0.32527342 0.37577409
2.2200503 0.32291879 0.37348617
2.2272312 0.32058934 0.37122215
2.2344122 0.31828462 0.36898156
2.2415931 0.31600421 0.36676395
2.2487741 0.31374768 0.36456886
2.2559551 0.31151462 0.36239583
2.263136 0.30930459 0.3602444
2.270317 0.30711717 0.35811413
2.2774979 0.30495205 0.35600466
2.2846789 0.30280902 0.35391579
2.2918599 0.30068789 0.35184731
2.2990408 0.29858848 0.34979903
2.3062218 0.29651058 0.34777075
2.3134027 0.29445402 0.34576228
2.3205837 0.29241861 0.34377342
2.3277647 0.29040415 0.34180398
2.3349456 0.28841048 0.33985376
2.3421266 0.28643739 0.33792257
2.3493075 0.28448471 0.33601023
2.3564885 0.28255226 0.33411654
2.3636694 0.28063985 0.33224132
2.3708504 0.2787473 0.33038438
2.3780314 0.27687443 0.32854554
2.3852123 0.27502107 0.32672461
2.3923933 0.27318704 0.32492142
2.3995742 0.27137216 0.32313578
2.4067552 0.26957625 0.32136752
2.4139362 0.26779916 0.31961646
2.4211171 0.26604069 0.31788243
2.4282981 0.26430069 0.31616526
2.435479 0.262579 0.31446478
2.44266 0.26087544 0.31278082
2.449841 0.25918986 0.31111321
2.4570219 0.25752211 0.30946179
2.4642029 0.25587203 0.30782641
2.4713838 0.25423948 0.30620689
2.4785648 0.25262433 0.30460309
2.4857458 0.25102646 0.30301484
2.4929267 0.24944576 0.30144199
2.5001077 0.24788214 0.29988439
2.5072886 0.24633553 0.2983419
2.5144696 0.24480593 0.29681435
2.5216506 0.24329334 0.2953016
2.5288315 0.24179787 0.29380351
2.5360125 0.24031974 0.29231994
2.5431934 0.2388593 0.29085073
2.5503744 0.23741717 0.28939576
2.5575553 0.23599431 0.28795487
2.5647363 0.23459213 0.28652794
2.5719173 0.23321267 0.28511482
2.5790982 0.23185839 0.28371538
2.5862792 0.23053167 0.28232948
2.5934601 0.22923366 0.28095698
2.6006411 0.22796353 0.27959777
2.6078221 0.22671881 0.2782517
2.615003 0.22549647 0.27691864
2.622184 0.22429382 0.27559846
2.6293649 0.22310876 0.27429103
2.6365459 0.22193976 0.27299622
2.6437269 0.22078571 0.27171391
2.6509078 0.2196458 0.27044397
2.6580888 0.21851943 0.26918629
2.6652697 0.21740616 0.26794078
2.6724507 0.21630566 0.26670735
2.6796317 0.21521764 0.26548591
2.6868126 0.21414186 0.26427635
2.6939936 0.21307812 0.2630786
2.7011745 0.21202623 0.26189255
2.7083555 0.21098602 0.26071812
2.7155365 0.20995735 0.25955521
2.7227174 0.20894007 0.25840373
2.7298984 0.20793405 0.25726359
2.7370793 0.20693915 0.2561347
2.7442603 0.20595526 0.25501697
2.7514412 0.20498226 0.25391031
2.7586222 0.20402003 0.25281462
2.7658032 0.20306846 0.25172983
2.7729841 0.20212743 0.25065582
2.7801651 0.20119685 0.24959253
2.787346 0.2002766 0.24853985
2.794527 0.19936659 0.24749771
2.801708 0.1984667 0.246466
2.8088889 0.19757684 0.24544464
2.8160699 0.19669692 0.24443354
2.8232508 0.19582682 0.24343262
2.8304318 0.19496645 0.24244179
2.8376128 0.19411571 0.24146095
2.8447937 0.19327452 0.24049003
2.8519747 0.19244277 0.23952893
2.8591556 0.19162038 0.23857757
2.8663366 0.19080724 0.23763586
2.8735176 0.19000327 0.23670372
2.8806985 0.18920837 0.23578105
2.8878795 0.18842245 0.23486778
2.8950604 0.18764543 0.23396382
2.9022414 0.18687722 0.23306908
2.9094224 0.18611771 0.23218349
2.9166033 0.18536684 0.23130695
2.9237843 0.1846245 0.23043938
2.9309652 0.18389062 0.2295807
2.9381462 0.1831651 0.22873082
2.9453272 0.18244786 0.22788967
2.9525081 0.18173882 0.22705716
2.9596891 0.18103789 0.22623321
2.96687 0.18034498 0.22541773
2.974051 0.17966002 0.22461065
2.9812319 0.17898292 0.22381189
