# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
0.00000000e+00  7.93925730e+01  7.95874100e+01  7.96031500e+01  7.96187880e+01
2.50000000e-01  2.20566490e+01  2.22057620e+01  2.22467850e+01  2.22624220e+01
5.00000000e-01  5.27908900e+00  5.41648900e+00  5.46768900e+00  5.48332600e+00
7.50000000e-01  1.56694000e+00  1.70640700e+00  1.75386700e+00  1.76950500e+00
1.00000000e+00  4.06089000e-01  5.45089000e-01  5.92589000e-01  6.08226000e-01
1.25000000e+00  -5.99550000e-02 7.55130000e-02  1.24100000e-01  1.39791000e-01
1.50000000e+00  -3.26326000e-01 -1.92784000e-01 -1.40117000e-01 -1.23821000e-01
1.75000000e+00  -4.84812000e-01 -3.50905000e-01 -2.92905000e-01 -2.75888000e-01
2.00000000e+00  -5.84137000e-01 -4.47213000e-01 -3.85796000e-01 -3.68547000e-01
2.25000000e+00  -6.56659000e-01 -5.16094000e-01 -4.53744000e-01 -4.36942000e-01
2.50000000e+00  -7.03479000e-01 -5.62336000e-01 -4.98723000e-01 -4.82677000e-01
2.75000000e+00  -7.32274000e-01 -5.93176000e-01 -5.28010000e-01 -5.13000000e-01
3.00000000e+00  -7.48804000e-01 -6.13719000e-01 -5.46795000e-01 -5.33015000e-01
3.25000000e+00  -7.57122000e-01 -6.27422000e-01 -5.58608000e-01 -5.46182000e-01
3.50000000e+00  -7.60023000e-01 -6.36588000e-01 -5.65807000e-01 -5.54825000e-01
3.75000000e+00  -7.59413000e-01 -6.42749000e-01 -5.69980000e-01 -5.60506000e-01
4.00000000e+00  -7.56590000e-01 -6.46947000e-01 -5.72216000e-01 -5.64297000e-01
4.25000000e+00  -7.52409000e-01 -6.49869000e-01 -5.73245000e-01 -5.66909000e-01
4.50000000e+00  -7.47431000e-01 -6.51948000e-01 -5.73544000e-01 -5.68800000e-01
4.75000000e+00  -7.42039000e-01 -6.53464000e-01 -5.73448000e-01 -5.70253000e-01
5.00000000e+00  -7.36501000e-01 -6.54590000e-01 -5.73242000e-01 -5.71387000e-01
5.25000000e+00  -7.31011000e-01 -6.55430000e-01 -5.73620000e-01 -5.71775000e-01
5.50000000e+00  -7.25692000e-01 -6.56026000e-01 -5.74555000e-01 -5.71581000e-01
5.75000000e+00  -7.20646000e-01 -6.56407000e-01 -5.75798000e-01 -5.71156000e-01
6.00000000e+00  -7.15937000e-01 -6.56571000e-01 -5.77207000e-01 -5.70677000e-01
6.25000000e+00  -7.11619000e-01 -6.56508000e-01 -5.78688000e-01 -5.70253000e-01
6.50000000e+00  -7.07723000e-01 -6.56201000e-01 -5.80221000e-01 -5.69889000e-01
6.75000000e+00  -7.04272000e-01 -6.55634000e-01 -5.81797000e-01 -5.69571000e-01
7.00000000e+00  -7.01271000e-01 -6.54797000e-01 -5.83390000e-01 -5.69297000e-01
7.25000000e+00  -6.98716000e-01 -6.53690000e-01 -5.84968000e-01 -5.69068000e-01
7.50000000e+00  -6.96580000e-01 -6.52331000e-01 -5.86512000e-01 -5.68878000e-01
7.75000000e+00  -6.94829000e-01 -6.50745000e-01 -5.88004000e-01 -5.68722000e-01
8.00000000e+00  -6.93415000e-01 -6.48972000e-01 -5.89431000e-01 -5.68596000e-01
8.25000000e+00  -6.92289000e-01 -6.47054000e-01 -5.90783000e-01 -5.68496000e-01
8.50000000e+00  -6.91402000e-01 -6.45033000e-01 -5.92053000e-01 -5.68420000e-01
8.75000000e+00  -6.90707000e-01 -6.42948000e-01 -5.93237000e-01 -5.68364000e-01
9.00000000e+00  -6.90165000e-01 -6.40833000e-01 -5.94333000e-01 -5.68327000e-01
9.25000000e+00  -6.89742000e-01 -6.38718000e-01 -5.95340000e-01 -5.68305000e-01
9.50000000e+00  -6.89413000e-01 -6.36620000e-01 -5.96260000e-01 -5.68297000e-01
9.75000000e+00  -6.89161000e-01 -6.34554000e-01 -5.97094000e-01 -5.68300000e-01
1.00000000e+01  -6.88965000e-01 -6.32536000e-01 -5.97844000e-01 -5.68315000e-01
1.02500000e+01  -6.88812000e-01 -6.30580000e-01 -5.98509000e-01 -5.68339000e-01
1.05000000e+01  -6.88691000e-01 -6.28693000e-01 -5.99090000e-01 -5.68371000e-01
