 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C>   <D|d2/dR2|D>   <E|d2/dR2|E>   <F|d2/dR2|F>   <G|d2/dR2|G>   <H|d2/dR2|H>   <I|d2/dR2|I>   <J|d2/dR2|J> 
0.0 -4.330184638074396e-41 -3.080296465049301e-41 -6.752015822187823e-7 -4.0893203018398535e-7 -4.1828445464764115e-7 -1.0286616611042684e-38 -3.5257136792454137e-41 -1.8849103638249174e-7 -1.8849103638249174e-7 -2.200195218258846e-40 -1.163832101730918e-40
0.1 -2.5557045305959585e-39 -1.793253164455133e-39 -8.708594194890465e-7 -9.539340398260714e-7 -8.307462033702485e-8 -6.9079633657325385e-37 -1.8357031285299617e-39 -1.197844942876933e-7 -1.197844942876933e-7 -5.419430355250909e-38 -4.75762870023093e-38
0.2 -5.5199408635171e-38 -3.8039986616458684e-38 -9.789355573720592e-7 -1.068805295815779e-6 -8.986973844371976e-8 -1.2225550164653377e-35 -2.604056434278431e-38 -1.2786144630330345e-7 -1.2786144630330345e-7 -1.7719831814582125e-36 -1.6478242086530965e-36
0.3 -7.888120602707062e-37 -5.380162897963068e-37 -1.1043096176167791e-6 -1.2016836606137932e-6 -9.737404299701416e-8 -1.7373668140943042e-34 -3.6885902071551595e-37 -1.3663079371017685e-7 -1.3663079371017685e-7 -2.3466391945255756e-35 -2.1722790214653633e-35
0.4 -1.0313344529632767e-35 -6.945517725242006e-36 -1.2504127980257004e-6 -1.3560910338607333e-6 -1.056782358350329e-7 -2.3317071276804757e-33 -4.999084896380303e-36 -1.461649997528864e-7 -1.461649997528864e-7 -3.7451603458301946e-34 -3.5118177364835406e-34
0.5 -2.489257605779813e-35 -1.8014192639018612e-35 -1.4214972402476195e-6 -1.5363840859075359e-6 -1.1488684565991636e-7 -3.8182117102351536e-33 -9.886845396293192e-36 -1.565455316491862e-7 -1.565455316491862e-7 -8.393530742297045e-34 -7.783275829340293e-34
0.8 -3.1293422860415527e-34 -2.225178204505454e-34 -2.144918820731859e-6 -2.2941660434538374e-6 -1.4924722272197827e-7 -5.499612694991063e-32 -3.167869113389753e-34 -1.9374369752854885e-7 -1.9374369752854885e-7 -1.0433385168103287e-32 -9.571530342495648e-33
1.0 -1.4343969815908963e-33 -1.4352815410898901e-33 -2.8948154542416176e-6 -3.0742951204332095e-6 -1.7947966619159191e-7 -3.7787958619047616e-32 -8.456215424963708e-33 -2.248083534450144e-7 -2.248083534450144e-7 -9.294619660250961e-11 -9.294619660250961e-11
1.2 -3.2530630664655984e-33 -2.7666905238693688e-33 -4.0030084783413035e-6 -4.220778313499054e-6 -2.1776983515775029e-7 -4.2862172765445555e-30 -2.950434396835102e-32 -2.623562443415058e-7 -2.623562443415058e-7 -1.3613322691293023e-9 -1.3613322691293023e-9
1.5 -8.778629427760069e-32 -1.957015657395861e-31 -6.879317859781042e-6 -7.17587769376746e-6 -2.965598339864174e-7 -1.275243438578828e-28 -4.114267843697233e-31 -3.3468126644720647e-7 -3.3468126644720647e-7 -8.258463066492007e-8 -8.258463066492007e-8
1.88973 -0.1679208342617992 -0.30252108207541273 -21.790359899015186 -85.16417717126349 -7.726069836698349 -98.7586338819942 -0.7551059325893773 -0.9862267550082411 -0.909290098523669 -52.776814347768806 -51.487599781996586
1.89691 -0.667619632849339 -0.7173012679108981 -1.008856903810846 -1.345582789813719 -0.5539589791672588 -1.3839285244233515 -1.3682555952380488 -0.28464277443898306 -1.1651973498208466 -28.60659546792165 -28.576447656414928
1.90409 -0.6592396560849806 -0.7103163302523036 -0.9946277175651242 -1.2720033169406515 -0.5492407562176249 -1.2996565613525004 -1.317747336686952 -0.26760026271541926 -1.0998739592279099 -23.252330383701956 -23.24635213718113
1.91127 -0.651452832820672 -0.7035751256797389 -0.9845127084500668 -1.213741719236741 -0.546410950051932 -1.2240365657020464 -1.272262332709556 -0.2517727356815477 -1.0403664749238752 -19.244424914718486 -19.25845260636091
1.91845 -0.6442041170947106 -0.6970463973846762 -0.9786920611784451 -1.1691618281901293 -0.5452616350995605 -1.1559412016685617 -1.2311625477348462 -0.2370556785144121 -0.9860716961606549 -16.23562591558567 -16.26626336805248
1.92563 -0.6374432501291384 -0.6907042841384016 -0.9773796272225665 -1.1369922509642718 -0.5455988114092524 -1.094464877514975 -1.1938964729504995 -0.2233567132998595 -0.936459433448036 -13.964523702928028 -14.00902023981871
1.93281 -0.6311242513044819 -0.6845267819914757 -0.9808274006103235 -1.1162534830095612 -0.5472416729540348 -1.0388626918831805 -1.1599878683942295 -0.2105936169709797 -0.8910625364712474 -12.23949706955648 -12.29563238696705
1.93999 -0.6252049325557736 -0.6784948242767944 -0.9893308132580722 -1.1062063027269924 -0.5500219172785532 -0.9885067662895642 -1.1290253791445801 -0.1986927840229777 -0.849468302359111 -10.921579766401596 -10.987563323446919
1.94717 -0.6196465797448328 -0.6725914828534884 -1.003235589519229 -1.1063169230951588 -0.553783191723077 -0.9428565582192956 -1.1006537703995967 -0.18758795369045 -0.8113114263041787 -9.91015702739122 -9.984543719004552
1.95435 -0.6144136107799225 -0.6668016574599094 -1.0229454609234585 -1.1162342557379783 -0.5583805364933897 -0.9014377726172268 -1.0745660440235443 -0.17721925854232803 -0.7762676876718212 -9.132050590155368 -9.213671656240166
1.96154 -0.6094731948472345 -0.6611115619970562 -1.0489313927354968 -1.1357766537897527 -0.5636796436184025 -0.8638281282311985 -1.0504963197245594 -0.16753224114812584 -0.7440486499009268 -8.533594146905848 -8.621500890819156
1.96872 -0.6047950698328942 -0.6555086027364214 -1.0817416752067655 -1.1649252944895836 -0.5695564034561472 -0.8296477697317761 -1.0282141816507 -0.1584773412563914 -0.7143971794975835 -8.074965436044874 -8.16838395766187
1.9759 -0.6003512198989811 -0.6499811588447321 -1.1220148929923917 -1.2038241351332506 -0.5758960570793833 -0.7985525526836061 -1.007519581336048 -0.15000918108995046 -0.6870834529447782 -7.726182587818748 -7.824477009055247
1.98308 -0.596115755987694 -0.6445184327327439 -1.170493273218157 -1.252783425597344 -0.5825926437846279 -0.770229164538013 -0.9882384002786095 -0.14208619151614496 -0.6619017963151523 -7.464275886538181 -7.566918618149992
1.99026 -0.5920646517695926 -0.6391103563933487 -1.2280388956186596 -1.3122878387906425 -0.5895483339739501 -0.7443920194638504 -0.9702189729195977 -0.1346702105731808 -0.6386676279011366 -7.271278225272495 -7.377825884134659
1.99744 -0.5881755979808544 -0.6337475139535449 -1.2956517900013274 -1.383008271452046 -0.5966727087156001 -0.7207807332831199 -0.9533287450233725 -0.12772619700795332 -0.617215085395909 -7.13279312139204 -7.242866790792474
2.00462 -0.584427891805894 -0.6284210924400682 -1.3744904571461876 -1.4658166219787092 -0.6038821919598166 -0.699158074943924 -0.9374517727983195 -0.12122190249412262 -0.5973948614353217 -7.036979873367831 -7.150248937590895
2.0118 -0.5808022102820325 -0.6231227700079117 -1.4658949016365381 -1.5618042669641914 -0.6110994163370407 -0.6793083413533144 -0.9224863574638942 -0.11512772547647229 -0.5790723142100518 -6.973813062285114 -7.089981949608658
2.01898 -0.5772806433643829 -0.6178447874835237 -1.5714123798872601 -1.6723035818236727 -0.6182525939099235 -0.6610359622627169 -0.9083432836148044 -0.10941651694017085 -0.5621259783293036 -6.934568889324008 -7.05336623769061
2.02616 -0.5738464031676124 -0.6125797642120633 -1.692825528304964 -1.7989124751386936 -0.6252749939662368 -0.6441641771103508 -0.8949439852771982 -0.10406344958012598 -0.5464459817528807 -6.911461728170239 -7.032631477417697
2.03335 -0.5704839059221095 -0.6073208347850001 -1.8321825162483159 -1.9435210454165592 -0.6321043604747186 -0.6285337157861689 -0.8822193118735528 -0.09904592454136532 -0.5319329604554729 -6.897404664824956 -7.02069893223529
2.04053 -0.5671785954439753 -0.6020615218770218 -1.9918283272422184 -2.1083399113930903 -0.6386824874288969 -0.6140016651759379 -0.8701083773669637 -0.09434342750679559 -0.5184969407516098 -6.885870816956116 -7.011044156748788
2.04771 -0.5639168571311973 -0.5967957127198894 -2.174437931509464 -2.2959305345411707 -0.6449546301859772 -0.6004402274169279 -0.8585574281687056 -0.08993759719244904 -0.506056408046312 -6.87082281607544 -6.997627968207853
2.05489 -0.5606860582831835 -0.5915177563232776 -2.383045311556663 -2.509231675998071 -0.6508690665641655 -0.5877356359533876 -0.8475191616591973 -0.08581207006452313 -0.49453753222163116 -6.846705217967018 -6.974889921304412
2.06207 -0.5574743618290412 -0.5862223096976698 -2.6210689980989064 -2.7515824583063853 -0.6563767335708846 -0.5757870027129498 -0.8369518214356153 -0.08195246715605896 -0.4838733182478528 -6.80849098330766 -6.937795955157487
2.06925 -0.5542707456365398 -0.5809044065574762 -2.8923284181623514 -3.0267366530915734 -0.6614307887362036 -0.5645053148982346 -0.8268186976455031 -0.07834647005209586 -0.4740030947066668 -6.751746434615918 -6.881904432183843
2.07643 -0.551064974438254 -0.5755594808292127 -3.2010425669954032 -3.3388590096229636 -0.6659863258382791 -0.5538122896226667 -0.8170876551866652 -0.07498374114072064 -0.4648719785762839 -6.672728786693071 -6.803464542191165
2.08361 -0.5478475312401476 -0.5701832794942655 -3.551806235800179 -3.692500007916658 -0.6700000461493725 -0.5436396066851148 -0.8077305368804971 -0.07185598000850787 -0.4564302944022622 -6.568478158035853 -6.699509200033797
2.09079 -0.5446095265617992 -0.5647718770794621 -3.9495258955052264 -4.092529593818167 -0.6734300982721614 -0.5339277028402644 -0.7987227625954756 -0.06895695355122129 -0.4486330671207028 -6.436895860167541 -6.567934138782
2.09797 -0.5413428051068742 -0.5593217518824558 -4.39930568783602 -4.544021879772163 -0.6762360146179967 -0.5246250649384084 -0.790043283731383 -0.06628252265093522 -0.4414399498732638 -6.276812680623985 -6.407566796696085
2.10515 -0.5380397997666951 -0.5538296817288044 -4.906257926142694 -5.0520643197287125 -0.6783787740877273 -0.5156874392936287 -0.781673881848161 -0.06383067504966604 -0.4348145029462655 -6.088014042179005 -6.218192067104966
2.11234 -0.5346935506884696 -0.5482927759586272 -5.475220804526397 -5.6214741323637005 -0.6798209413884844 -0.50707693189024 -0.77359934126786 -0.061601605683603455 -0.4287242599020349 -5.871225988669718 -6.000538676027633
2.11952 -0.5312976810176746 -0.5427085065045637 -6.110355079851008 -6.256394357424703 -0.6805273046457065 -0.49876131795597906 -0.7658069046629267 -0.059597719385954644 -0.4231401664942605 -5.628063300479142 -5.756227575447115
2.1267 -0.5278463601097226 -0.5370746452217662 -6.814599841293563 -6.959749080824921 -0.680465571850764 -0.49071343270149925 -0.758286264116405 -0.05782367880008165 -0.41803649699007583 -5.360934606977243 -5.487677236332266
2.13388 -0.5243343098739517 -0.5313893037783539 -7.58896838317661 -7.732539272316707 -0.6796074793177818 -0.48291058595969116 -0.7510295539656425 -0.05628649049154822 -0.41339082271023475 -5.0729184840275945 -5.197979735643539
2.14106 -0.5207568018845051 -0.5256509483523801 -8.431695397714455 -8.572990579901322 -0.6779303967270729 -0.4753338329351346 -0.7440309068557954 -0.05499547955707916 -0.40918351642810324 -4.767609765336463 -4.890747025633902
2.14824 -0.5171095678122245 -0.5198583238518504 -9.337260784046617 -9.475578251142897 -0.6754193041816884 -0.4679676793513205 -0.7372867218195819 -0.05396233871999209 -0.4053979521607392 -4.448960587521572 -4.569951739726898
2.15542 -0.5133888701023358 -0.5140105108592391 -10.29536817271372 -10.430007467311475 -0.6720693239313227 -0.46079945684399803 -0.7307952702467662 -0.05320105197356654 -0.4020201143224951 -4.121110644540257 -4.239757224805065
2.1626 -0.5095914320257056 -0.5081069403122382 -11.290018375739809 -11.420289497355327 -0.6678885110552492 -0.4538189830048527 -0.7245569609243193 -0.05272799505919806 -0.3990387714568207 -3.788237755758898 -3.9043677353065034
2.16978 -0.5057144575900271 -0.5021473154318199 -12.298873248912976 -12.424108803260504 -0.6629010614021518 -0.44701814958757174 -0.7185741290239289 -0.05256175530281294 -0.3964452780299096 -3.454418130620068 -3.5678883311552436
2.17696 -0.5017555965532149 -0.49613167689788795 -13.293153052701877 -13.41272445522766 -0.6571506584149156 -0.44039069446275875 -0.7128510581275348 -0.052723060515193286 -0.39423353248281645 -3.123512444567968 -3.234210536256714
2.18415 -0.4977129484021615 -0.4900603731671232 -14.238326860313492 -14.351664592652906 -0.6507031816259368 -0.4339317344940185 -0.7073940549846693 -0.05323464018625916 -0.39240006273980704 -2.7990821955245373 -2.9069282168229273
2.19133 -0.49358502652465996 -0.4839340269497518 -15.095794337992949 -15.202412486024071 -0.643649255296818 -0.42763766301288925 -0.7022115140132804 -0.05412105255256074 -0.3909440159807408 -2.484332189571991 -2.5892796106193288
2.19851 -0.4893707902653348 -0.47775359213748875 -15.825605960982548 -15.925129974425898 -0.636105108474442 -0.42150584477166 -0.6973138677956205 -0.055408308209635035 -0.3898671310630413 -2.1820808544552843 -2.2841172261937444
2.20569 -0.4850695692381622 -0.47152030621792346 -16.39004368156174 -16.48224036835558 -0.628212393892125 -0.41553446805542543 -0.6927139337832423 -0.05712362914061705 -0.3891740041467795 -1.894751014935609 -1.9938980094781282
2.21287 -0.48068111565008814 -0.46523569762655365 -16.757601147307923 -16.84240862660881 -0.6201356022934358 -0.40972236237407145 -0.688426694270374 -0.05929501913853511 -0.38887192740047116 -1.6243820013397223 -1.7206950103191223
2.22005 -0.4762055397136391 -0.4589015610972387 -16.90672310077747 -16.98427887970446 -0.6120583117932615 -0.40406885608212795 -0.6844697807110535 -0.06195066820844211 -0.38897132248990474 -1.3726607328331664 -1.466227932107908
2.22723 -0.4716433217033532 -0.4525199616715308 -16.82855168006127 -16.89921611128664 -0.604177388191646 -0.3985736913182097 -0.6808636254627356 -0.06511843945314218 -0.3894858386849295 -1.1409548415091402 -1.2318956959001652
2.23441 -0.4669953273745503 -0.44609324977349224 -16.528094107662596 -16.592467413986316 -0.5966964361885203 -0.39323695605932363 -0.6776315275540966 -0.06882513021801216 -0.3904324902831088 -0.9303583066867516 -1.0188214375942442
2.24159 -0.4622626899713465 -0.4396240036371378 -16.02355125874877 -16.082482658428166 -0.5898188927550031 -0.38805891175372004 -0.6748001125276517 -0.0730956625638211 -0.39183200995502027 -0.7417372326315975 -0.8278977047185831
2.24877 -0.45744696495045384 -0.4331150998778983 -15.343958342398505 -15.398547014960284 -0.5837420617480052 -0.3830400943933192 -0.6723996678282942 -0.0779521535924449 -0.3937092644964502 -0.575775127320027 -0.6598311563079121
2.25596 -0.4525499290049364 -0.42656959397405025 -14.525650433694214 -14.577238685027655 -0.578651980278774 -0.3781811901161833 -0.6704646494473289 -0.08341300218940106 -0.3960936736560908 -0.433014505159037 -0.5151833498363009
2.26314 -0.44757370090932874 -0.41999080114536697 -13.608270866759531 -13.65843107959155 -0.5747205326974998 -0.37348299699013704 -0.6690340137741627 -0.08949172802288088 -0.39901960489886523 -0.31389398369190835 -0.3944073057679099
2.27032 -0.44252972608946245 -0.41339229042947206 -12.631439162593802 -12.681967192345978 -0.572116039521054 -0.3689363343623354 -0.6681493822656953 -0.09618681483317593 -0.4025209233890483 -0.21914951014665818 -0.29825363959964446
2.2775 -0.4375167257914006 -0.4068830597793497 -11.63489293629038 -11.687859205836938 -0.5710837858500603 -0.3644220403055233 -0.6678328732005597 -0.10339097629974912 -0.4065783118618946 -0.15159725927043205 -0.22959432335827692
2.28468 -0.4325594230789147 -0.40048768211892527 -10.648777404209845 -10.706345549502938 -0.5717046731261798 -0.35988215753326047 -0.6681336476342778 -0.11104280469212525 -0.4112300538446267 -0.10840320551907351 -0.18558537578872528
2.29186 -0.42765568254342634 -0.3942010683549824 -9.695608789098001 -9.759976383341158 -0.5740011784001648 -0.35529020844107406 -0.6691174248342936 -0.11910079496071445 -0.41654181914039035 -0.0858287289373158 -0.16245585102791382
2.29904 -0.4228034899583701 -0.38801851937370235 -8.791638596285123 -8.865019953164213 -0.5779813859862547 -0.3506236258364492 -0.6708604366132264 -0.12751914583038368 -0.42258982702738007 -0.08060656010930903 -0.1569026810145762
2.30622 -0.4180008952958453 -0.3819357291369635 -7.947457962641608 -8.03206943098455 -0.5836421031631029 -0.34586366329979046 -0.6734514611619465 -0.13624779910076085 -0.4294629223563576 -0.08988697571353943 -0.16603788004081022
2.3134 -0.41324600721856297 -0.3759486866218042 -7.168899102632127 -7.2669468852777 -0.5909718021356128 -0.3409953237361397 -0.6769942851530508 -0.14523295326149185 -0.4372650053806796 -0.11118584246299452 -0.18733696583744838
2.32058 -0.40853701507708984 -0.3700536674795882 -6.458031847366213 -6.571701428343754 -0.5999523404963998 -0.3360072175088322 -0.6816104170345753 -0.15441738370628502 -0.4461178530467749 -0.14233558789892875 -0.2185907630106172
2.32776 -0.40387219007543296 -0.3642472555086651 -5.81412543021809 -5.945572933624149 -0.6105608061819605 -0.3308915446199805 -0.6874430934663589 -0.16374088131513884 -0.4561650193789675 -0.18144066072331563 -0.25786157213324745
2.33495 -0.3992498650585188 -0.3585262498380301 -5.234497687141181 -5.3858423533984965 -0.6227703559366319 -0.32564391765890305 -0.6946614340465419 -0.17314081510409568 -0.46757610418303486 -0.22683878222541196 -0.3034449307130445
2.34213 -0.39466845967395653 -0.3528876872482105 -4.715209382753482 -4.888526484207827 -0.6365504489683758 -0.32026331199065694 -0.7034666171091317 -0.18255264665471202 -0.4805528975837034 -0.2770663067235506 -0.3538358494328557
2.34931 -0.39012644652244166 -0.34732881736518206 -4.2516111739256495 -4.44892514135551 -0.6518666590602026 -0.3147519637589545 -0.7140986303156076 -0.19191053213704373 -0.4953361700549437 -0.33082956980287587 -0.40770059390170715
2.35649 -0.38562236085133117 -0.34184706054011804 -3.838746864936801 -4.062024092399576 -0.6686799772061301 -0.3091151561203753 -0.7268459430816663 -0.20114805408399677 -0.5122153457892668 -0.3869806860652419 -0.4638532044590232
2.36367 -0.3811548381935163 -0.33644003203243367 -3.4716388626929735 -3.7227798282404727 -0.6869459150332877 -0.3033612058727697 -0.742056627157379 -0.2101988882406685 -0.5315397072455548 -0.4444972718874662 -0.5212358488013398
2.37085 -0.3767225475364505 -0.3311054955693382 -3.145479707239746 -3.426309859101303 -0.7066127238875026 -0.297501143748878 -0.7601537171088149 -0.21899750376420032 -0.5537337019627685 -0.5024659366972302 -0.5789026844987708
2.37803 -0.37232423598809783 -0.3258413972435724 -2.855750977775052 -3.168010400869881 -0.7276201345684943 -0.2915487712174078 -0.7816548518276734 -0.22747981327093147 -0.5793166549471048 -0.5600695970222431 -0.6360078002525815
2.38521 -0.3679587101369635 -0.3206457734482486 -2.5982901280286894 -2.9436215343491057 -0.7498972400942587 -0.2855203012890877 -0.8071973688025695 -0.2355840679566605 -0.608927965506038 -0.6165765781221761 -0.6917947088758272
2.39239 -0.36362485160556846 -0.31551683894699883 -2.369316004075128 -2.7492510010986484 -0.7733605358157299 -0.27943422900143816 -0.8375723450322217 -0.24325147070368275 -0.6433610946976378 -0.6713340321774094 -0.7455900132910642
2.39957 -0.35932158844062717 -0.310452898144234 -2.1654346704451397 -2.5813781372522246 -0.7979118391010999 -0.2733112055907769 -0.8737693680947264 -0.2504268428186502 -0.6836084532181655 -0.7237601040802695 -0.7967960710388149
2.40676 -0.3550478974453552 -0.30545236831382466 -1.9836239881735482 -2.436836041999122 -0.8234356444112297 -0.2671737204158876 -0.9170365206671854 -0.25705937658837347 -0.7309214768162112 -0.7733416445647209 -0.8448886533490555
2.41394 -0.3508028714063501 -0.3005138033072897 -1.8212104723745246 -2.312787218829098 -0.8497976379376875 -0.261045936770613 -0.9689625492734256 -0.26310323644131844 -0.7868928839648456 -0.8196299738631497 -0.8894128922803408
2.42112 -0.34658558943423756 -0.2956358190814326 -1.675841567574854 -2.20669298930944 -0.8768417095265015 -0.2549534306654681 -1.031588920761058 -0.26851810125538816 -0.8535687699039097 -0.862238863423851 -0.9299813298392975
2.4283 -0.34239523237796937 -0.2908171439835437 -1.5454541349527544 -2.1162808112315 -0.904388574214332 -0.24892298963277293 -1.1075665307398648 -0.2732697657484828 -0.9336055615411246 -0.9008430797103932 -0.9662722354044375
2.43548 -0.3382310185059044 -0.2860566008359642 -1.428244317150324 -2.039512288275155 -0.9322336641530542 -0.24298231155854286 -1.2003744071846578 -0.27733056175626286 -1.030488803794169 -0.9351774053462983 -0.9980285950237434
2.44266 -0.33409223382643827 -0.2813530850952894 -1.3226380658691883 -1.9745523453439742 -0.9601457121002497 -0.23715978395071322 -1.3146340740838867 -0.28067971577601564 -1.148847820615845 -0.9650346843853934 -1.0250557656613308
2.44984 -0.3299782074996868 -0.27670555784329043 -1.227263114780308 -1.9197403811756157 -0.9878656487396534 -0.23148419594234526 -1.4565609031349565 -0.2833039565312402 -1.2949072959773997 -0.9902656501103497 -1.0472210200740113
2.45702 -0.32588831136950924 -0.2721130738786112 -1.14092498051882 -1.873566023336933 -1.0151062727023639 -0.2259845010553853 -1.6346290107860806 -0.2851976110758542 -1.477152505531021 -1.0107764639867385 -1.064450727911686
2.4642 -0.3218219934398639 -0.2675747394853764 -1.0625838586710503 -1.8346462124277183 -1.041552275794114 -0.22068953931263605 -1.8605606319486176 -0.28636323516696355 -1.7073192020881705 -1.026527784180076 -1.0767289979489811
2.47138 -0.31777871632406807 -0.26308973613371406 -0.9913346556185516 -1.8017065580808447 -1.0668613933872997 -0.21562777020119764 -2.150827527155782 -0.28681188741454416 -2.0018954950973415 -1.0375311827534246 -1.0840932795018372
2.47856 -0.31375802035563305 -0.25865729595694187 -0.9263893670042594 -1.7735654177469475 -1.0906660067673697 -0.21082698835228145 -2.5289666339981425 -0.28656392147635956 -2.3844382909217257 -1.0438476806131172 -1.0866328938705063
2.48575 -0.3097594722473903 -0.2542767229225412 -0.8670616786900692 -1.749121563398344 -1.1125760685211366 -0.20631409846616272 -3.0292263941012973 -0.28564977502908806 -2.889220459805495 -1.0455837572122153 -1.0844840968898428
2.49293 -0.3057826915870987 -0.24994736438847814 -0.8127522665716178 -1.727343983855933 -1.132183546365079 -0.2021148776957351 -3.7024063836711343 -0.28411146294912304 -3.5670716374945393 -1.0428875862133913 -1.0778259174296734
