 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C>   <D|H|D>   <E|H|E>   <F|H|F>   <G|H|G>   <H|H|H>   <I|H|I>   <J|H|J> 
0.0 10.000000000000002 10.020000000000001 10.079996014540258 10.099997562698672 10.039997540666102 10.120000000000001 10.140000000000002 10.179996637460647 10.159996644094132 10.22 10.199999999999998
0.009090909090909094 9.88189447538955 9.900613620101197 9.961850062582224 9.981899674788169 9.91890086326524 10.00137859798084 10.020954175348617 10.059524897238807 10.040038395182433 10.097955123556336 10.078482904809801
0.018181818181818188 9.76318229800633 9.780685648467356 9.843288431814594 9.863385226174401 9.797744626629916 9.882404354527173 9.901402509538494 9.93869504379707 9.919675032499022 9.975551893214265 9.956555185430393
0.027272727272727282 9.64401736050685 9.66037426564949 9.724455965815148 9.744599037934277 9.676654105138725 9.7632160285755 9.78150045478755 9.817647828830722 9.799052927574724 9.852935677784421 9.834368937151917
0.036363636363636376 9.524553555547639 9.539837652198623 9.605497495321119 9.625685923285701 9.555754565277548 9.64395237906233 9.661403463313713 9.696524003004667 9.678318450911844 9.730251846077445 9.71207625526453
0.04545454545454547 9.404944775785205 9.419233988665773 9.486557835632532 9.506790685997514 9.435171264044723 9.52475216492417 9.541266987334902 9.575464315832761 9.557617971863598 9.607645766903975 9.589829235058389
0.054545454545454564 9.285344913876063 9.298721455601955 9.367781783674829 9.388058118590378 9.31502944714798 9.405754145097522 9.421246479069046 9.454609515546116 9.43709785850244 9.485262809074646 9.467779971823642
0.06363636363636366 9.165907862476733 9.178458233558189 9.249314114792051 9.269633000372018 9.195454347037638 9.287097078518894 9.301497390734065 9.334100348950367 9.316904477477275 9.3632483414001 9.346080560850442
0.07272727272727275 9.046787514243729 9.058602503085492 9.131299579435241 9.151660095407294 9.07657118087868 9.16891972412479 9.182175174547881 9.214077561272351 9.19718419386 9.241747732690971 9.224883097428942
0.08181818181818185 8.928137761833563 8.939312444734883 9.013882900059755 9.03428415061453 8.958505148656364 9.051360840851714 9.063435282728417 9.094681895997326 9.078083370982446 9.120906351757899 9.104339676849293
