 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A> 
6.90204 -0.9996739294280474 0.023810863425051825 -0.023810863425071403 -0.9996739294280537
6.90922 -0.9996739294280473 0.023810863425051818 -0.0238108634250714 -0.9996739294280537
6.9164 -0.9996739294280472 0.02381086342505182 -0.023810863425071396 -0.9996739294280534
6.92358 -0.9996739294280471 0.023810863425051815 -0.0238108634250714 -0.9996739294280534
6.93076 -0.999673929428047 0.023810863425051818 -0.0238108634250714 -0.9996739294280534
6.93794 -0.9996739294280469 0.023810863425051815 -0.023810863425071393 -0.9996739294280533
6.94512 -0.9996739294280472 0.023810863425051818 -0.023810863425071403 -0.9996739294280538
6.9523 -0.9996739294280471 0.02381086342505182 -0.0238108634250714 -0.9996739294280534
6.95948 -0.9996739294280472 0.02381086342505182 -0.023810863425071403 -0.9996739294280536
6.96666 -0.999673929428047 0.023810863425051815 -0.023810863425071393 -0.9996739294280538
6.97385 -0.9996739294280474 0.02381086342505182 -0.023810863425071396 -0.9996739294280538
6.98103 -0.9996739294280474 0.02381086342505182 -0.023810863425071407 -0.9996739294280538
6.98821 -0.9996739294280473 0.02381086342505182 -0.023810863425071396 -0.9996739294280534
6.99539 -0.9996739294280471 0.023810863425051808 -0.02381086342507139 -0.9996739294280533
7.00257 -0.9996739294280473 0.023810863425051815 -0.023810863425071393 -0.9996739294280534
7.00975 -0.9996739294280471 0.023810863425051818 -0.0238108634250714 -0.9996739294280534
7.01693 -0.9996739294280472 0.023810863425051818 -0.0238108634250714 -0.9996739294280534
7.02411 -0.9996739294280471 0.023810863425051815 -0.023810863425071407 -0.9996739294280536
7.03129 -0.9996739294280473 0.02381086342505182 -0.0238108634250714 -0.9996739294280539
7.03847 -0.999673929428047 0.02381086342505181 -0.0238108634250714 -0.9996739294280533
7.04565 -0.999673929428047 0.02381086342505181 -0.02381086342507139 -0.9996739294280534
7.05284 -0.9996739294280473 0.023810863425051818 -0.023810863425071407 -0.9996739294280536
7.06002 -0.9996739294280471 0.023810863425051815 -0.0238108634250714 -0.9996739294280536
7.0672 -0.9996739294280472 0.02381086342505182 -0.023810863425071407 -0.9996739294280536
7.07438 -0.9996739294280471 0.02381086342505182 -0.023810863425071396 -0.9996739294280536
7.08156 -0.9996739294280473 0.023810863425051818 -0.023810863425071396 -0.9996739294280537
7.08874 -0.9996739294280471 0.023810863425051825 -0.023810863425071403 -0.9996739294280538
7.09592 -0.9996739294280472 0.023810863425051818 -0.0238108634250714 -0.9996739294280537
7.1031 -0.9996739294280471 0.023810863425051818 -0.023810863425071403 -0.9996739294280538
7.11028 -0.9996739294280473 0.023810863425051825 -0.0238108634250714 -0.9996739294280539
7.11746 -0.9996739294280471 0.02381086342505182 -0.023810863425071403 -0.9996739294280538
7.12465 -0.9996739294280472 0.02381086342505182 -0.0238108634250714 -0.9996739294280534
7.13183 -0.9996739294280472 0.023810863425051815 -0.023810863425071396 -0.9996739294280534
7.13901 -0.9996739294280474 0.02381086342505182 -0.023810863425071403 -0.9996739294280537
7.14619 -0.9996739294280473 0.023810863425051818 -0.023810863425071393 -0.9996739294280537
7.15337 -0.9996739294280471 0.023810863425051818 -0.023810863425071396 -0.9996739294280536
7.16055 -0.9996739294280472 0.023810863425051818 -0.023810863425071403 -0.9996739294280537
7.16773 -0.9996739294280472 0.023810863425051818 -0.023810863425071393 -0.9996739294280533
7.17491 -0.9996739294280472 0.023810863425051815 -0.0238108634250714 -0.9996739294280538
7.18209 -0.9996739294280476 0.02381086342505182 -0.0238108634250714 -0.9996739294280539
7.18927 -0.999673929428047 0.02381086342505182 -0.023810863425071403 -0.9996739294280536
7.19646 -0.9996739294280472 0.02381086342505182 -0.023810863425071396 -0.9996739294280536
7.20364 -0.9996739294280471 0.023810863425051815 -0.02381086342507139 -0.9996739294280536
7.21082 -0.9996739294280473 0.02381086342505183 -0.023810863425071407 -0.9996739294280538
7.218 -0.9996739294280473 0.023810863425051818 -0.0238108634250714 -0.9996739294280534
7.22518 -0.9996739294280471 0.023810863425051818 -0.023810863425071403 -0.9996739294280538
7.23236 -0.9996739294280473 0.023810863425051818 -0.023810863425071407 -0.9996739294280537
7.23954 -0.9996739294280471 0.023810863425051818 -0.023810863425071393 -0.9996739294280534
7.24672 -0.9996739294280473 0.023810863425051818 -0.0238108634250714 -0.9996739294280536
7.2539 -0.9996739294280476 0.02381086342505182 -0.023810863425071403 -0.9996739294280541
7.26108 -0.9996739294280469 0.02381086342505181 -0.02381086342507139 -0.9996739294280533
7.26826 -0.9996739294280474 0.023810863425051818 -0.023810863425071403 -0.9996739294280537
7.27545 -0.999673929428047 0.02381086342505181 -0.0238108634250714 -0.9996739294280534
7.28263 -0.9996739294280471 0.02381086342505182 -0.023810863425071403 -0.9996739294280536
7.28981 -0.9996739294280476 0.02381086342505183 -0.023810863425071407 -0.9996739294280539
7.29699 -0.9996739294280474 0.023810863425051818 -0.023810863425071393 -0.9996739294280537
7.30417 -0.9996739294280471 0.023810863425051818 -0.023810863425071396 -0.9996739294280536
7.31135 -0.9996739294280472 0.023810863425051818 -0.023810863425071403 -0.9996739294280537
7.31853 -0.9996739294280472 0.023810863425051818 -0.023810863425071393 -0.9996739294280533
7.32571 -0.9996739294280472 0.023810863425051815 -0.0238108634250714 -0.9996739294280538
7.33289 -0.9996739294280476 0.02381086342505182 -0.0238108634250714 -0.9996739294280539
7.34007 -0.999673929428047 0.02381086342505182 -0.023810863425071403 -0.9996739294280536
7.34726 -0.9996739294280472 0.02381086342505182 -0.023810863425071396 -0.9996739294280536
7.35444 -0.9996739294280471 0.023810863425051815 -0.02381086342507139 -0.9996739294280533
7.36162 -0.9996739294280473 0.02381086342505183 -0.023810863425071407 -0.9996739294280539
7.3688 -0.9996739294280473 0.023810863425051818 -0.0238108634250714 -0.9996739294280537
7.37598 -0.9996739294280471 0.023810863425051818 -0.023810863425071403 -0.9996739294280536
7.38316 -0.9996739294280473 0.023810863425051818 -0.023810863425071407 -0.9996739294280537
7.39034 -0.9996739294280471 0.023810863425051818 -0.023810863425071393 -0.9996739294280534
7.39752 -0.9996739294280473 0.023810863425051815 -0.0238108634250714 -0.9996739294280536
